# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;škeriaca sa tvár;škeriaca sa tvár|tvár|úškľabok|úškrn
	🫰🏼;ruka s prekríženým ukazovákom a palcom: stredne svetlý tón pleti;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|ruka s prekríženým ukazovákom a palcom: stredne svetlý tón pleti|srdce|stredne svetlý tón pleti
	🫰🏽;ruka s prekríženým ukazovákom a palcom: stredný tón pleti;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|ruka s prekríženým ukazovákom a palcom: stredný tón pleti|srdce|stredný tón pleti
	🫰🏾;ruka s prekríženým ukazovákom a palcom: stredne tmavý tón pleti;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|ruka s prekríženým ukazovákom a palcom: stredne tmavý tón pleti|srdce|stredne tmavý tón pleti
	🫰🏿;ruka s prekríženým ukazovákom a palcom: tmavý tón pleti;drahé|láska|lusknutie|peniaze|ruka s prekríženým ukazovákom a palcom|ruka s prekríženým ukazovákom a palcom: tmavý tón pleti|srdce|tmavý tón pleti
🤟;ľúbim ťa;ľúbim ťa|ľúbiť|ruka
	🤟🏻;ľúbim ťa: svetlý tón pleti;ľúbim ťa|ľúbim ťa: svetlý tón pleti|ľúbiť|ruka|svetlý tón pleti
	🤟🏼;ľúbim ťa: stredne svetlý tón pleti;ľúbim ťa|ľúbim ťa: stredne svetlý tón pleti|ľúbiť|ruka|stredne svetlý tón pleti
	🤟🏽;ľúbim ťa: stredný tón pleti;ľúbim ťa|ľúbim ťa: stredný tón pleti|ľúbiť|ruka|stredný tón pleti
	🤟🏾;ľúbim ťa: stredne tmavý tón pleti;ľúbim ťa|ľúbim ťa: stredne tmavý tón pleti|ľúbiť|ruka|stredne tmavý tón pleti
	🤟🏿;ľúbim ťa: tmavý tón pleti;ľúbim ťa|ľúbim ťa: tmavý tón pleti|ľúbiť|ruka|tmavý tón pleti
🤘;paroháč;paroháč|prst|ruka
	🤘🏻;paroháč: svetlý tón pleti;paroháč|paroháč: svetlý tón pleti|prst|ruka|svetlý tón pleti
	🤘🏼;paroháč: stredne svetlý tón pleti;paroháč|paroháč: stredne svetlý tón pleti|prst|ruka|stredne svetlý tón pleti
	🤘🏽;paroháč: stredný tón pleti;paroháč|paroháč: stredný tón pleti|prst|ruka|stredný tón pleti
	🤘🏾;paroháč: stredne tmavý tón pleti;paroháč|paroháč: stredne tmavý tón pleti|prst|ruka|stredne tmavý tón pleti
	🤘🏿;paroháč: tmavý tón pleti;paroháč|paroháč: tmavý tón pleti|prst|ruka|tmavý tón pleti
🤙;zavoláme si;hovor|ruka|telefonovať|zavoláme si|zavolať
	🤙🏻;zavoláme si: svetlý tón pleti;hovor|ruka|svetlý tón pleti|telefonovať|zavoláme si|zavoláme si: svetlý tón pleti|zavolať
	🤙🏼;zavoláme si: stredne svetlý tón pleti;hovor|ruka|stredne svetlý tón pleti|telefonovať|zavoláme si|zavoláme si: stredne svetlý tón pleti|zavolať
	🤙🏽;zavoláme si: stredný tón pleti;hovor|ruka|stredný tón pleti|telefonovať|zavoláme si|zavoláme si: stredný tón pleti|zavolať
	🤙🏾;zavoláme si: stredne tmavý tón pleti;hovor|ruka|stredne tmavý tón pleti|telefonovať|zavoláme si|zavoláme si: stredne tmavý tón pleti|zavolať
	🤙🏿;zavoláme si: tmavý tón pleti;hovor|ruka|telefonovať|tmavý tón pleti|zavoláme si|zavoláme si: tmavý tón pleti|zavolať
👈;ukazovák doľava;doľava|prst|ruka|ukazovák|ukazovať
	👈🏻;ukazovák doľava: svetlý tón pleti;doľava|prst|ruka|svetlý tón pleti|ukazovák|ukazovák doľava: svetlý tón pleti|ukazovať
	👈🏼;ukazovák doľava: stredne svetlý tón pleti;doľava|prst|ruka|stredne svetlý tón pleti|ukazovák|ukazovák doľava: stredne svetlý tón pleti|ukazovať
	👈🏽;ukazovák doľava: stredný tón pleti;doľava|prst|ruka|stredný tón pleti|ukazovák|ukazovák doľava: stredný tón pleti|ukazovať
	👈🏾;ukazovák doľava: stredne tmavý tón pleti;doľava|prst|ruka|stredne tmavý tón pleti|ukazovák|ukazovák doľava: stredne tmavý tón pleti|ukazovať
	👈🏿;ukazovák doľava: tmavý tón pleti;doľava|prst|ruka|tmavý tón pleti|ukazovák|ukazovák doľava: tmavý tón pleti|ukazovať
👉;ukazovák doprava;doprava|prst|ruka|ukazovák|ukazovať
	👉🏻;ukazovák doprava: svetlý tón pleti;doprava|prst|ruka|svetlý tón pleti|ukazovák|ukazovák doprava: svetlý tón pleti|ukazovať
	👉🏼;ukazovák doprava: stredne svetlý tón pleti;doprava|prst|ruka|stredne svetlý tón pleti|ukazovák|ukazovák doprava: stredne svetlý tón pleti|ukazovať
	👉🏽;ukazovák doprava: stredný tón pleti;doprava|prst|ruka|stredný tón pleti|ukazovák|ukazovák doprava: stredný tón pleti|ukazovať
	👉🏾;ukazovák doprava: stredne tmavý tón pleti;doprava|prst|ruka|stredne tmavý tón pleti|ukazovák|ukazovák doprava: stredne tmavý tón pleti|ukazovať
	👉🏿;ukazovák doprava: tmavý tón pleti;doprava|prst|ruka|tmavý tón pleti|ukazovák|ukazovák doprava: tmavý tón pleti|ukazovať
👆;ukazovák spakruky nahor;nahor|prst|ruka|spakruky|ukazovák|ukazovať
	👆🏻;ukazovák spakruky nahor: svetlý tón pleti;nahor|prst|ruka|spakruky|svetlý tón pleti|ukazovák|ukazovák spakruky nahor: svetlý tón pleti|ukazovať
	👆🏼;ukazovák spakruky nahor: stredne svetlý tón pleti;nahor|prst|ruka|spakruky|stredne svetlý tón pleti|ukazovák|ukazovák spakruky nahor: stredne svetlý tón pleti|ukazovať
	👆🏽;ukazovák spakruky nahor: stredný tón pleti;nahor|prst|ruka|spakruky|stredný tón pleti|ukazovák|ukazovák spakruky nahor: stredný tón pleti|ukazovať
	👆🏾;ukazovák spakruky nahor: stredne tmavý tón pleti;nahor|prst|ruka|spakruky|stredne tmavý tón pleti|ukazovák|ukazovák spakruky nahor: stredne tmavý tón pleti|ukazovať
	👆🏿;ukazovák spakruky nahor: tmavý tón pleti;nahor|prst|ruka|spakruky|tmavý tón pleti|ukazovák|ukazovák spakruky nahor: tmavý tón pleti|ukazovať
🖕;prostredník;prostredník|prst|ruka
	🖕🏻;prostredník: svetlý tón pleti;prostredník|prostredník: svetlý tón pleti|prst|ruka|svetlý tón pleti
	🖕🏼;prostredník: stredne svetlý tón pleti;prostredník|prostredník: stredne svetlý tón pleti|prst|ruka|stredne svetlý tón pleti
	🖕🏽;prostredník: stredný tón pleti;prostredník|prostredník: stredný tón pleti|prst|ruka|stredný tón pleti
	🖕🏾;prostredník: stredne tmavý tón pleti;prostredník|prostredník: stredne tmavý tón pleti|prst|ruka|stredne tmavý tón pleti
	🖕🏿;prostredník: tmavý tón pleti;prostredník|prostredník: tmavý tón pleti|prst|ruka|tmavý tón pleti
👇;ukazovák spakruky nadol;nadol|prst|ruka|spakruky|ukazovák|ukazovať
	👇🏻;ukazovák spakruky nadol: svetlý tón pleti;nadol|prst|ruka|spakruky|svetlý tón pleti|ukazovák|ukazovák spakruky nadol: svetlý tón pleti|ukazovať
	👇🏼;ukazovák spakruky nadol: stredne svetlý tón pleti;nadol|prst|ruka|spakruky|stredne svetlý tón pleti|ukazovák|ukazovák spakruky nadol: stredne svetlý tón pleti|ukazovať
	👇🏽;ukazovák spakruky nadol: stredný tón pleti;nadol|prst|ruka|spakruky|stredný tón pleti|ukazovák|ukazovák spakruky nadol: stredný tón pleti|ukazovať
	👇🏾;ukazovák spakruky nadol: stredne tmavý tón pleti;nadol|prst|ruka|spakruky|stredne tmavý tón pleti|ukazovák|ukazovák spakruky nadol: stredne tmavý tón pleti|ukazovať
	👇🏿;ukazovák spakruky nadol: tmavý tón pleti;nadol|prst|ruka|spakruky|tmavý tón pleti|ukazovák|ukazovák spakruky nadol: tmavý tón pleti|ukazovať
☝️;ukazovák nahor;nahor|prst|ruka|ukazovák|ukazovať
	☝🏻;ukazovák nahor: svetlý tón pleti;nahor|prst|ruka|svetlý tón pleti|ukazovák|ukazovák nahor: svetlý tón pleti|ukazovať
	☝🏼;ukazovák nahor: stredne svetlý tón pleti;nahor|prst|ruka|stredne svetlý tón pleti|ukazovák|ukazovák nahor: stredne svetlý tón pleti|ukazovať
	☝🏽;ukazovák nahor: stredný tón pleti;nahor|prst|ruka|stredný tón pleti|ukazovák|ukazovák nahor: stredný tón pleti|ukazovať
	☝🏾;ukazovák nahor: stredne tmavý tón pleti;nahor|prst|ruka|stredne tmavý tón pleti|ukazovák|ukazovák nahor: stredne tmavý tón pleti|ukazovať
	☝🏿;ukazovák nahor: tmavý tón pleti;nahor|prst|ruka|tmavý tón pleti|ukazovák|ukazovák nahor: tmavý tón pleti|ukazovať
🫵;ukazovanie ukazovákom;na teba|ukazovanie|ukazovanie ukazovákom
	🫵🏻;ukazovanie ukazovákom: svetlý tón pleti;na teba|svetlý tón pleti|ukazovanie|ukazovanie ukazovákom|ukazovanie ukazovákom: svetlý tón pleti
	🫵🏼;ukazovanie ukazovákom: stredne svetlý tón pleti;na teba|stredne svetlý tón pleti|ukazovanie|ukazovanie ukazovákom|ukazovanie ukazovákom: stredne svetlý tón pleti
	🫵🏽;ukazovanie ukazovákom: stredný tón pleti;na teba|stredný tón pleti|ukazovanie|ukazovanie ukazovákom|ukazovanie ukazovákom: stredný tón pleti
	🫵🏾;ukazovanie ukazovákom: stredne tmavý tón pleti;na teba|stredne tmavý tón pleti|ukazovanie|ukazovanie ukazovákom|ukazovanie ukazovákom: stredne tmavý tón pleti
	🫵🏿;ukazovanie ukazovákom: tmavý tón pleti;na teba|tmavý tón pleti|ukazovanie|ukazovanie ukazovákom|ukazovanie ukazovákom: tmavý tón pleti
👍;palec nahor;+1|nahor|palec|ruka
	👍🏻;palec nahor: svetlý tón pleti;+1|nahor|palec|palec nahor: svetlý tón pleti|ruka|svetlý tón pleti
	👍🏼;palec nahor: stredne svetlý tón pleti;+1|nahor|palec|palec nahor: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti
	👍🏽;palec nahor: stredný tón pleti;+1|nahor|palec|palec nahor: stredný tón pleti|ruka|stredný tón pleti
	👍🏾;palec nahor: stredne tmavý tón pleti;+1|nahor|palec|palec nahor: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti
	👍🏿;palec nahor: tmavý tón pleti;+1|nahor|palec|palec nahor: tmavý tón pleti|ruka|tmavý tón pleti
👎;palec nadol;-1|nadol|palec|ruka
	👎🏻;palec nadol: svetlý tón pleti;-1|nadol|palec|palec nadol: svetlý tón pleti|ruka|svetlý tón pleti
	👎🏼;palec nadol: stredne svetlý tón pleti;-1|nadol|palec|palec nadol: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti
	👎🏽;palec nadol: stredný tón pleti;-1|nadol|palec|palec nadol: stredný tón pleti|ruka|stredný tón pleti
	👎🏾;palec nadol: stredne tmavý tón pleti;-1|nadol|palec|palec nadol: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti
	👎🏿;palec nadol: tmavý tón pleti;-1|nadol|palec|palec nadol: tmavý tón pleti|ruka|tmavý tón pleti
✊;zdvihnutá päsť;päsť|ruka|úder|zdvihnutá päsť|zovretá
	✊🏻;zdvihnutá päsť: svetlý tón pleti;päsť|ruka|svetlý tón pleti|úder|zdvihnutá päsť|zdvihnutá päsť: svetlý tón pleti|zovretá
	✊🏼;zdvihnutá päsť: stredne svetlý tón pleti;päsť|ruka|stredne svetlý tón pleti|úder|zdvihnutá päsť|zdvihnutá päsť: stredne svetlý tón pleti|zovretá
	✊🏽;zdvihnutá päsť: stredný tón pleti;päsť|ruka|stredný tón pleti|úder|zdvihnutá päsť|zdvihnutá päsť: stredný tón pleti|zovretá
	✊🏾;zdvihnutá päsť: stredne tmavý tón pleti;päsť|ruka|stredne tmavý tón pleti|úder|zdvihnutá päsť|zdvihnutá päsť: stredne tmavý tón pleti|zovretá
	✊🏿;zdvihnutá päsť: tmavý tón pleti;päsť|ruka|tmavý tón pleti|úder|zdvihnutá päsť|zdvihnutá päsť: tmavý tón pleti|zovretá
👊;päsť spredu;päsť|päsť spredu|ruka|úder|zovretá
	👊🏻;päsť spredu: svetlý tón pleti;päsť|päsť spredu|päsť spredu: svetlý tón pleti|ruka|svetlý tón pleti|úder|zovretá
	👊🏼;päsť spredu: stredne svetlý tón pleti;päsť|päsť spredu|päsť spredu: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti|úder|zovretá
	👊🏽;päsť spredu: stredný tón pleti;päsť|päsť spredu|päsť spredu: stredný tón pleti|ruka|stredný tón pleti|úder|zovretá
	👊🏾;päsť spredu: stredne tmavý tón pleti;päsť|päsť spredu|päsť spredu: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti|úder|zovretá
	👊🏿;päsť spredu: tmavý tón pleti;päsť|päsť spredu|päsť spredu: tmavý tón pleti|ruka|tmavý tón pleti|úder|zovretá
🤛;päsť doľava;doľava|päsť
	🤛🏻;päsť doľava: svetlý tón pleti;doľava|päsť|päsť doľava: svetlý tón pleti|svetlý tón pleti
	🤛🏼;päsť doľava: stredne svetlý tón pleti;doľava|päsť|päsť doľava: stredne svetlý tón pleti|stredne svetlý tón pleti
	🤛🏽;päsť doľava: stredný tón pleti;doľava|päsť|päsť doľava: stredný tón pleti|stredný tón pleti
	🤛🏾;päsť doľava: stredne tmavý tón pleti;doľava|päsť|päsť doľava: stredne tmavý tón pleti|stredne tmavý tón pleti
	🤛🏿;päsť doľava: tmavý tón pleti;doľava|päsť|päsť doľava: tmavý tón pleti|tmavý tón pleti
🤜;päsť doprava;doprava|päsť
	🤜🏻;päsť doprava: svetlý tón pleti;doprava|päsť|päsť doprava: svetlý tón pleti|svetlý tón pleti
	🤜🏼;päsť doprava: stredne svetlý tón pleti;doprava|päsť|päsť doprava: stredne svetlý tón pleti|stredne svetlý tón pleti
	🤜🏽;päsť doprava: stredný tón pleti;doprava|päsť|päsť doprava: stredný tón pleti|stredný tón pleti
	🤜🏾;päsť doprava: stredne tmavý tón pleti;doprava|päsť|päsť doprava: stredne tmavý tón pleti|stredne tmavý tón pleti
	🤜🏿;päsť doprava: tmavý tón pleti;doprava|päsť|päsť doprava: tmavý tón pleti|tmavý tón pleti
👏;tlieskajúce ruky;potlesk|ruka|tlieskajúce ruky|tlieskať
	👏🏻;tlieskajúce ruky: svetlý tón pleti;potlesk|ruka|svetlý tón pleti|tlieskajúce ruky|tlieskajúce ruky: svetlý tón pleti|tlieskať
	👏🏼;tlieskajúce ruky: stredne svetlý tón pleti;potlesk|ruka|stredne svetlý tón pleti|tlieskajúce ruky|tlieskajúce ruky: stredne svetlý tón pleti|tlieskať
	👏🏽;tlieskajúce ruky: stredný tón pleti;potlesk|ruka|stredný tón pleti|tlieskajúce ruky|tlieskajúce ruky: stredný tón pleti|tlieskať
	👏🏾;tlieskajúce ruky: stredne tmavý tón pleti;potlesk|ruka|stredne tmavý tón pleti|tlieskajúce ruky|tlieskajúce ruky: stredne tmavý tón pleti|tlieskať
	👏🏿;tlieskajúce ruky: tmavý tón pleti;potlesk|ruka|tlieskajúce ruky|tlieskajúce ruky: tmavý tón pleti|tlieskať|tmavý tón pleti
🙌;zdvihnuté ruky;gesto|hurá|oslava|ruka|zdvihnuté|zdvihnuté ruky
	🙌🏻;zdvihnuté ruky: svetlý tón pleti;gesto|hurá|oslava|ruka|svetlý tón pleti|zdvihnuté|zdvihnuté ruky|zdvihnuté ruky: svetlý tón pleti
	🙌🏼;zdvihnuté ruky: stredne svetlý tón pleti;gesto|hurá|oslava|ruka|stredne svetlý tón pleti|zdvihnuté|zdvihnuté ruky|zdvihnuté ruky: stredne svetlý tón pleti
	🙌🏽;zdvihnuté ruky: stredný tón pleti;gesto|hurá|oslava|ruka|stredný tón pleti|zdvihnuté|zdvihnuté ruky|zdvihnuté ruky: stredný tón pleti
	🙌🏾;zdvihnuté ruky: stredne tmavý tón pleti;gesto|hurá|oslava|ruka|stredne tmavý tón pleti|zdvihnuté|zdvihnuté ruky|zdvihnuté ruky: stredne tmavý tón pleti
	🙌🏿;zdvihnuté ruky: tmavý tón pleti;gesto|hurá|oslava|ruka|tmavý tón pleti|zdvihnuté|zdvihnuté ruky|zdvihnuté ruky: tmavý tón pleti
🫶;srdce z dlaní;láska|srdce z dlaní
	🫶🏻;srdce z dlaní: svetlý tón pleti;láska|srdce z dlaní|srdce z dlaní: svetlý tón pleti|svetlý tón pleti
	🫶🏼;srdce z dlaní: stredne svetlý tón pleti;láska|srdce z dlaní|srdce z dlaní: stredne svetlý tón pleti|stredne svetlý tón pleti
	🫶🏽;srdce z dlaní: stredný tón pleti;láska|srdce z dlaní|srdce z dlaní: stredný tón pleti|stredný tón pleti
	🫶🏾;srdce z dlaní: stredne tmavý tón pleti;láska|srdce z dlaní|srdce z dlaní: stredne tmavý tón pleti|stredne tmavý tón pleti
	🫶🏿;srdce z dlaní: tmavý tón pleti;láska|srdce z dlaní|srdce z dlaní: tmavý tón pleti|tmavý tón pleti
👐;roztvorené dlane;otvorená|roztvorené dlane|ruka
	👐🏻;roztvorené dlane: svetlý tón pleti;otvorená|roztvorené dlane|roztvorené dlane: svetlý tón pleti|ruka|svetlý tón pleti
	👐🏼;roztvorené dlane: stredne svetlý tón pleti;otvorená|roztvorené dlane|roztvorené dlane: stredne svetlý tón pleti|ruka|stredne svetlý tón pleti
	👐🏽;roztvorené dlane: stredný tón pleti;otvorená|roztvorené dlane|roztvorené dlane: stredný tón pleti|ruka|stredný tón pleti
	👐🏾;roztvorené dlane: stredne tmavý tón pleti;otvorená|roztvorené dlane|roztvorené dlane: stredne tmavý tón pleti|ruka|stredne tmavý tón pleti
	👐🏿;roztvorené dlane: tmavý tón pleti;otvorená|roztvorené dlane|roztvorené dlane: tmavý tón pleti|ruka|tmavý tón pleti
🤲;zdvihnuté dlane;modliť sa|modlitba|zdvihnuté dlane
	🤲🏻;zdvihnuté dlane: svetlý tón pleti;modliť sa|modlitba|svetlý tón pleti|zdvihnuté dlane|zdvihnuté dlane: svetlý tón pleti
	🤲🏼;zdvihnuté dlane: stredne svetlý tón pleti;modliť sa|modlitba|stredne svetlý tón pleti|zdvihnuté dlane|zdvihnuté dlane: stredne svetlý tón pleti
	🤲🏽;zdvihnuté dlane: stredný tón pleti;modliť sa|modlitba|stredný tón pleti|zdvihnuté dlane|zdvihnuté dlane: stredný tón pleti
	🤲🏾;zdvihnuté dlane: stredne tmavý tón pleti;modliť sa|modlitba|stredne tmavý tón pleti|zdvihnuté dlane|zdvihnuté dlane: stredne tmavý tón pleti
	🤲🏿;zdvihnuté dlane: tmavý tón pleti;modliť sa|modlitba|tmavý tón pleti|zdvihnuté dlane|zdvihnuté dlane: tmavý tón pleti
🤝;potrasenie rukami;dohoda|dohodnuté|podať|potrasenie rukami|potriasť|ruka
	🤝🏻;potrasenie rukami: svetlý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: svetlý tón pleti|potriasť|ruka|svetlý tón pleti
	🤝🏼;potrasenie rukami: stredne svetlý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne svetlý tón pleti|potriasť|ruka|stredne svetlý tón pleti
	🤝🏽;potrasenie rukami: stredný tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredný tón pleti|potriasť|ruka|stredný tón pleti
	🤝🏾;potrasenie rukami: stredne tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne tmavý tón pleti|potriasť|ruka|stredne tmavý tón pleti
	🤝🏿;potrasenie rukami: tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: tmavý tón pleti|potriasť|ruka|tmavý tón pleti
	🫱🏻‍🫲🏼;potrasenie rukami: svetlý tón pleti, stredne svetlý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: svetlý tón pleti, stredne svetlý tón pleti|potriasť|ruka|stredne svetlý tón pleti|svetlý tón pleti
	🫱🏻‍🫲🏽;potrasenie rukami: svetlý tón pleti, stredný tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: svetlý tón pleti, stredný tón pleti|potriasť|ruka|stredný tón pleti|svetlý tón pleti
	🫱🏻‍🫲🏾;potrasenie rukami: svetlý tón pleti, stredne tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: svetlý tón pleti, stredne tmavý tón pleti|potriasť|ruka|stredne tmavý tón pleti|svetlý tón pleti
	🫱🏻‍🫲🏿;potrasenie rukami: svetlý tón pleti, tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: svetlý tón pleti, tmavý tón pleti|potriasť|ruka|svetlý tón pleti|tmavý tón pleti
	🫱🏼‍🫲🏻;potrasenie rukami: stredne svetlý tón pleti, svetlý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne svetlý tón pleti, svetlý tón pleti|potriasť|ruka|stredne svetlý tón pleti|svetlý tón pleti
	🫱🏼‍🫲🏽;potrasenie rukami: stredne svetlý tón pleti, stredný tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne svetlý tón pleti, stredný tón pleti|potriasť|ruka|stredne svetlý tón pleti|stredný tón pleti
	🫱🏼‍🫲🏾;potrasenie rukami: stredne svetlý tón pleti, stredne tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne svetlý tón pleti, stredne tmavý tón pleti|potriasť|ruka|stredne svetlý tón pleti|stredne tmavý tón pleti
	🫱🏼‍🫲🏿;potrasenie rukami: stredne svetlý tón pleti, tmavý tón pleti;dohoda|dohodnuté|podať|potrasenie rukami|potrasenie rukami: stredne svetlý tón pleti, tmavý tón pleti|potriasť|ruka|stredne svetlý tón pleti|tmavý tón pleti
