# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|चेहरा|दाँत दिखाता चेहरा
	🫲🏾;बाईं ओर हाथ: हल्की साँवली त्वचा;बाई ओर|बाईं ओर हाथ|बाईं ओर हाथ: हल्की साँवली त्वचा|बायां|हल्की साँवली त्वचा|हाथ
	🫲🏿;बाईं ओर हाथ: साँवली त्वचा;बाई ओर|बाईं ओर हाथ|बाईं ओर हाथ: साँवली त्वचा|बायां|साँवली त्वचा|हाथ
🫳;नीचे की ओर हथेली;खारिज|गिरना|नीचे की ओर हथेली|भगाना
	🫳🏻;नीचे की ओर हथेली: गोरी त्वचा;खारिज|गिरना|गोरी त्वचा|नीचे की ओर हथेली|नीचे की ओर हथेली: गोरी त्वचा|भगाना
	🫳🏼;नीचे की ओर हथेली: हल्की गोरी त्वचा;खारिज|गिरना|नीचे की ओर हथेली|नीचे की ओर हथेली: हल्की गोरी त्वचा|भगाना|हल्की गोरी त्वचा
	🫳🏽;नीचे की ओर हथेली: गेहुँआ त्वचा;खारिज|गिरना|गेहुँआ त्वचा|नीचे की ओर हथेली|नीचे की ओर हथेली: गेहुँआ त्वचा|भगाना
	🫳🏾;नीचे की ओर हथेली: हल्की साँवली त्वचा;खारिज|गिरना|नीचे की ओर हथेली|नीचे की ओर हथेली: हल्की साँवली त्वचा|भगाना|हल्की साँवली त्वचा
	🫳🏿;नीचे की ओर हथेली: साँवली त्वचा;खारिज|गिरना|नीचे की ओर हथेली|नीचे की ओर हथेली: साँवली त्वचा|भगाना|साँवली त्वचा
🫴;ऊपर की ओर हथेली;आना|इशारे से बुलाना|ऊपर की ओर हथेली|पकड़ना|प्रस्ताव
	🫴🏻;ऊपर की ओर हथेली: गोरी त्वचा;आना|इशारे से बुलाना|ऊपर की ओर हथेली|ऊपर की ओर हथेली: गोरी त्वचा|गोरी त्वचा|पकड़ना|प्रस्ताव
