# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;laia naeratusega nägu;irve|laia naeratusega nägu|naeratus|nägu
	🫰🏻;pöialt ja nimetissõrme risti hoidev käsi: hele nahatoon;armastus|hele nahatoon|kallis|nips|pöialt ja nimetissõrme risti hoidev käsi|pöialt ja nimetissõrme risti hoidev käsi: hele nahatoon|raha|süda
	🫰🏼;pöialt ja nimetissõrme risti hoidev käsi: keskmiselt hele nahatoon;armastus|kallis|keskmiselt hele nahatoon|nips|pöialt ja nimetissõrme risti hoidev käsi|pöialt ja nimetissõrme risti hoidev käsi: keskmiselt hele nahatoon|raha|süda
	🫰🏽;pöialt ja nimetissõrme risti hoidev käsi: keskmine nahatoon;armastus|kallis|keskmine nahatoon|nips|pöialt ja nimetissõrme risti hoidev käsi|pöialt ja nimetissõrme risti hoidev käsi: keskmine nahatoon|raha|süda
	🫰🏾;pöialt ja nimetissõrme risti hoidev käsi: keskmiselt tume nahatoon;armastus|kallis|keskmiselt tume nahatoon|nips|pöialt ja nimetissõrme risti hoidev käsi|pöialt ja nimetissõrme risti hoidev käsi: keskmiselt tume nahatoon|raha|süda
	🫰🏿;pöialt ja nimetissõrme risti hoidev käsi: tume nahatoon;armastus|kallis|nips|pöialt ja nimetissõrme risti hoidev käsi|pöialt ja nimetissõrme risti hoidev käsi: tume nahatoon|raha|süda|tume nahatoon
🤟;armastust väljendav žest;armastust väljendav žest|ILY|käsi
	🤟🏻;armastust väljendav žest: hele nahatoon;armastust väljendav žest|armastust väljendav žest: hele nahatoon|hele nahatoon|ILY|käsi
	🤟🏼;armastust väljendav žest: keskmiselt hele nahatoon;armastust väljendav žest|armastust väljendav žest: keskmiselt hele nahatoon|ILY|käsi|keskmiselt hele nahatoon
	🤟🏽;armastust väljendav žest: keskmine nahatoon;armastust väljendav žest|armastust väljendav žest: keskmine nahatoon|ILY|käsi|keskmine nahatoon
	🤟🏾;armastust väljendav žest: keskmiselt tume nahatoon;armastust väljendav žest|armastust väljendav žest: keskmiselt tume nahatoon|ILY|käsi|keskmiselt tume nahatoon
	🤟🏿;armastust väljendav žest: tume nahatoon;armastust väljendav žest|armastust väljendav žest: tume nahatoon|ILY|käsi|tume nahatoon
🤘;sarvede märk;käsi|keha|rokk|sarved|sarvede märk|sõrm
	🤘🏻;sarvede märk: hele nahatoon;hele nahatoon|käsi|keha|rokk|sarved|sarvede märk|sarvede märk: hele nahatoon|sõrm
	🤘🏼;sarvede märk: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|rokk|sarved|sarvede märk|sarvede märk: keskmiselt hele nahatoon|sõrm
	🤘🏽;sarvede märk: keskmine nahatoon;käsi|keha|keskmine nahatoon|rokk|sarved|sarvede märk|sarvede märk: keskmine nahatoon|sõrm
	🤘🏾;sarvede märk: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|rokk|sarved|sarvede märk|sarvede märk: keskmiselt tume nahatoon|sõrm
	🤘🏿;sarvede märk: tume nahatoon;käsi|keha|rokk|sarved|sarvede märk|sarvede märk: tume nahatoon|sõrm|tume nahatoon
🤙;helista mulle;helista|helista mulle|käsi
	🤙🏻;helista mulle: hele nahatoon;hele nahatoon|helista|helista mulle|helista mulle: hele nahatoon|käsi
	🤙🏼;helista mulle: keskmiselt hele nahatoon;helista|helista mulle|helista mulle: keskmiselt hele nahatoon|käsi|keskmiselt hele nahatoon
	🤙🏽;helista mulle: keskmine nahatoon;helista|helista mulle|helista mulle: keskmine nahatoon|käsi|keskmine nahatoon
	🤙🏾;helista mulle: keskmiselt tume nahatoon;helista|helista mulle|helista mulle: keskmiselt tume nahatoon|käsi|keskmiselt tume nahatoon
	🤙🏿;helista mulle: tume nahatoon;helista|helista mulle|helista mulle: tume nahatoon|käsi|tume nahatoon
👈;vasakule osutav sõrm;käsi|keha|nimetissõrm|osutamine|sõrm|vasakule osutav sõrm
	👈🏻;vasakule osutav sõrm: hele nahatoon;hele nahatoon|käsi|keha|nimetissõrm|osutamine|sõrm|vasakule osutav sõrm|vasakule osutav sõrm: hele nahatoon
	👈🏼;vasakule osutav sõrm: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|nimetissõrm|osutamine|sõrm|vasakule osutav sõrm|vasakule osutav sõrm: keskmiselt hele nahatoon
	👈🏽;vasakule osutav sõrm: keskmine nahatoon;käsi|keha|keskmine nahatoon|nimetissõrm|osutamine|sõrm|vasakule osutav sõrm|vasakule osutav sõrm: keskmine nahatoon
	👈🏾;vasakule osutav sõrm: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|nimetissõrm|osutamine|sõrm|vasakule osutav sõrm|vasakule osutav sõrm: keskmiselt tume nahatoon
	👈🏿;vasakule osutav sõrm: tume nahatoon;käsi|keha|nimetissõrm|osutamine|sõrm|tume nahatoon|vasakule osutav sõrm|vasakule osutav sõrm: tume nahatoon
👉;paremale osutav sõrm;käsi|keha|nimetissõrm|osutamine|paremale osutav sõrm|sõrm
	👉🏻;paremale osutav sõrm: hele nahatoon;hele nahatoon|käsi|keha|nimetissõrm|osutamine|paremale osutav sõrm|paremale osutav sõrm: hele nahatoon|sõrm
	👉🏼;paremale osutav sõrm: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|nimetissõrm|osutamine|paremale osutav sõrm|paremale osutav sõrm: keskmiselt hele nahatoon|sõrm
	👉🏽;paremale osutav sõrm: keskmine nahatoon;käsi|keha|keskmine nahatoon|nimetissõrm|osutamine|paremale osutav sõrm|paremale osutav sõrm: keskmine nahatoon|sõrm
	👉🏾;paremale osutav sõrm: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|nimetissõrm|osutamine|paremale osutav sõrm|paremale osutav sõrm: keskmiselt tume nahatoon|sõrm
	👉🏿;paremale osutav sõrm: tume nahatoon;käsi|keha|nimetissõrm|osutamine|paremale osutav sõrm|paremale osutav sõrm: tume nahatoon|sõrm|tume nahatoon
👆;üles osutav sõrm tagantvaates;käsi|keha|nimetissõrm|osutamine|sõrm|üles osutav sõrm tagantvaates
	👆🏻;üles osutav sõrm tagantvaates: hele nahatoon;hele nahatoon|käsi|keha|nimetissõrm|osutamine|sõrm|üles osutav sõrm tagantvaates|üles osutav sõrm tagantvaates: hele nahatoon
	👆🏼;üles osutav sõrm tagantvaates: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm tagantvaates|üles osutav sõrm tagantvaates: keskmiselt hele nahatoon
	👆🏽;üles osutav sõrm tagantvaates: keskmine nahatoon;käsi|keha|keskmine nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm tagantvaates|üles osutav sõrm tagantvaates: keskmine nahatoon
	👆🏾;üles osutav sõrm tagantvaates: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm tagantvaates|üles osutav sõrm tagantvaates: keskmiselt tume nahatoon
	👆🏿;üles osutav sõrm tagantvaates: tume nahatoon;käsi|keha|nimetissõrm|osutamine|sõrm|tume nahatoon|üles osutav sõrm tagantvaates|üles osutav sõrm tagantvaates: tume nahatoon
🖕;keskmine sõrm;käsi|keha|keskmine|sõrm
	🖕🏻;keskmine sõrm: hele nahatoon;hele nahatoon|käsi|keha|keskmine|keskmine sõrm: hele nahatoon|sõrm
	🖕🏼;keskmine sõrm: keskmiselt hele nahatoon;käsi|keha|keskmine|keskmine sõrm: keskmiselt hele nahatoon|keskmiselt hele nahatoon|sõrm
	🖕🏽;keskmine sõrm: keskmine nahatoon;käsi|keha|keskmine|keskmine nahatoon|keskmine sõrm: keskmine nahatoon|sõrm
	🖕🏾;keskmine sõrm: keskmiselt tume nahatoon;käsi|keha|keskmine|keskmine sõrm: keskmiselt tume nahatoon|keskmiselt tume nahatoon|sõrm
	🖕🏿;keskmine sõrm: tume nahatoon;käsi|keha|keskmine|keskmine sõrm: tume nahatoon|sõrm|tume nahatoon
👇;alla osutav sõrm;alla osutav sõrm|käsi|keha|nimetissõrm|osutamine|sõrm
	👇🏻;alla osutav sõrm: hele nahatoon;alla osutav sõrm|alla osutav sõrm: hele nahatoon|hele nahatoon|käsi|keha|nimetissõrm|osutamine|sõrm
	👇🏼;alla osutav sõrm: keskmiselt hele nahatoon;alla osutav sõrm|alla osutav sõrm: keskmiselt hele nahatoon|käsi|keha|keskmiselt hele nahatoon|nimetissõrm|osutamine|sõrm
	👇🏽;alla osutav sõrm: keskmine nahatoon;alla osutav sõrm|alla osutav sõrm: keskmine nahatoon|käsi|keha|keskmine nahatoon|nimetissõrm|osutamine|sõrm
	👇🏾;alla osutav sõrm: keskmiselt tume nahatoon;alla osutav sõrm|alla osutav sõrm: keskmiselt tume nahatoon|käsi|keha|keskmiselt tume nahatoon|nimetissõrm|osutamine|sõrm
	👇🏿;alla osutav sõrm: tume nahatoon;alla osutav sõrm|alla osutav sõrm: tume nahatoon|käsi|keha|nimetissõrm|osutamine|sõrm|tume nahatoon
☝️;üles osutav sõrm;käsi|keha|nimetissõrm|osutamine|sõrm|üles osutav sõrm
	☝🏻;üles osutav sõrm: hele nahatoon;hele nahatoon|käsi|keha|nimetissõrm|osutamine|sõrm|üles osutav sõrm|üles osutav sõrm: hele nahatoon
	☝🏼;üles osutav sõrm: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm|üles osutav sõrm: keskmiselt hele nahatoon
	☝🏽;üles osutav sõrm: keskmine nahatoon;käsi|keha|keskmine nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm|üles osutav sõrm: keskmine nahatoon
	☝🏾;üles osutav sõrm: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|nimetissõrm|osutamine|sõrm|üles osutav sõrm|üles osutav sõrm: keskmiselt tume nahatoon
	☝🏿;üles osutav sõrm: tume nahatoon;käsi|keha|nimetissõrm|osutamine|sõrm|tume nahatoon|üles osutav sõrm|üles osutav sõrm: tume nahatoon
🫵;vaataja poole osutav nimetissõrm;osutama|sina|vaataja poole osutav nimetissõrm
	🫵🏻;vaataja poole osutav nimetissõrm: hele nahatoon;hele nahatoon|osutama|sina|vaataja poole osutav nimetissõrm|vaataja poole osutav nimetissõrm: hele nahatoon
	🫵🏼;vaataja poole osutav nimetissõrm: keskmiselt hele nahatoon;keskmiselt hele nahatoon|osutama|sina|vaataja poole osutav nimetissõrm|vaataja poole osutav nimetissõrm: keskmiselt hele nahatoon
	🫵🏽;vaataja poole osutav nimetissõrm: keskmine nahatoon;keskmine nahatoon|osutama|sina|vaataja poole osutav nimetissõrm|vaataja poole osutav nimetissõrm: keskmine nahatoon
	🫵🏾;vaataja poole osutav nimetissõrm: keskmiselt tume nahatoon;keskmiselt tume nahatoon|osutama|sina|vaataja poole osutav nimetissõrm|vaataja poole osutav nimetissõrm: keskmiselt tume nahatoon
	🫵🏿;vaataja poole osutav nimetissõrm: tume nahatoon;osutama|sina|tume nahatoon|vaataja poole osutav nimetissõrm|vaataja poole osutav nimetissõrm: tume nahatoon
👍;meeldib;käsi|keha|meeldib|pöial
	👍🏻;meeldib: hele nahatoon;hele nahatoon|käsi|keha|meeldib|meeldib: hele nahatoon|pöial
	👍🏼;meeldib: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|meeldib|meeldib: keskmiselt hele nahatoon|pöial
	👍🏽;meeldib: keskmine nahatoon;käsi|keha|keskmine nahatoon|meeldib|meeldib: keskmine nahatoon|pöial
	👍🏾;meeldib: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|meeldib|meeldib: keskmiselt tume nahatoon|pöial
	👍🏿;meeldib: tume nahatoon;käsi|keha|meeldib|meeldib: tume nahatoon|pöial|tume nahatoon
👎;ei meeldi;ei meeldi|käsi|keha|pöial
	👎🏻;ei meeldi: hele nahatoon;ei meeldi|ei meeldi: hele nahatoon|hele nahatoon|käsi|keha|pöial
	👎🏼;ei meeldi: keskmiselt hele nahatoon;ei meeldi|ei meeldi: keskmiselt hele nahatoon|käsi|keha|keskmiselt hele nahatoon|pöial
	👎🏽;ei meeldi: keskmine nahatoon;ei meeldi|ei meeldi: keskmine nahatoon|käsi|keha|keskmine nahatoon|pöial
	👎🏾;ei meeldi: keskmiselt tume nahatoon;ei meeldi|ei meeldi: keskmiselt tume nahatoon|käsi|keha|keskmiselt tume nahatoon|pöial
	👎🏿;ei meeldi: tume nahatoon;ei meeldi|ei meeldi: tume nahatoon|käsi|keha|pöial|tume nahatoon
✊;ülestõstetud rusikas;käsi|keha|löök|rusikas|ülestõstetud rusikas
	✊🏻;ülestõstetud rusikas: hele nahatoon;hele nahatoon|käsi|keha|löök|rusikas|ülestõstetud rusikas|ülestõstetud rusikas: hele nahatoon
	✊🏼;ülestõstetud rusikas: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|löök|rusikas|ülestõstetud rusikas|ülestõstetud rusikas: keskmiselt hele nahatoon
	✊🏽;ülestõstetud rusikas: keskmine nahatoon;käsi|keha|keskmine nahatoon|löök|rusikas|ülestõstetud rusikas|ülestõstetud rusikas: keskmine nahatoon
	✊🏾;ülestõstetud rusikas: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|löök|rusikas|ülestõstetud rusikas|ülestõstetud rusikas: keskmiselt tume nahatoon
	✊🏿;ülestõstetud rusikas: tume nahatoon;käsi|keha|löök|rusikas|tume nahatoon|ülestõstetud rusikas|ülestõstetud rusikas: tume nahatoon
👊;rusikalöök;käsi|keha|löök|rusikalöök|rusikas
	👊🏻;rusikalöök: hele nahatoon;hele nahatoon|käsi|keha|löök|rusikalöök|rusikalöök: hele nahatoon|rusikas
	👊🏼;rusikalöök: keskmiselt hele nahatoon;käsi|keha|keskmiselt hele nahatoon|löök|rusikalöök|rusikalöök: keskmiselt hele nahatoon|rusikas
	👊🏽;rusikalöök: keskmine nahatoon;käsi|keha|keskmine nahatoon|löök|rusikalöök|rusikalöök: keskmine nahatoon|rusikas
	👊🏾;rusikalöök: keskmiselt tume nahatoon;käsi|keha|keskmiselt tume nahatoon|löök|rusikalöök|rusikalöök: keskmiselt tume nahatoon|rusikas
	👊🏿;rusikalöök: tume nahatoon;käsi|keha|löök|rusikalöök|rusikalöök: tume nahatoon|rusikas|tume nahatoon
🤛;vasakule suunatud rusikas;rusikas|vasakule|vasakule suunatud rusikas
	🤛🏻;vasakule suunatud rusikas: hele nahatoon;hele nahatoon|rusikas|vasakule|vasakule suunatud rusikas|vasakule suunatud rusikas: hele nahatoon
	🤛🏼;vasakule suunatud rusikas: keskmiselt hele nahatoon;keskmiselt hele nahatoon|rusikas|vasakule|vasakule suunatud rusikas|vasakule suunatud rusikas: keskmiselt hele nahatoon
	🤛🏽;vasakule suunatud rusikas: keskmine nahatoon;keskmine nahatoon|rusikas|vasakule|vasakule suunatud rusikas|vasakule suunatud rusikas: keskmine nahatoon
	🤛🏾;vasakule suunatud rusikas: keskmiselt tume nahatoon;keskmiselt tume nahatoon|rusikas|vasakule|vasakule suunatud rusikas|vasakule suunatud rusikas: keskmiselt tume nahatoon
	🤛🏿;vasakule suunatud rusikas: tume nahatoon;rusikas|tume nahatoon|vasakule|vasakule suunatud rusikas|vasakule suunatud rusikas: tume nahatoon
🤜;paremale suunatud rusikas;paremale|paremale suunatud rusikas|rusikas
	🤜🏻;paremale suunatud rusikas: hele nahatoon;hele nahatoon|paremale|paremale suunatud rusikas|paremale suunatud rusikas: hele nahatoon|rusikas
	🤜🏼;paremale suunatud rusikas: keskmiselt hele nahatoon;keskmiselt hele nahatoon|paremale|paremale suunatud rusikas|paremale suunatud rusikas: keskmiselt hele nahatoon|rusikas
	🤜🏽;paremale suunatud rusikas: keskmine nahatoon;keskmine nahatoon|paremale|paremale suunatud rusikas|paremale suunatud rusikas: keskmine nahatoon|rusikas
	🤜🏾;paremale suunatud rusikas: keskmiselt tume nahatoon;keskmiselt tume nahatoon|paremale|paremale suunatud rusikas|paremale suunatud rusikas: keskmiselt tume nahatoon|rusikas
	🤜🏿;paremale suunatud rusikas: tume nahatoon;paremale|paremale suunatud rusikas|paremale suunatud rusikas: tume nahatoon|rusikas|tume nahatoon
👏;plaksutavad käed;aplaus|käsi|keha|plaksutamine|plaksutavad käed
	👏🏻;plaksutavad käed: hele nahatoon;aplaus|hele nahatoon|käsi|keha|plaksutamine|plaksutavad käed|plaksutavad käed: hele nahatoon
	👏🏼;plaksutavad käed: keskmiselt hele nahatoon;aplaus|käsi|keha|keskmiselt hele nahatoon|plaksutamine|plaksutavad käed|plaksutavad käed: keskmiselt hele nahatoon
	👏🏽;plaksutavad käed: keskmine nahatoon;aplaus|käsi|keha|keskmine nahatoon|plaksutamine|plaksutavad käed|plaksutavad käed: keskmine nahatoon
	👏🏾;plaksutavad käed: keskmiselt tume nahatoon;aplaus|käsi|keha|keskmiselt tume nahatoon|plaksutamine|plaksutavad käed|plaksutavad käed: keskmiselt tume nahatoon
	👏🏿;plaksutavad käed: tume nahatoon;aplaus|käsi|keha|plaksutamine|plaksutavad käed|plaksutavad käed: tume nahatoon|tume nahatoon
🙌;ülestõstetud käed;hurraa|käed|tähistamine|ülestõstetud käed|žest
	🙌🏻;ülestõstetud käed: hele nahatoon;hele nahatoon|hurraa|käed|tähistamine|ülestõstetud käed|ülestõstetud käed: hele nahatoon|žest
	🙌🏼;ülestõstetud käed: keskmiselt hele nahatoon;hurraa|käed|keskmiselt hele nahatoon|tähistamine|ülestõstetud käed|ülestõstetud käed: keskmiselt hele nahatoon|žest
	🙌🏽;ülestõstetud käed: keskmine nahatoon;hurraa|käed|keskmine nahatoon|tähistamine|ülestõstetud käed|ülestõstetud käed: keskmine nahatoon|žest
	🙌🏾;ülestõstetud käed: keskmiselt tume nahatoon;hurraa|käed|keskmiselt tume nahatoon|tähistamine|ülestõstetud käed|ülestõstetud käed: keskmiselt tume nahatoon|žest
	🙌🏿;ülestõstetud käed: tume nahatoon;hurraa|käed|tähistamine|tume nahatoon|ülestõstetud käed|ülestõstetud käed: tume nahatoon|žest
🫶;südant moodustavad käed;armastus|südant moodustavad käed
	🫶🏻;südant moodustavad käed: hele nahatoon;armastus|hele nahatoon|südant moodustavad käed|südant moodustavad käed: hele nahatoon
	🫶🏼;südant moodustavad käed: keskmiselt hele nahatoon;armastus|keskmiselt hele nahatoon|südant moodustavad käed|südant moodustavad käed: keskmiselt hele nahatoon
	🫶🏽;südant moodustavad käed: keskmine nahatoon;armastus|keskmine nahatoon|südant moodustavad käed|südant moodustavad käed: keskmine nahatoon
	🫶🏾;südant moodustavad käed: keskmiselt tume nahatoon;armastus|keskmiselt tume nahatoon|südant moodustavad käed|südant moodustavad käed: keskmiselt tume nahatoon
	🫶🏿;südant moodustavad käed: tume nahatoon;armastus|südant moodustavad käed|südant moodustavad käed: tume nahatoon|tume nahatoon
👐;avatud käed;avatud|avatud käed|käsi|keha
	👐🏻;avatud käed: hele nahatoon;avatud|avatud käed|avatud käed: hele nahatoon|hele nahatoon|käsi|keha
	👐🏼;avatud käed: keskmiselt hele nahatoon;avatud|avatud käed|avatud käed: keskmiselt hele nahatoon|käsi|keha|keskmiselt hele nahatoon
	👐🏽;avatud käed: keskmine nahatoon;avatud|avatud käed|avatud käed: keskmine nahatoon|käsi|keha|keskmine nahatoon
	👐🏾;avatud käed: keskmiselt tume nahatoon;avatud|avatud käed|avatud käed: keskmiselt tume nahatoon|käsi|keha|keskmiselt tume nahatoon
	👐🏿;avatud käed: tume nahatoon;avatud|avatud käed|avatud käed: tume nahatoon|käsi|keha|tume nahatoon
🤲;peopesad üleval koos;palve|peopesad üleval koos
	🤲🏻;peopesad üleval koos: hele nahatoon;hele nahatoon|palve|peopesad üleval koos|peopesad üleval koos: hele nahatoon
	🤲🏼;peopesad üleval koos: keskmiselt hele nahatoon;keskmiselt hele nahatoon|palve|peopesad üleval koos|peopesad üleval koos: keskmiselt hele nahatoon
	🤲🏽;peopesad üleval koos: keskmine nahatoon;keskmine nahatoon|palve|peopesad üleval koos|peopesad üleval koos: keskmine nahatoon
	🤲🏾;peopesad üleval koos: keskmiselt tume nahatoon;keskmiselt tume nahatoon|palve|peopesad üleval koos|peopesad üleval koos: keskmiselt tume nahatoon
	🤲🏿;peopesad üleval koos: tume nahatoon;palve|peopesad üleval koos|peopesad üleval koos: tume nahatoon|tume nahatoon
🤝;käepigistus;käepigistus|käsi|kohtumine|tervitus
	🤝🏻;käepigistus: hele nahatoon;hele nahatoon|käepigistus|käepigistus: hele nahatoon|käsi|kohtumine|tervitus
	🤝🏼;käepigistus: keskmiselt hele nahatoon;käepigistus|käepigistus: keskmiselt hele nahatoon|käsi|keskmiselt hele nahatoon|kohtumine|tervitus
	🤝🏽;käepigistus: keskmine nahatoon;käepigistus|käepigistus: keskmine nahatoon|käsi|keskmine nahatoon|kohtumine|tervitus
	🤝🏾;käepigistus: keskmiselt tume nahatoon;käepigistus|käepigistus: keskmiselt tume nahatoon|käsi|keskmiselt tume nahatoon|kohtumine|tervitus
	🤝🏿;käepigistus: tume nahatoon;käepigistus|käepigistus: tume nahatoon|käsi|kohtumine|tervitus|tume nahatoon
	🫱🏻‍🫲🏼;käepigistus: hele nahatoon, keskmiselt hele nahatoon;hele nahatoon|käepigistus|käepigistus: hele nahatoon, keskmiselt hele nahatoon|käsi|keskmiselt hele nahatoon|kohtumine|tervitus
	🫱🏻‍🫲🏽;käepigistus: hele nahatoon, keskmine nahatoon;hele nahatoon|käepigistus|käepigistus: hele nahatoon, keskmine nahatoon|käsi|keskmine nahatoon|kohtumine|tervitus
	🫱🏻‍🫲🏾;käepigistus: hele nahatoon, keskmiselt tume nahatoon;hele nahatoon|käepigistus|käepigistus: hele nahatoon, keskmiselt tume nahatoon|käsi|keskmiselt tume nahatoon|kohtumine|tervitus
	🫱🏻‍🫲🏿;käepigistus: hele nahatoon, tume nahatoon;hele nahatoon|käepigistus|käepigistus: hele nahatoon, tume nahatoon|käsi|kohtumine|tervitus|tume nahatoon
	🫱🏼‍🫲🏻;käepigistus: keskmiselt hele nahatoon, hele nahatoon;hele nahatoon|käepigistus|käepigistus: keskmiselt hele nahatoon, hele nahatoon|käsi|keskmiselt hele nahatoon|kohtumine|tervitus
