# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت با لبخند|لبخند|نیش باز
	🤏🏻;دست در حال نیشگون گرفتن: پوست سفید;پوست سفید|دست در حال نیشگون گرفتن|دست در حال نیشگون گرفتن: پوست سفید|مقدار کم
	🤏🏼;دست در حال نیشگون گرفتن: پوست روشن;پوست روشن|دست در حال نیشگون گرفتن|دست در حال نیشگون گرفتن: پوست روشن|مقدار کم
	🤏🏽;دست در حال نیشگون گرفتن: پوست طلایی;پوست طلایی|دست در حال نیشگون گرفتن|دست در حال نیشگون گرفتن: پوست طلایی|مقدار کم
	🤏🏾;دست در حال نیشگون گرفتن: پوست گندمی;پوست گندمی|دست در حال نیشگون گرفتن|دست در حال نیشگون گرفتن: پوست گندمی|مقدار کم
	🤏🏿;دست در حال نیشگون گرفتن: پوست آبنوسی;پوست آبنوسی|دست در حال نیشگون گرفتن|دست در حال نیشگون گرفتن: پوست آبنوسی|مقدار کم
✌️;علامت پیروزی;بدن|پیروزی|دست|علامت پیروزی|وی
	✌🏻;علامت پیروزی: پوست سفید;بدن|پوست سفید|پیروزی|دست|علامت پیروزی|علامت پیروزی: پوست سفید|وی
	✌🏼;علامت پیروزی: پوست روشن;بدن|پوست روشن|پیروزی|دست|علامت پیروزی|علامت پیروزی: پوست روشن|وی
	✌🏽;علامت پیروزی: پوست طلایی;بدن|پوست طلایی|پیروزی|دست|علامت پیروزی|علامت پیروزی: پوست طلایی|وی
	✌🏾;علامت پیروزی: پوست گندمی;بدن|پوست گندمی|پیروزی|دست|علامت پیروزی|علامت پیروزی: پوست گندمی|وی
	✌🏿;علامت پیروزی: پوست آبنوسی;بدن|پوست آبنوسی|پیروزی|دست|علامت پیروزی|علامت پیروزی: پوست آبنوسی|وی
🤞;انگشتان گره خورده;انگشت|انگشتان گره خورده|بخت|پنجه|دست|شانس|گره
	🤞🏻;انگشتان گره خورده: پوست سفید;انگشت|انگشتان گره خورده|انگشتان گره خورده: پوست سفید|بخت|پنجه|پوست سفید|دست|شانس|گره
	🤞🏼;انگشتان گره خورده: پوست روشن;انگشت|انگشتان گره خورده|انگشتان گره خورده: پوست روشن|بخت|پنجه|پوست روشن|دست|شانس|گره
	🤞🏽;انگشتان گره خورده: پوست طلایی;انگشت|انگشتان گره خورده|انگشتان گره خورده: پوست طلایی|بخت|پنجه|پوست طلایی|دست|شانس|گره
	🤞🏾;انگشتان گره خورده: پوست گندمی;انگشت|انگشتان گره خورده|انگشتان گره خورده: پوست گندمی|بخت|پنجه|پوست گندمی|دست|شانس|گره
	🤞🏿;انگشتان گره خورده: پوست آبنوسی;انگشت|انگشتان گره خورده|انگشتان گره خورده: پوست آبنوسی|بخت|پنجه|پوست آبنوسی|دست|شانس|گره
🫰;دست با انگشت اشاره و شست متقاطع;بشکن|پول|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏻;دست با انگشت اشاره و شست متقاطع: پوست سفید;بشکن|پوست سفید|پول|دست با انگشت اشاره و شست متقاطع|دست با انگشت اشاره و شست متقاطع: پوست سفید|عشق|قلب|گران
	🫰🏼;دست با انگشت اشاره و شست متقاطع: پوست روشن;بشکن|پوست روشن|پول|دست با انگشت اشاره و شست متقاطع|دست با انگشت اشاره و شست متقاطع: پوست روشن|عشق|قلب|گران
	🫰🏽;دست با انگشت اشاره و شست متقاطع: پوست طلایی;بشکن|پوست طلایی|پول|دست با انگشت اشاره و شست متقاطع|دست با انگشت اشاره و شست متقاطع: پوست طلایی|عشق|قلب|گران
	🫰🏾;دست با انگشت اشاره و شست متقاطع: پوست گندمی;بشکن|پوست گندمی|پول|دست با انگشت اشاره و شست متقاطع|دست با انگشت اشاره و شست متقاطع: پوست گندمی|عشق|قلب|گران
	🫰🏿;دست با انگشت اشاره و شست متقاطع: پوست آبنوسی;بشکن|پوست آبنوسی|پول|دست با انگشت اشاره و شست متقاطع|دست با انگشت اشاره و شست متقاطع: پوست آبنوسی|عشق|قلب|گران
🤟;علامت دوستت دارم;دست|دوست دارم|دوستت دارم|علامت دوستت دارم
	🤟🏻;علامت دوستت دارم: پوست سفید;پوست سفید|دست|دوست دارم|دوستت دارم|علامت دوستت دارم|علامت دوستت دارم: پوست سفید
	🤟🏼;علامت دوستت دارم: پوست روشن;پوست روشن|دست|دوست دارم|دوستت دارم|علامت دوستت دارم|علامت دوستت دارم: پوست روشن
	🤟🏽;علامت دوستت دارم: پوست طلایی;پوست طلایی|دست|دوست دارم|دوستت دارم|علامت دوستت دارم|علامت دوستت دارم: پوست طلایی
	🤟🏾;علامت دوستت دارم: پوست گندمی;پوست گندمی|دست|دوست دارم|دوستت دارم|علامت دوستت دارم|علامت دوستت دارم: پوست گندمی
	🤟🏿;علامت دوستت دارم: پوست آبنوسی;پوست آبنوسی|دست|دوست دارم|دوستت دارم|علامت دوستت دارم|علامت دوستت دارم: پوست آبنوسی
🤘;نماد شاخ;انگشت|دست|راک|شاخ|شیطان|نماد شاخ
	🤘🏻;نماد شاخ: پوست سفید;انگشت|پوست سفید|دست|راک|شاخ|شیطان|نماد شاخ|نماد شاخ: پوست سفید
	🤘🏼;نماد شاخ: پوست روشن;انگشت|پوست روشن|دست|راک|شاخ|شیطان|نماد شاخ|نماد شاخ: پوست روشن
	🤘🏽;نماد شاخ: پوست طلایی;انگشت|پوست طلایی|دست|راک|شاخ|شیطان|نماد شاخ|نماد شاخ: پوست طلایی
	🤘🏾;نماد شاخ: پوست گندمی;انگشت|پوست گندمی|دست|راک|شاخ|شیطان|نماد شاخ|نماد شاخ: پوست گندمی
	🤘🏿;نماد شاخ: پوست آبنوسی;انگشت|پوست آبنوسی|دست|راک|شاخ|شیطان|نماد شاخ|نماد شاخ: پوست آبنوسی
🤙;دست به شکل تلفن;تلفن|تماس بگیر|دست|دست به شکل تلفن|زنگ بزن
	🤙🏻;دست به شکل تلفن: پوست سفید;پوست سفید|تلفن|تماس بگیر|دست|دست به شکل تلفن|دست به شکل تلفن: پوست سفید|زنگ بزن
	🤙🏼;دست به شکل تلفن: پوست روشن;پوست روشن|تلفن|تماس بگیر|دست|دست به شکل تلفن|دست به شکل تلفن: پوست روشن|زنگ بزن
	🤙🏽;دست به شکل تلفن: پوست طلایی;پوست طلایی|تلفن|تماس بگیر|دست|دست به شکل تلفن|دست به شکل تلفن: پوست طلایی|زنگ بزن
	🤙🏾;دست به شکل تلفن: پوست گندمی;پوست گندمی|تلفن|تماس بگیر|دست|دست به شکل تلفن|دست به شکل تلفن: پوست گندمی|زنگ بزن
	🤙🏿;دست به شکل تلفن: پوست آبنوسی;پوست آبنوسی|تلفن|تماس بگیر|دست|دست به شکل تلفن|دست به شکل تلفن: پوست آبنوسی|زنگ بزن
👈;اشاره به چپ;اشاره|اشاره به چپ|انگشت|بدن|پشت دست|دست
	👈🏻;اشاره به چپ: پوست سفید;اشاره|اشاره به چپ|اشاره به چپ: پوست سفید|انگشت|بدن|پشت دست|پوست سفید|دست
	👈🏼;اشاره به چپ: پوست روشن;اشاره|اشاره به چپ|اشاره به چپ: پوست روشن|انگشت|بدن|پشت دست|پوست روشن|دست
	👈🏽;اشاره به چپ: پوست طلایی;اشاره|اشاره به چپ|اشاره به چپ: پوست طلایی|انگشت|بدن|پشت دست|پوست طلایی|دست
	👈🏾;اشاره به چپ: پوست گندمی;اشاره|اشاره به چپ|اشاره به چپ: پوست گندمی|انگشت|بدن|پشت دست|پوست گندمی|دست
	👈🏿;اشاره به چپ: پوست آبنوسی;اشاره|اشاره به چپ|اشاره به چپ: پوست آبنوسی|انگشت|بدن|پشت دست|پوست آبنوسی|دست
👉;اشاره به راست;اشاره|اشاره به راست|انگشت|بدن|پشت دست|دست
	👉🏻;اشاره به راست: پوست سفید;اشاره|اشاره به راست|اشاره به راست: پوست سفید|انگشت|بدن|پشت دست|پوست سفید|دست
	👉🏼;اشاره به راست: پوست روشن;اشاره|اشاره به راست|اشاره به راست: پوست روشن|انگشت|بدن|پشت دست|پوست روشن|دست
	👉🏽;اشاره به راست: پوست طلایی;اشاره|اشاره به راست|اشاره به راست: پوست طلایی|انگشت|بدن|پشت دست|پوست طلایی|دست
	👉🏾;اشاره به راست: پوست گندمی;اشاره|اشاره به راست|اشاره به راست: پوست گندمی|انگشت|بدن|پشت دست|پوست گندمی|دست
	👉🏿;اشاره به راست: پوست آبنوسی;اشاره|اشاره به راست|اشاره به راست: پوست آبنوسی|انگشت|بدن|پشت دست|پوست آبنوسی|دست
👆;اشاره به بالا با پشت دست;اشاره|اشاره به بالا با پشت دست|انگشت|بالا|بدن|پشت دست|دست
	👆🏻;اشاره به بالا با پشت دست: پوست سفید;اشاره|اشاره به بالا با پشت دست|اشاره به بالا با پشت دست: پوست سفید|انگشت|بالا|بدن|پشت دست|پوست سفید|دست
	👆🏼;اشاره به بالا با پشت دست: پوست روشن;اشاره|اشاره به بالا با پشت دست|اشاره به بالا با پشت دست: پوست روشن|انگشت|بالا|بدن|پشت دست|پوست روشن|دست
	👆🏽;اشاره به بالا با پشت دست: پوست طلایی;اشاره|اشاره به بالا با پشت دست|اشاره به بالا با پشت دست: پوست طلایی|انگشت|بالا|بدن|پشت دست|پوست طلایی|دست
	👆🏾;اشاره به بالا با پشت دست: پوست گندمی;اشاره|اشاره به بالا با پشت دست|اشاره به بالا با پشت دست: پوست گندمی|انگشت|بالا|بدن|پشت دست|پوست گندمی|دست
	👆🏿;اشاره به بالا با پشت دست: پوست آبنوسی;اشاره|اشاره به بالا با پشت دست|اشاره به بالا با پشت دست: پوست آبنوسی|انگشت|بالا|بدن|پشت دست|پوست آبنوسی|دست
🖕;انگشت میانه;انگشت|انگشت میانه|بدن|دست|ناسزا
	🖕🏻;انگشت میانه: پوست سفید;انگشت|انگشت میانه|انگشت میانه: پوست سفید|بدن|پوست سفید|دست|ناسزا
	🖕🏼;انگشت میانه: پوست روشن;انگشت|انگشت میانه|انگشت میانه: پوست روشن|بدن|پوست روشن|دست|ناسزا
	🖕🏽;انگشت میانه: پوست طلایی;انگشت|انگشت میانه|انگشت میانه: پوست طلایی|بدن|پوست طلایی|دست|ناسزا
	🖕🏾;انگشت میانه: پوست گندمی;انگشت|انگشت میانه|انگشت میانه: پوست گندمی|بدن|پوست گندمی|دست|ناسزا
	🖕🏿;انگشت میانه: پوست آبنوسی;انگشت|انگشت میانه|انگشت میانه: پوست آبنوسی|بدن|پوست آبنوسی|دست|ناسزا
👇;اشاره به پایین;اشاره|اشاره به پایین|انگشت|بدن|پایین|پشت دست|دست
	👇🏻;اشاره به پایین: پوست سفید;اشاره|اشاره به پایین|اشاره به پایین: پوست سفید|انگشت|بدن|پایین|پشت دست|پوست سفید|دست
	👇🏼;اشاره به پایین: پوست روشن;اشاره|اشاره به پایین|اشاره به پایین: پوست روشن|انگشت|بدن|پایین|پشت دست|پوست روشن|دست
	👇🏽;اشاره به پایین: پوست طلایی;اشاره|اشاره به پایین|اشاره به پایین: پوست طلایی|انگشت|بدن|پایین|پشت دست|پوست طلایی|دست
