# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;režeči obraz;obraz|režanje|režeči obraz
	🤌🏿;prsti, stisnjeni skupaj: temen ten kože;izpraševanje|kretnja z roko|prsti|prsti, stisnjeni skupaj|prsti, stisnjeni skupaj: temen ten kože|sarkastično|stisnjen|stisnjeni skupaj|temen ten kože
🤏;roka s ščepcem;majhna količina|malo|roka s ščepcem
	🤏🏻;roka s ščepcem: svetel ten kože;majhna količina|malo|roka s ščepcem|roka s ščepcem: svetel ten kože|svetel ten kože
	🤏🏼;roka s ščepcem: srednje svetel ten kože;majhna količina|malo|roka s ščepcem|roka s ščepcem: srednje svetel ten kože|srednje svetel ten kože
	🤏🏽;roka s ščepcem: srednji ten kože;majhna količina|malo|roka s ščepcem|roka s ščepcem: srednji ten kože|srednji ten kože
	🤏🏾;roka s ščepcem: srednje temen ten kože;majhna količina|malo|roka s ščepcem|roka s ščepcem: srednje temen ten kože|srednje temen ten kože
	🤏🏿;roka s ščepcem: temen ten kože;majhna količina|malo|roka s ščepcem|roka s ščepcem: temen ten kože|temen ten kože
✌️;dlan s prstoma, ki kažeta znak za zmago;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|ki kažeta znak za zmago|telo|v|zmaga
	✌🏻;dlan s prstoma, ki kažeta znak za zmago: svetel ten kože;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|dlan s prstoma, ki kažeta znak za zmago: svetel ten kože|ki kažeta znak za zmago|svetel ten kože|telo|v|zmaga
	✌🏼;dlan s prstoma, ki kažeta znak za zmago: srednje svetel ten kože;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|dlan s prstoma, ki kažeta znak za zmago: srednje svetel ten kože|ki kažeta znak za zmago|srednje svetel ten kože|telo|v|zmaga
	✌🏽;dlan s prstoma, ki kažeta znak za zmago: srednji ten kože;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|dlan s prstoma, ki kažeta znak za zmago: srednji ten kože|ki kažeta znak za zmago|srednji ten kože|telo|v|zmaga
	✌🏾;dlan s prstoma, ki kažeta znak za zmago: srednje temen ten kože;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|dlan s prstoma, ki kažeta znak za zmago: srednje temen ten kože|ki kažeta znak za zmago|srednje temen ten kože|telo|v|zmaga
	✌🏿;dlan s prstoma, ki kažeta znak za zmago: temen ten kože;dlan|dlan s prstoma|dlan s prstoma, ki kažeta znak za zmago|dlan s prstoma, ki kažeta znak za zmago: temen ten kože|ki kažeta znak za zmago|telo|temen ten kože|v|zmaga
🤞;prekrižani prsti;prekrižani prsti|prsti|roka|sreča
	🤞🏻;prekrižani prsti: svetel ten kože;prekrižani prsti|prekrižani prsti: svetel ten kože|prsti|roka|sreča|svetel ten kože
	🤞🏼;prekrižani prsti: srednje svetel ten kože;prekrižani prsti|prekrižani prsti: srednje svetel ten kože|prsti|roka|sreča|srednje svetel ten kože
	🤞🏽;prekrižani prsti: srednji ten kože;prekrižani prsti|prekrižani prsti: srednji ten kože|prsti|roka|sreča|srednji ten kože
	🤞🏾;prekrižani prsti: srednje temen ten kože;prekrižani prsti|prekrižani prsti: srednje temen ten kože|prsti|roka|sreča|srednje temen ten kože
	🤞🏿;prekrižani prsti: temen ten kože;prekrižani prsti|prekrižani prsti: temen ten kože|prsti|roka|sreča|temen ten kože
🫰;roka s prekrižanima kazalcem in palcem;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|tlesk
	🫰🏻;roka s prekrižanima kazalcem in palcem: svetel ten kože;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|roka s prekrižanima kazalcem in palcem: svetel ten kože|svetel ten kože|tlesk
	🫰🏼;roka s prekrižanima kazalcem in palcem: srednje svetel ten kože;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|roka s prekrižanima kazalcem in palcem: srednje svetel ten kože|srednje svetel ten kože|tlesk
	🫰🏽;roka s prekrižanima kazalcem in palcem: srednji ten kože;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|roka s prekrižanima kazalcem in palcem: srednji ten kože|srednji ten kože|tlesk
	🫰🏾;roka s prekrižanima kazalcem in palcem: srednje temen ten kože;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|roka s prekrižanima kazalcem in palcem: srednje temen ten kože|srednje temen ten kože|tlesk
	🫰🏿;roka s prekrižanima kazalcem in palcem: temen ten kože;denar|drago|pri srcu|priljubljeno|roka s prekrižanima kazalcem in palcem|roka s prekrižanima kazalcem in palcem: temen ten kože|temen ten kože|tlesk
🤟;znak za ljubim te;roka|RTM|znak za ljubim te
	🤟🏻;znak za ljubim te: svetel ten kože;roka|RTM|svetel ten kože|znak za ljubim te|znak za ljubim te: svetel ten kože
	🤟🏼;znak za ljubim te: srednje svetel ten kože;roka|RTM|srednje svetel ten kože|znak za ljubim te|znak za ljubim te: srednje svetel ten kože
	🤟🏽;znak za ljubim te: srednji ten kože;roka|RTM|srednji ten kože|znak za ljubim te|znak za ljubim te: srednji ten kože
	🤟🏾;znak za ljubim te: srednje temen ten kože;roka|RTM|srednje temen ten kože|znak za ljubim te|znak za ljubim te: srednje temen ten kože
	🤟🏿;znak za ljubim te: temen ten kože;roka|RTM|temen ten kože|znak za ljubim te|znak za ljubim te: temen ten kože
🤘;znak za rogove;dlan|prst|rock za vedno|rogovi|telo|znak za rogove
	🤘🏻;znak za rogove: svetel ten kože;dlan|prst|rock za vedno|rogovi|svetel ten kože|telo|znak za rogove|znak za rogove: svetel ten kože
	🤘🏼;znak za rogove: srednje svetel ten kože;dlan|prst|rock za vedno|rogovi|srednje svetel ten kože|telo|znak za rogove|znak za rogove: srednje svetel ten kože
	🤘🏽;znak za rogove: srednji ten kože;dlan|prst|rock za vedno|rogovi|srednji ten kože|telo|znak za rogove|znak za rogove: srednji ten kože
	🤘🏾;znak za rogove: srednje temen ten kože;dlan|prst|rock za vedno|rogovi|srednje temen ten kože|telo|znak za rogove|znak za rogove: srednje temen ten kože
	🤘🏿;znak za rogove: temen ten kože;dlan|prst|rock za vedno|rogovi|telo|temen ten kože|znak za rogove|znak za rogove: temen ten kože
🤙;pokliči me;pokliči|pokliči me|roka
	🤙🏻;pokliči me: svetel ten kože;pokliči|pokliči me|pokliči me: svetel ten kože|roka|svetel ten kože
	🤙🏼;pokliči me: srednje svetel ten kože;pokliči|pokliči me|pokliči me: srednje svetel ten kože|roka|srednje svetel ten kože
	🤙🏽;pokliči me: srednji ten kože;pokliči|pokliči me|pokliči me: srednji ten kože|roka|srednji ten kože
	🤙🏾;pokliči me: srednje temen ten kože;pokliči|pokliči me|pokliči me: srednje temen ten kože|roka|srednje temen ten kože
	🤙🏿;pokliči me: temen ten kože;pokliči|pokliči me|pokliči me: temen ten kože|roka|temen ten kože
👈;hrbtna stran dlani s kazalcem, ki kaže levo;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|kazalec|kazati|ki kaže levo|prst|telo
	👈🏻;hrbtna stran dlani s kazalcem, ki kaže levo: svetel ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|hrbtna stran dlani s kazalcem, ki kaže levo: svetel ten kože|kazalec|kazati|ki kaže levo|prst|svetel ten kože|telo
	👈🏼;hrbtna stran dlani s kazalcem, ki kaže levo: srednje svetel ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|hrbtna stran dlani s kazalcem, ki kaže levo: srednje svetel ten kože|kazalec|kazati|ki kaže levo|prst|srednje svetel ten kože|telo
	👈🏽;hrbtna stran dlani s kazalcem, ki kaže levo: srednji ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|hrbtna stran dlani s kazalcem, ki kaže levo: srednji ten kože|kazalec|kazati|ki kaže levo|prst|srednji ten kože|telo
	👈🏾;hrbtna stran dlani s kazalcem, ki kaže levo: srednje temen ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|hrbtna stran dlani s kazalcem, ki kaže levo: srednje temen ten kože|kazalec|kazati|ki kaže levo|prst|srednje temen ten kože|telo
	👈🏿;hrbtna stran dlani s kazalcem, ki kaže levo: temen ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže levo|hrbtna stran dlani s kazalcem, ki kaže levo: temen ten kože|kazalec|kazati|ki kaže levo|prst|telo|temen ten kože
👉;hrbtna stran dlani s kazalcem, ki kaže desno;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|kazalec|kazati|ki kaže desno|prst|telo
	👉🏻;hrbtna stran dlani s kazalcem, ki kaže desno: svetel ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|hrbtna stran dlani s kazalcem, ki kaže desno: svetel ten kože|kazalec|kazati|ki kaže desno|prst|svetel ten kože|telo
	👉🏼;hrbtna stran dlani s kazalcem, ki kaže desno: srednje svetel ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|hrbtna stran dlani s kazalcem, ki kaže desno: srednje svetel ten kože|kazalec|kazati|ki kaže desno|prst|srednje svetel ten kože|telo
	👉🏽;hrbtna stran dlani s kazalcem, ki kaže desno: srednji ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|hrbtna stran dlani s kazalcem, ki kaže desno: srednji ten kože|kazalec|kazati|ki kaže desno|prst|srednji ten kože|telo
	👉🏾;hrbtna stran dlani s kazalcem, ki kaže desno: srednje temen ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|hrbtna stran dlani s kazalcem, ki kaže desno: srednje temen ten kože|kazalec|kazati|ki kaže desno|prst|srednje temen ten kože|telo
	👉🏿;hrbtna stran dlani s kazalcem, ki kaže desno: temen ten kože;dlan|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže desno|hrbtna stran dlani s kazalcem, ki kaže desno: temen ten kože|kazalec|kazati|ki kaže desno|prst|telo|temen ten kože
👆;hrbtna stran dlani s kazalcem, ki kaže gor;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|kazalec|kazati|ki kaže gor|prst
	👆🏻;hrbtna stran dlani s kazalcem, ki kaže gor: svetel ten kože;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|hrbtna stran dlani s kazalcem, ki kaže gor: svetel ten kože|kazalec|kazati|ki kaže gor|prst|svetel ten kože
	👆🏼;hrbtna stran dlani s kazalcem, ki kaže gor: srednje svetel ten kože;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|hrbtna stran dlani s kazalcem, ki kaže gor: srednje svetel ten kože|kazalec|kazati|ki kaže gor|prst|srednje svetel ten kože
	👆🏽;hrbtna stran dlani s kazalcem, ki kaže gor: srednji ten kože;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|hrbtna stran dlani s kazalcem, ki kaže gor: srednji ten kože|kazalec|kazati|ki kaže gor|prst|srednji ten kože
	👆🏾;hrbtna stran dlani s kazalcem, ki kaže gor: srednje temen ten kože;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|hrbtna stran dlani s kazalcem, ki kaže gor: srednje temen ten kože|kazalec|kazati|ki kaže gor|prst|srednje temen ten kože
	👆🏿;hrbtna stran dlani s kazalcem, ki kaže gor: temen ten kože;dlan|gor|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže gor|hrbtna stran dlani s kazalcem, ki kaže gor: temen ten kože|kazalec|kazati|ki kaže gor|prst|temen ten kože
🖕;sredinec;dlan|kazati|prst|sredinec|telo
	🖕🏻;sredinec: svetel ten kože;dlan|kazati|prst|sredinec|sredinec: svetel ten kože|svetel ten kože|telo
	🖕🏼;sredinec: srednje svetel ten kože;dlan|kazati|prst|sredinec|sredinec: srednje svetel ten kože|srednje svetel ten kože|telo
	🖕🏽;sredinec: srednji ten kože;dlan|kazati|prst|sredinec|sredinec: srednji ten kože|srednji ten kože|telo
	🖕🏾;sredinec: srednje temen ten kože;dlan|kazati|prst|sredinec|sredinec: srednje temen ten kože|srednje temen ten kože|telo
	🖕🏿;sredinec: temen ten kože;dlan|kazati|prst|sredinec|sredinec: temen ten kože|telo|temen ten kože
👇;hrbtna stran dlani s kazalcem, ki kaže dol;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|kazalec|kazati|ki kaže dol|prst
	👇🏻;hrbtna stran dlani s kazalcem, ki kaže dol: svetel ten kože;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|hrbtna stran dlani s kazalcem, ki kaže dol: svetel ten kože|kazalec|kazati|ki kaže dol|prst|svetel ten kože
	👇🏼;hrbtna stran dlani s kazalcem, ki kaže dol: srednje svetel ten kože;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|hrbtna stran dlani s kazalcem, ki kaže dol: srednje svetel ten kože|kazalec|kazati|ki kaže dol|prst|srednje svetel ten kože
	👇🏽;hrbtna stran dlani s kazalcem, ki kaže dol: srednji ten kože;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|hrbtna stran dlani s kazalcem, ki kaže dol: srednji ten kože|kazalec|kazati|ki kaže dol|prst|srednji ten kože
	👇🏾;hrbtna stran dlani s kazalcem, ki kaže dol: srednje temen ten kože;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|hrbtna stran dlani s kazalcem, ki kaže dol: srednje temen ten kože|kazalec|kazati|ki kaže dol|prst|srednje temen ten kože
	👇🏿;hrbtna stran dlani s kazalcem, ki kaže dol: temen ten kože;dlan|dol|hrbtna stran|hrbtna stran dlani s kazalcem|hrbtna stran dlani s kazalcem, ki kaže dol|hrbtna stran dlani s kazalcem, ki kaže dol: temen ten kože|kazalec|kazati|ki kaže dol|prst|temen ten kože
☝️;kazalec, ki kaže gor;dlan|gor|kazalec|kazalec, ki kaže gor|kazati|ki kaže gor|prst|telo
	☝🏻;kazalec, ki kaže gor: svetel ten kože;dlan|gor|kazalec|kazalec, ki kaže gor|kazalec, ki kaže gor: svetel ten kože|kazati|ki kaže gor|prst|svetel ten kože|telo
	☝🏼;kazalec, ki kaže gor: srednje svetel ten kože;dlan|gor|kazalec|kazalec, ki kaže gor|kazalec, ki kaže gor: srednje svetel ten kože|kazati|ki kaže gor|prst|srednje svetel ten kože|telo
	☝🏽;kazalec, ki kaže gor: srednji ten kože;dlan|gor|kazalec|kazalec, ki kaže gor|kazalec, ki kaže gor: srednji ten kože|kazati|ki kaže gor|prst|srednji ten kože|telo
	☝🏾;kazalec, ki kaže gor: srednje temen ten kože;dlan|gor|kazalec|kazalec, ki kaže gor|kazalec, ki kaže gor: srednje temen ten kože|kazati|ki kaže gor|prst|srednje temen ten kože|telo
	☝🏿;kazalec, ki kaže gor: temen ten kože;dlan|gor|kazalec|kazalec, ki kaže gor|kazalec, ki kaže gor: temen ten kože|kazati|ki kaže gor|prst|telo|temen ten kože
🫵;kazalec, usmerjen v opazovalca;kazalec|kazalec, usmerjen v opazovalca|kazati|ti|usmerjen v opazovalca
	🫵🏻;kazalec, usmerjen v opazovalca: svetel ten kože;kazalec|kazalec, usmerjen v opazovalca|kazalec, usmerjen v opazovalca: svetel ten kože|kazati|svetel ten kože|ti|usmerjen v opazovalca
	🫵🏼;kazalec, usmerjen v opazovalca: srednje svetel ten kože;kazalec|kazalec, usmerjen v opazovalca|kazalec, usmerjen v opazovalca: srednje svetel ten kože|kazati|srednje svetel ten kože|ti|usmerjen v opazovalca
	🫵🏽;kazalec, usmerjen v opazovalca: srednji ten kože;kazalec|kazalec, usmerjen v opazovalca|kazalec, usmerjen v opazovalca: srednji ten kože|kazati|srednji ten kože|ti|usmerjen v opazovalca
	🫵🏾;kazalec, usmerjen v opazovalca: srednje temen ten kože;kazalec|kazalec, usmerjen v opazovalca|kazalec, usmerjen v opazovalca: srednje temen ten kože|kazati|srednje temen ten kože|ti|usmerjen v opazovalca
	🫵🏿;kazalec, usmerjen v opazovalca: temen ten kože;kazalec|kazalec, usmerjen v opazovalca|kazalec, usmerjen v opazovalca: temen ten kože|kazati|temen ten kože|ti|usmerjen v opazovalca
👍;palec gor;+1|dlan|gor|palec|telo
	👍🏻;palec gor: svetel ten kože;+1|dlan|gor|palec|palec gor: svetel ten kože|svetel ten kože|telo
	👍🏼;palec gor: srednje svetel ten kože;+1|dlan|gor|palec|palec gor: srednje svetel ten kože|srednje svetel ten kože|telo
	👍🏽;palec gor: srednji ten kože;+1|dlan|gor|palec|palec gor: srednji ten kože|srednji ten kože|telo
	👍🏾;palec gor: srednje temen ten kože;+1|dlan|gor|palec|palec gor: srednje temen ten kože|srednje temen ten kože|telo
	👍🏿;palec gor: temen ten kože;+1|dlan|gor|palec|palec gor: temen ten kože|telo|temen ten kože
👎;palec dol;-1|dlan|dol|palec|telo
	👎🏻;palec dol: svetel ten kože;-1|dlan|dol|palec|palec dol: svetel ten kože|svetel ten kože|telo
	👎🏼;palec dol: srednje svetel ten kože;-1|dlan|dol|palec|palec dol: srednje svetel ten kože|srednje svetel ten kože|telo
	👎🏽;palec dol: srednji ten kože;-1|dlan|dol|palec|palec dol: srednji ten kože|srednji ten kože|telo
	👎🏾;palec dol: srednje temen ten kože;-1|dlan|dol|palec|palec dol: srednje temen ten kože|srednje temen ten kože|telo
	👎🏿;palec dol: temen ten kože;-1|dlan|dol|palec|palec dol: temen ten kože|telo|temen ten kože
✊;dvignjena pest;dlan|dvignjena pest|pest|pokrčeno|telo|udarec
	✊🏻;dvignjena pest: svetel ten kože;dlan|dvignjena pest|dvignjena pest: svetel ten kože|pest|pokrčeno|svetel ten kože|telo|udarec
	✊🏼;dvignjena pest: srednje svetel ten kože;dlan|dvignjena pest|dvignjena pest: srednje svetel ten kože|pest|pokrčeno|srednje svetel ten kože|telo|udarec
	✊🏽;dvignjena pest: srednji ten kože;dlan|dvignjena pest|dvignjena pest: srednji ten kože|pest|pokrčeno|srednji ten kože|telo|udarec
	✊🏾;dvignjena pest: srednje temen ten kože;dlan|dvignjena pest|dvignjena pest: srednje temen ten kože|pest|pokrčeno|srednje temen ten kože|telo|udarec
	✊🏿;dvignjena pest: temen ten kože;dlan|dvignjena pest|dvignjena pest: temen ten kože|pest|pokrčeno|telo|temen ten kože|udarec
👊;bližajoča se pest;bližajoča se pest|dlan|pest|pokrčeno|telo|udarec
	👊🏻;bližajoča se pest: svetel ten kože;bližajoča se pest|bližajoča se pest: svetel ten kože|dlan|pest|pokrčeno|svetel ten kože|telo|udarec
	👊🏼;bližajoča se pest: srednje svetel ten kože;bližajoča se pest|bližajoča se pest: srednje svetel ten kože|dlan|pest|pokrčeno|srednje svetel ten kože|telo|udarec
	👊🏽;bližajoča se pest: srednji ten kože;bližajoča se pest|bližajoča se pest: srednji ten kože|dlan|pest|pokrčeno|srednji ten kože|telo|udarec
	👊🏾;bližajoča se pest: srednje temen ten kože;bližajoča se pest|bližajoča se pest: srednje temen ten kože|dlan|pest|pokrčeno|srednje temen ten kože|telo|udarec
	👊🏿;bližajoča se pest: temen ten kože;bližajoča se pest|bližajoča se pest: temen ten kože|dlan|pest|pokrčeno|telo|temen ten kože|udarec
🤛;pest, obrnjena levo;levo|obrnjena levo|pest|pest, obrnjena levo
	🤛🏻;pest, obrnjena levo: svetel ten kože;levo|obrnjena levo|pest|pest, obrnjena levo|pest, obrnjena levo: svetel ten kože|svetel ten kože
	🤛🏼;pest, obrnjena levo: srednje svetel ten kože;levo|obrnjena levo|pest|pest, obrnjena levo|pest, obrnjena levo: srednje svetel ten kože|srednje svetel ten kože
	🤛🏽;pest, obrnjena levo: srednji ten kože;levo|obrnjena levo|pest|pest, obrnjena levo|pest, obrnjena levo: srednji ten kože|srednji ten kože
	🤛🏾;pest, obrnjena levo: srednje temen ten kože;levo|obrnjena levo|pest|pest, obrnjena levo|pest, obrnjena levo: srednje temen ten kože|srednje temen ten kože
