# Auto-generated by emojicon.py using CLDR v45
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;πλατύ χαμόγελο;πλατύ χαμόγελο|πρόσωπο|σαρκασμός
	🫱🏿;χέρι προς τα δεξιά: σκούρος τόνος δέρματος;δεξιά|προς τα δεξιά|σκούρος τόνος δέρματος|χέρι|χέρι προς τα δεξιά|χέρι προς τα δεξιά: σκούρος τόνος δέρματος
🫲;χέρι προς τα αριστερά;αριστερά|προς τα αριστερά|χέρι|χέρι προς τα αριστερά
	🫲🏻;χέρι προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|αριστερά|προς τα αριστερά|χέρι|χέρι προς τα αριστερά|χέρι προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος
	🫲🏼;χέρι προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αριστερά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|προς τα αριστερά|χέρι|χέρι προς τα αριστερά|χέρι προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🫲🏽;χέρι προς τα αριστερά: μεσαίος τόνος δέρματος;αριστερά|μεσαίος τόνος δέρματος|προς τα αριστερά|χέρι|χέρι προς τα αριστερά|χέρι προς τα αριστερά: μεσαίος τόνος δέρματος
	🫲🏾;χέρι προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος;αριστερά|μεσαίος-σκούρος τόνος δέρματος|προς τα αριστερά|χέρι|χέρι προς τα αριστερά|χέρι προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος
	🫲🏿;χέρι προς τα αριστερά: σκούρος τόνος δέρματος;αριστερά|προς τα αριστερά|σκούρος τόνος δέρματος|χέρι|χέρι προς τα αριστερά|χέρι προς τα αριστερά: σκούρος τόνος δέρματος
🫳;παλάμη προς τα κάτω;απόρριψη|διώχνω|ξουτ|παλάμη προς τα κάτω|πτώση|ρίχνω|ρίψη|φύγε
	🫳🏻;παλάμη προς τα κάτω: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|απόρριψη|διώχνω|ξουτ|παλάμη προς τα κάτω|παλάμη προς τα κάτω: ανοιχτόχρωμος τόνος δέρματος|πτώση|ρίχνω|ρίψη|φύγε
	🫳🏼;παλάμη προς τα κάτω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;απόρριψη|διώχνω|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ξουτ|παλάμη προς τα κάτω|παλάμη προς τα κάτω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πτώση|ρίχνω|ρίψη|φύγε
	🫳🏽;παλάμη προς τα κάτω: μεσαίος τόνος δέρματος;απόρριψη|διώχνω|μεσαίος τόνος δέρματος|ξουτ|παλάμη προς τα κάτω|παλάμη προς τα κάτω: μεσαίος τόνος δέρματος|πτώση|ρίχνω|ρίψη|φύγε
	🫳🏾;παλάμη προς τα κάτω: μεσαίος-σκούρος τόνος δέρματος;απόρριψη|διώχνω|μεσαίος-σκούρος τόνος δέρματος|ξουτ|παλάμη προς τα κάτω|παλάμη προς τα κάτω: μεσαίος-σκούρος τόνος δέρματος|πτώση|ρίχνω|ρίψη|φύγε
	🫳🏿;παλάμη προς τα κάτω: σκούρος τόνος δέρματος;απόρριψη|διώχνω|ξουτ|παλάμη προς τα κάτω|παλάμη προς τα κάτω: σκούρος τόνος δέρματος|πτώση|ρίχνω|ρίψη|σκούρος τόνος δέρματος|φύγε
🫴;παλάμη προς τα πάνω;έλα|κάλεσμα|νεύμα|παλάμη προς τα πάνω|πρόσκληση|προσφορά
	🫴🏻;παλάμη προς τα πάνω: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|έλα|κάλεσμα|νεύμα|παλάμη προς τα πάνω|παλάμη προς τα πάνω: ανοιχτόχρωμος τόνος δέρματος|πρόσκληση|προσφορά
	🫴🏼;παλάμη προς τα πάνω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;έλα|κάλεσμα|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|νεύμα|παλάμη προς τα πάνω|παλάμη προς τα πάνω: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|πρόσκληση|προσφορά
	🫴🏽;παλάμη προς τα πάνω: μεσαίος τόνος δέρματος;έλα|κάλεσμα|μεσαίος τόνος δέρματος|νεύμα|παλάμη προς τα πάνω|παλάμη προς τα πάνω: μεσαίος τόνος δέρματος|πρόσκληση|προσφορά
	🫴🏾;παλάμη προς τα πάνω: μεσαίος-σκούρος τόνος δέρματος;έλα|κάλεσμα|μεσαίος-σκούρος τόνος δέρματος|νεύμα|παλάμη προς τα πάνω|παλάμη προς τα πάνω: μεσαίος-σκούρος τόνος δέρματος|πρόσκληση|προσφορά
	🫴🏿;παλάμη προς τα πάνω: σκούρος τόνος δέρματος;έλα|κάλεσμα|νεύμα|παλάμη προς τα πάνω|παλάμη προς τα πάνω: σκούρος τόνος δέρματος|πρόσκληση|προσφορά|σκούρος τόνος δέρματος
🫷;χέρι που σπρώχνει προς τα αριστερά;αρνούμαι|κόλλα το|περιμένω|προς τα αριστερά|σταματάω|χέρι που σπρώχνει προς τα αριστερά
	🫷🏻;χέρι που σπρώχνει προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|αρνούμαι|κόλλα το|περιμένω|προς τα αριστερά|σταματάω|χέρι που σπρώχνει προς τα αριστερά|χέρι που σπρώχνει προς τα αριστερά: ανοιχτόχρωμος τόνος δέρματος
	🫷🏼;χέρι που σπρώχνει προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|περιμένω|προς τα αριστερά|σταματάω|χέρι που σπρώχνει προς τα αριστερά|χέρι που σπρώχνει προς τα αριστερά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🫷🏽;χέρι που σπρώχνει προς τα αριστερά: μεσαίος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος τόνος δέρματος|περιμένω|προς τα αριστερά|σταματάω|χέρι που σπρώχνει προς τα αριστερά|χέρι που σπρώχνει προς τα αριστερά: μεσαίος τόνος δέρματος
	🫷🏾;χέρι που σπρώχνει προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος-σκούρος τόνος δέρματος|περιμένω|προς τα αριστερά|σταματάω|χέρι που σπρώχνει προς τα αριστερά|χέρι που σπρώχνει προς τα αριστερά: μεσαίος-σκούρος τόνος δέρματος
	🫷🏿;χέρι που σπρώχνει προς τα αριστερά: σκούρος τόνος δέρματος;αρνούμαι|κόλλα το|περιμένω|προς τα αριστερά|σκούρος τόνος δέρματος|σταματάω|χέρι που σπρώχνει προς τα αριστερά|χέρι που σπρώχνει προς τα αριστερά: σκούρος τόνος δέρματος
🫸;χέρι που σπρώχνει προς τα δεξιά;αρνούμαι|κόλλα το|περιμένω|προς τα δεξιά|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά
	🫸🏻;χέρι που σπρώχνει προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|αρνούμαι|κόλλα το|περιμένω|προς τα δεξιά|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά|χέρι που σπρώχνει προς τα δεξιά: ανοιχτόχρωμος τόνος δέρματος
	🫸🏼;χέρι που σπρώχνει προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|περιμένω|προς τα δεξιά|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά|χέρι που σπρώχνει προς τα δεξιά: μεσαίος-ανοιχτόχρωμος τόνος δέρματος
	🫸🏽;χέρι που σπρώχνει προς τα δεξιά: μεσαίος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος τόνος δέρματος|περιμένω|προς τα δεξιά|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά|χέρι που σπρώχνει προς τα δεξιά: μεσαίος τόνος δέρματος
	🫸🏾;χέρι που σπρώχνει προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος;αρνούμαι|κόλλα το|μεσαίος-σκούρος τόνος δέρματος|περιμένω|προς τα δεξιά|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά|χέρι που σπρώχνει προς τα δεξιά: μεσαίος-σκούρος τόνος δέρματος
	🫸🏿;χέρι που σπρώχνει προς τα δεξιά: σκούρος τόνος δέρματος;αρνούμαι|κόλλα το|περιμένω|προς τα δεξιά|σκούρος τόνος δέρματος|σπρώχνω|σταματάω|χέρι που σπρώχνει προς τα δεξιά|χέρι που σπρώχνει προς τα δεξιά: σκούρος τόνος δέρματος
👌;χειρονομία οκ;ΟΚ|σώμα|χειρονομία οκ|χέρι
	👌🏻;χειρονομία οκ: ανοιχτόχρωμος τόνος δέρματος;ανοιχτόχρωμος τόνος δέρματος|ΟΚ|σώμα|χειρονομία οκ|χειρονομία οκ: ανοιχτόχρωμος τόνος δέρματος|χέρι
	👌🏼;χειρονομία οκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;μεσαίος-ανοιχτόχρωμος τόνος δέρματος|ΟΚ|σώμα|χειρονομία οκ|χειρονομία οκ: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|χέρι
	👌🏽;χειρονομία οκ: μεσαίος τόνος δέρματος;μεσαίος τόνος δέρματος|ΟΚ|σώμα|χειρονομία οκ|χειρονομία οκ: μεσαίος τόνος δέρματος|χέρι
	👌🏾;χειρονομία οκ: μεσαίος-σκούρος τόνος δέρματος;μεσαίος-σκούρος τόνος δέρματος|ΟΚ|σώμα|χειρονομία οκ|χειρονομία οκ: μεσαίος-σκούρος τόνος δέρματος|χέρι
	👌🏿;χειρονομία οκ: σκούρος τόνος δέρματος;ΟΚ|σκούρος τόνος δέρματος|σώμα|χειρονομία οκ|χειρονομία οκ: σκούρος τόνος δέρματος|χέρι
🤌;δάχτυλα που κλείνουν;ανάκριση|δάχτυλα|δάχτυλα που κλείνουν|κλειστά|σαρκαστικό|χειρονομία
	🤌🏻;δάχτυλα που κλείνουν: ανοιχτόχρωμος τόνος δέρματος;ανάκριση|ανοιχτόχρωμος τόνος δέρματος|δάχτυλα|δάχτυλα που κλείνουν|δάχτυλα που κλείνουν: ανοιχτόχρωμος τόνος δέρματος|κλειστά|σαρκαστικό|χειρονομία
	🤌🏼;δάχτυλα που κλείνουν: μεσαίος-ανοιχτόχρωμος τόνος δέρματος;ανάκριση|δάχτυλα|δάχτυλα που κλείνουν|δάχτυλα που κλείνουν: μεσαίος-ανοιχτόχρωμος τόνος δέρματος|κλειστά|μεσαίος-ανοιχτόχρωμος τόνος δέρματος|σαρκαστικό|χειρονομία
	🤌🏽;δάχτυλα που κλείνουν: μεσαίος τόνος δέρματος;ανάκριση|δάχτυλα|δάχτυλα που κλείνουν|δάχτυλα που κλείνουν: μεσαίος τόνος δέρματος|κλειστά|μεσαίος τόνος δέρματος|σαρκαστικό|χειρονομία
