# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ပြုံးဖြဲဖြဲ မျက်နှာ;ပြုံးဖြဲဖြဲ|မျက်နှာ
🙊;မကောင်းတာကို မပြောလို;တားမြစ်ခြင်း|ပြောကြားခြင်း|မကောင်းဆိုးဝါး|မကောင်းတာကို မပြောလို|မကောင်းတာမပြောလိုဟန်ပြ မျောက်|မျက်နှာ|မျောက်
💌;ရည်းစား စာ;စာ|စာပို့ခြင်း|နှလုံး|ရည်းစား စာ|အချစ်
💘;မြားနှင့် နှလုံး;မြား|မြားနတ်မောင်|မြားနှင့် နှလုံး|မြားနှင့် အသည်းနှလုံး
💝;ဖဲကြိုးနှင့် နှလုံး;ဖဲကြိုး|ဖဲကြိုးနှင့် နှလုံး|ဖဲကြိုးနှင့် အသည်းနှလုံး|ဗယ်လင်တိုင်း
💖;အရောင်လက်နေသည့် နှလုံး;စိတ်လှုပ်ရှား|အရောင်လက် တောက်ပ|အရောင်လက် တောက်ပနေသည့် နှလုံးသား|အရောင်လက်နေသည့် နှလုံး
💗;ကြီးထွားလာနေသည့် နှလုံး;ကြီးထွားလာနေသည့် နှလုံး|ကြီးထွားလာနေသည့် နှလုံးသား|ကြီးထွားလာသော|စိတ်လှုပ်ရှား|နှလုံးခုန်
💓;ခုန်နေသည့် နှလုံး;ခုန်|ခုန်နေသည့် နှလုံး|နှလုံးခုန်
💞;လည်နေသည့် နှလုံးများ;ပတ်ချာလှည့်|ပတ်ချာလှည့်နေသည့် နှလုံးများ|လည်နေသည့် နှလုံးများ
💕;နှလုံးနှစ်ခု;နှလုံးနှစ်ခု|အချစ်
💟;နှလုံးဖြင့် အလှပြင်ဆင်ခြင်း;နှလုံး|နှလုံးဖြင့် အလှပြင်ခြင်း|နှလုံးဖြင့် အလှပြင်ဆင်ခြင်း
❣️;လေးလံသည့် နှလုံးပုံစံ အာမေဍိတ်အတွဲ;ပုဒ်ဖြတ်ပုဒ်ရပ်|လေးလံသည့် နှလုံးပုံစံ အာမေဍိတ်အတွဲ|အမှတ်အသား|အာမေဍိတ်
💔;အက်ကွဲနေသည့် နှလုံး;ကွဲနေသည့် နှလုံး|ကွဲနေသော|အက်ကွဲ|အက်ကွဲနေသည့် နှလုံး
❤️‍🔥;နှလုံးမီးတောက်ခြင်း;နှလုံးမီးတောက်ခြင်း|နှလုံးသား|ရမက်|လောင်ကျွမ်းခြင်း|အချစ်|အထွတ်အမြတ် နှလုံးသား
❤️‍🩹;နှလုံးသား ကုစားခြင်း;ကျန်းမာခြင်း|ကုစားခြင်း|ကောင်းမွန်ခြင်း|ကောင်းမွန်လာခြင်း|နှလုံးသား ကုစားခြင်း|နာလန်ထူလာခြင်း|အားပြန်ဖြည့်ခြင်း
❤️;အနီရောင် နှလုံး;နှလုံး|အနီရောင် နှလုံး
🩷;ပန်းရောင် နှလုံး;ချစ်စရာ|နှစ်သက်|နှလုံး|ပန်းရောင်|အချစ်
🧡;လိမ္မော်ရောင် အသည်းနှလုံး;လိမ္မော်ရောင်|အသည်းနှလုံး
💛;အဝါရောင် နှလုံး;အဝါ|အဝါရောင် နှလုံး
💚;အစိမ်းရောင် နှလုံး;အစိမ်း|အစိမ်းရောင် နှလုံး
💙;အပြာရောင် နှလုံး;အပြာ|အပြာရောင် နှလုံး
🩵;အပြာနုရောင် နှလုံး;စိမ်းပြာ|စိမ်းပြာရောင်|နှလုံး|အချစ်|အပြာနု|အပြာနုရောင် နှလုံး
💜;ခရမ်းရောင် နှလုံး;ခရမ်း|ခရမ်းရောင် နှလုံး
🤎;အညိုရောင် နှလုံးသား;နှလုံး|အညိုရောင်|အညိုရောင် နှလုံးသား
🖤;အနက်ရောင်နှလုံးသား;နှလုံးသား|မကောင်းစိတ်|ယုတ်မာသော|အနက်|အနက်ရောင်နှလုံးသား
🩶;မီးခိုးရောင် နှလုံး;ငွေရောင်|နှလုံး|မီးခိုးရောင်|သင်ပုန်းရောင်
🤍;အဖြူရောင် နှလုံးသား;နှလုံး|အဖြူ|အဖြူရောင် နှလုံးသား
💋;အနမ်း တံဆိပ်;နှုတ်ခမ်း|အနမ်း|အနမ်း တံဆိပ်
💯;အမှတ် တစ်ရာ;၁၀၀|တစ်ရာ|ရမှတ်|အပြည့်|အမှတ် တစ်ရာ
💢;ဒေါသ;ဒေါသ|ဒေါသ သင်္ကေတ|ဟာသ|အရူး
🫯;ရုန်းရင်းဆန်ခတ် ဖုန်လုံး;ငြင်းခုံ|ဆူညံပွက်လောရိုက်|တိုက်ခိုက်|နပန်းလုံး|ရန်ပွဲ|ရုန်းရင်းဆန်ခတ်|သတ်ပုတ်|သဘောထားကွဲ|အငြင်းပွား
💥;တိုက်မိခြင်း;တိုက်မိခြင်း|ပေါက်ကွဲခြင်း|ဟာသ
💫;မူးဝေခြင်း;ကြယ်|မူးဝေခြင်း|ဟာသ
💦;ချွေးစက်များ;ချွေး|ချွေးစက်များ|ပက်ဖျန်းခြင်း|ဟာသ
💨;တစ်ဟုန်ထိုးပြေးခြင်း;တစ်ဟုန်ထိုး|တစ်ဟုန်ထိုးပြေးခြင်း|ပြေးခြင်း|ဟာသ
🕳️;အပေါက်;အပေါက်
💬;စကားပြော အကွက်;စကားပြော|စကားပြောအကွက်|ပူဖောင်း|အကွက်
👁️‍🗨️;မျက်နှာလုံးပုံစံ စကားပြောအကွက်;စကားပြောအကွက်|မျက်နှာလုံးပုံစံ စကားပြောအကွက်|မျက်လုံး|သက်သေ
🗨️;ဘယ်ဘက် စကားပြော အကွက်;စကား|စကားပြော|ဘယ်ဘက် စကားပြော အကွက်
🗯️;ညာဘက် ဒေါသ အကွက်;ညာဘက် ဒေါသ အကွက်|ဒေါသ|ပူစည်ဖောင်း|ပူဖောင်း|ရူးသွပ်ခြင်း
💭;အတွေး ပူဖောင်းအကွက်;ပူစည်ဖောင်း|ပူဖောင်း|ဟာသ|အတွေး|အတွေး ပူဖောင်းအကွက်
💤;ခေါ ခေါ ခေါ;ခေါ ခေါ ခေါ|ဟာသ|အိပ်

[people_body]
👋;ဝှေ့ယမ်းနေသည့် လက်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်
	👋🏻;ဝှေ့ယမ်းနေသည့် လက် − အသားဖြူရောင်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်|အသားဖြူရောင်
	👋🏼;ဝှေ့ယမ်းနေသည့် လက် − အသားနုရောင်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်|အသားနုရောင်
	👋🏽;ဝှေ့ယမ်းနေသည့် လက် − အသားလတ်ရောင်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်|အသားလတ်ရောင်
	👋🏾;ဝှေ့ယမ်းနေသည့် လက် − အသားညိုရောင်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်|အသားညိုရောင်
	👋🏿;ဝှေ့ယမ်းနေသည့် လက် − အသားမည်းရောင်;လက်|လက်ဝှေ့ယမ်းပြနေသည့်ပုံ|ဝှေ့ယမ်းနေသည့် လက်|အသားမည်းရောင်
🤚;လက်ပြန်ထောင်ပြဟန်;ထောင်ပြ|လက်ပြန်|လက်ပြန်ထောင်ပြဟန်
	🤚🏻;လက်ပြန်ထောင်ပြဟန် − အသားဖြူရောင်;ထောင်ပြ|လက်ပြန်|လက်ပြန်ထောင်ပြဟန်|အသားဖြူရောင်
	🤚🏼;လက်ပြန်ထောင်ပြဟန် − အသားနုရောင်;ထောင်ပြ|လက်ပြန်|လက်ပြန်ထောင်ပြဟန်|အသားနုရောင်
