# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;दाँत दिखाता चेहरा;खीस|खुश|चेहरा|दाँत दिखाता चेहरा|मजाकिया
	🤽🏾;वाटर पोलो खेलता व्यक्ति: हल्की साँवली त्वचा;खेल|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|स्विमिंग|हल्की साँवली त्वचा
	🤽🏿;वाटर पोलो खेलता व्यक्ति: साँवली त्वचा;खेल|तैराक|तैराकी|पानी|पानी का खेल|पोलो|मार्को|वाटर पोलो खेलता व्यक्ति|वॉटर पोलो|व्यक्ति|साँवली त्वचा|स्विमिंग
🤽‍♂️;वाटर पोलो खेलता पुरुष;आदमी|खेल|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|स्विमिंग
	🤽🏻‍♂️;वाटर पोलो खेलता पुरुष: गोरी त्वचा;आदमी|खेल|गोरी त्वचा|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|स्विमिंग
	🤽🏼‍♂️;वाटर पोलो खेलता पुरुष: हल्की गोरी त्वचा;आदमी|खेल|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|स्विमिंग|हल्की गोरी त्वचा
	🤽🏽‍♂️;वाटर पोलो खेलता पुरुष: गेहुँआ त्वचा;आदमी|खेल|गेहुँआ त्वचा|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|स्विमिंग
	🤽🏾‍♂️;वाटर पोलो खेलता पुरुष: हल्की साँवली त्वचा;आदमी|खेल|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|स्विमिंग|हल्की साँवली त्वचा
	🤽🏿‍♂️;वाटर पोलो खेलता पुरुष: साँवली त्वचा;आदमी|खेल|तैराक|तैराकी|पुरुष|वाटर पोलो|वाटर पोलो खेलता पुरुष|वॉटर पोलो|साँवली त्वचा|स्विमिंग
🤽‍♀️;वाटर पोलो खेलती महिला;खेल|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग
	🤽🏻‍♀️;वाटर पोलो खेलती महिला: गोरी त्वचा;खेल|गोरी त्वचा|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग
	🤽🏼‍♀️;वाटर पोलो खेलती महिला: हल्की गोरी त्वचा;खेल|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग|हल्की गोरी त्वचा
	🤽🏽‍♀️;वाटर पोलो खेलती महिला: गेहुँआ त्वचा;खेल|गेहुँआ त्वचा|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग
	🤽🏾‍♀️;वाटर पोलो खेलती महिला: हल्की साँवली त्वचा;खेल|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|स्विमिंग|हल्की साँवली त्वचा
	🤽🏿‍♀️;वाटर पोलो खेलती महिला: साँवली त्वचा;खेल|तैराकी|महिला|महिला तैराक|वाटर पोलो|वाटर पोलो खेलती महिला|वॉटर पोलो|वॉटर पोलो खेलती महिला|साँवली त्वचा|स्विमिंग
🤾;हैंडबॉल खेलता व्यक्ति;एथलेटिक्स|खिलाड़ी|खेल|गेंद|हैंडबाल|हैंडबॉल|हैंडबॉल खेलता आदमी|हैंडबॉल खेलता व्यक्ति
