# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	🤌🏾;יד מסמנת רק רגע: גוון עור כהה בינוני;אצבעות|גוון עור כהה בינוני|כף יד|סבלנות|רגע|רק רגע|תיכף
	🤌🏿;יד מסמנת רק רגע: גוון עור כהה;אצבעות|גוון עור כהה|כף יד|סבלנות|רגע|רק רגע|תיכף
🤏;יד צובטת;בכמות קטנה|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
	🤏🏻;יד צובטת: גוון עור בהיר;בכמות קטנה|גוון עור בהיר|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
	🤏🏼;יד צובטת: גוון עור בהיר בינוני;בכמות קטנה|גוון עור בהיר בינוני|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
	🤏🏽;יד צובטת: גוון עור בינוני;בכמות קטנה|גוון עור בינוני|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
	🤏🏾;יד צובטת: גוון עור כהה בינוני;בכמות קטנה|גוון עור כהה בינוני|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
	🤏🏿;יד צובטת: גוון עור כהה;בכמות קטנה|גוון עור כהה|טיפונת|מעט|צביטה|קטן|קצת|תנועת צביטה
✌️;אצבעות מסמנות ניצחון;אצבעות|אצבעות מסמנות ניצחון|וי|יד|ניצחון|פיס
	✌🏻;אצבעות מסמנות ניצחון: גוון עור בהיר;אצבעות|אצבעות מסמנות ניצחון|גוון עור בהיר|וי|יד|ניצחון|פיס
	✌🏼;אצבעות מסמנות ניצחון: גוון עור בהיר בינוני;אצבעות|אצבעות מסמנות ניצחון|גוון עור בהיר בינוני|וי|יד|ניצחון|פיס
	✌🏽;אצבעות מסמנות ניצחון: גוון עור בינוני;אצבעות|אצבעות מסמנות ניצחון|גוון עור בינוני|וי|יד|ניצחון|פיס
	✌🏾;אצבעות מסמנות ניצחון: גוון עור כהה בינוני;אצבעות|אצבעות מסמנות ניצחון|גוון עור כהה בינוני|וי|יד|ניצחון|פיס
	✌🏿;אצבעות מסמנות ניצחון: גוון עור כהה;אצבעות|אצבעות מסמנות ניצחון|גוון עור כהה|וי|יד|ניצחון|פיס
🤞;יד מחזיקה אצבעות;אצבעות|בהצלחה|יד מחזיקה אצבעות|מחזיק
	🤞🏻;יד מחזיקה אצבעות: גוון עור בהיר;אצבעות|בהצלחה|גוון עור בהיר|יד מחזיקה אצבעות|מחזיק
	🤞🏼;יד מחזיקה אצבעות: גוון עור בהיר בינוני;אצבעות|בהצלחה|גוון עור בהיר בינוני|יד מחזיקה אצבעות|מחזיק
	🤞🏽;יד מחזיקה אצבעות: גוון עור בינוני;אצבעות|בהצלחה|גוון עור בינוני|יד מחזיקה אצבעות|מחזיק
	🤞🏾;יד מחזיקה אצבעות: גוון עור כהה בינוני;אצבעות|בהצלחה|גוון עור כהה בינוני|יד מחזיקה אצבעות|מחזיק
	🤞🏿;יד מחזיקה אצבעות: גוון עור כהה;אצבעות|בהצלחה|גוון עור כהה|יד מחזיקה אצבעות|מחזיק
🫰;קליק באצבעות;אהבה|אצבעות|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏻;קליק באצבעות: גוון עור בהיר;אהבה|אצבעות|גוון עור בהיר|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏼;קליק באצבעות: גוון עור בהיר בינוני;אהבה|אצבעות|גוון עור בהיר בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏽;קליק באצבעות: גוון עור בינוני;אהבה|אצבעות|גוון עור בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏾;קליק באצבעות: גוון עור כהה בינוני;אהבה|אצבעות|גוון עור כהה בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏿;קליק באצבעות: גוון עור כהה;אהבה|אצבעות|גוון עור כהה|יאללה|יקר|כסף|לצרוד|קליק באצבעות
🤟;בוהן, אצבע וזרת מורמות;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|יד|רוק אנד רול
	🤟🏻;בוהן, אצבע וזרת מורמות: גוון עור בהיר;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|גוון עור בהיר|יד|רוק אנד רול
	🤟🏼;בוהן, אצבע וזרת מורמות: גוון עור בהיר בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|גוון עור בהיר בינוני|יד|רוק אנד רול
	🤟🏽;בוהן, אצבע וזרת מורמות: גוון עור בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|גוון עור בינוני|יד|רוק אנד רול
	🤟🏾;בוהן, אצבע וזרת מורמות: גוון עור כהה בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|גוון עור כהה בינוני|יד|רוק אנד רול
	🤟🏿;בוהן, אצבע וזרת מורמות: גוון עור כהה;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|גוון עור כהה|יד|רוק אנד רול
🤘;יד מסמנת קרניים;אצבע מורה|אצבעות|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
	🤘🏻;יד מסמנת קרניים: גוון עור בהיר;אצבע מורה|אצבעות|גוון עור בהיר|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
	🤘🏼;יד מסמנת קרניים: גוון עור בהיר בינוני;אצבע מורה|אצבעות|גוון עור בהיר בינוני|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
	🤘🏽;יד מסמנת קרניים: גוון עור בינוני;אצבע מורה|אצבעות|גוון עור בינוני|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
	🤘🏾;יד מסמנת קרניים: גוון עור כהה בינוני;אצבע מורה|אצבעות|גוון עור כהה בינוני|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
	🤘🏿;יד מסמנת קרניים: גוון עור כהה;אצבע מורה|אצבעות|גוון עור כהה|זרת|יד|יד מסמנת קרניים באצבע מורה ובזרת|מטאל|קרניים|רוק אנד רול|רוק-אנ׳-רול
🤙;יד מסמנת ’תתקשר אליי’;יד|לגלוש|תתקשר|תתקשר אליי
	🤙🏻;יד מסמנת ’תתקשר אליי’: גוון עור בהיר;גוון עור בהיר|יד|לגלוש|תתקשר|תתקשר אליי
	🤙🏼;יד מסמנת ’תתקשר אליי’: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|לגלוש|תתקשר|תתקשר אליי
	🤙🏽;יד מסמנת ’תתקשר אליי’: גוון עור בינוני;גוון עור בינוני|יד|לגלוש|תתקשר|תתקשר אליי
	🤙🏾;יד מסמנת ’תתקשר אליי’: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|לגלוש|תתקשר|תתקשר אליי
	🤙🏿;יד מסמנת ’תתקשר אליי’: גוון עור כהה;גוון עור כהה|יד|לגלוש|תתקשר|תתקשר אליי
👈;גב יד מצביעה שמאלה;אצבע|יד|להצביע|מצביעה|צד שמאל|שמאלה
	👈🏻;גב יד מצביעה שמאלה: גוון עור בהיר;אצבע|גוון עור בהיר|יד|להצביע|מצביעה|צד שמאל|שמאלה
	👈🏼;גב יד מצביעה שמאלה: גוון עור בהיר בינוני;אצבע|גוון עור בהיר בינוני|יד|להצביע|מצביעה|צד שמאל|שמאלה
	👈🏽;גב יד מצביעה שמאלה: גוון עור בינוני;אצבע|גוון עור בינוני|יד|להצביע|מצביעה|צד שמאל|שמאלה
	👈🏾;גב יד מצביעה שמאלה: גוון עור כהה בינוני;אצבע|גוון עור כהה בינוני|יד|להצביע|מצביעה|צד שמאל|שמאלה
	👈🏿;גב יד מצביעה שמאלה: גוון עור כהה;אצבע|גוון עור כהה|יד|להצביע|מצביעה|צד שמאל|שמאלה
👉;גב יד מצביעה ימינה;אצבע|יד|ימינה|להצביע|מצביעה|צד ימין
	👉🏻;גב יד מצביעה ימינה: גוון עור בהיר;אצבע|גוון עור בהיר|יד|ימינה|להצביע|מצביעה|צד ימין
	👉🏼;גב יד מצביעה ימינה: גוון עור בהיר בינוני;אצבע|גוון עור בהיר בינוני|יד|ימינה|להצביע|מצביעה|צד ימין
	👉🏽;גב יד מצביעה ימינה: גוון עור בינוני;אצבע|גוון עור בינוני|יד|ימינה|להצביע|מצביעה|צד ימין
	👉🏾;גב יד מצביעה ימינה: גוון עור כהה בינוני;אצבע|גוון עור כהה בינוני|יד|ימינה|להצביע|מצביעה|צד ימין
	👉🏿;גב יד מצביעה ימינה: גוון עור כהה;אצבע|גוון עור כהה|יד|ימינה|להצביע|מצביעה|צד ימין
👆;גב יד מצביעה למעלה;אצבע|יד|להצביע|למעלה|מצביעה|מקום ראשון
	👆🏻;גב יד מצביעה למעלה: גוון עור בהיר;אצבע|גוון עור בהיר|יד|להצביע|למעלה|מצביעה|מקום ראשון
	👆🏼;גב יד מצביעה למעלה: גוון עור בהיר בינוני;אצבע|גוון עור בהיר בינוני|יד|להצביע|למעלה|מצביעה|מקום ראשון
	👆🏽;גב יד מצביעה למעלה: גוון עור בינוני;אצבע|גוון עור בינוני|יד|להצביע|למעלה|מצביעה|מקום ראשון
	👆🏾;גב יד מצביעה למעלה: גוון עור כהה בינוני;אצבע|גוון עור כהה בינוני|יד|להצביע|למעלה|מצביעה|מקום ראשון
	👆🏿;גב יד מצביעה למעלה: גוון עור כהה;אצבע|גוון עור כהה|יד|להצביע|למעלה|מצביעה|מקום ראשון
🖕;אצבע משולשת;אצבע משולשת|תנועה מזרחית
	🖕🏻;אצבע משולשת: גוון עור בהיר;אצבע משולשת|גוון עור בהיר|תנועה מזרחית
	🖕🏼;אצבע משולשת: גוון עור בהיר בינוני;אצבע משולשת|גוון עור בהיר בינוני|תנועה מזרחית
	🖕🏽;אצבע משולשת: גוון עור בינוני;אצבע משולשת|גוון עור בינוני|תנועה מזרחית
	🖕🏾;אצבע משולשת: גוון עור כהה בינוני;אצבע משולשת|גוון עור כהה בינוני|תנועה מזרחית
	🖕🏿;אצבע משולשת: גוון עור כהה;אצבע משולשת|גוון עור כהה|תנועה מזרחית
👇;גב יד מצביעה למטה;אצבע|יד|כאן|להצביע|למטה|מצביעה
	👇🏻;גב יד מצביעה למטה: גוון עור בהיר;אצבע|גוון עור בהיר|יד|כאן|להצביע|למטה|מצביעה
	👇🏼;גב יד מצביעה למטה: גוון עור בהיר בינוני;אצבע|גוון עור בהיר בינוני|יד|כאן|להצביע|למטה|מצביעה
	👇🏽;גב יד מצביעה למטה: גוון עור בינוני;אצבע|גוון עור בינוני|יד|כאן|להצביע|למטה|מצביעה
	👇🏾;גב יד מצביעה למטה: גוון עור כהה בינוני;אצבע|גוון עור כהה בינוני|יד|כאן|להצביע|למטה|מצביעה
	👇🏿;גב יד מצביעה למטה: גוון עור כהה;אצבע|גוון עור כהה|יד|כאן|להצביע|למטה|מצביעה
☝️;יד מצביעה למעלה;אצבע|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
	☝🏻;יד מצביעה למעלה: גוון עור בהיר;אצבע|גוון עור בהיר|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
	☝🏼;יד מצביעה למעלה: גוון עור בהיר בינוני;אצבע|גוון עור בהיר בינוני|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
	☝🏽;יד מצביעה למעלה: גוון עור בינוני;אצבע|גוון עור בינוני|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
	☝🏾;יד מצביעה למעלה: גוון עור כהה בינוני;אצבע|גוון עור כהה בינוני|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
	☝🏿;יד מצביעה למעלה: גוון עור כהה;אצבע|גוון עור כהה|הכי טוב|יד|להצביע|למעלה|מצביעה|מקום ראשון
🫵;אצבע מצביעה;אצבע|את|אתה|הצבעה עליך|להצביע|מצביע
	🫵🏻;אצבע מצביעה: גוון עור בהיר;אצבע|את|אתה|גוון עור בהיר|הצבעה עליך|להצביע|מצביע
	🫵🏼;אצבע מצביעה: גוון עור בהיר בינוני;אצבע|את|אתה|גוון עור בהיר בינוני|הצבעה עליך|להצביע|מצביע
	🫵🏽;אצבע מצביעה: גוון עור בינוני;אצבע|את|אתה|גוון עור בינוני|הצבעה עליך|להצביע|מצביע
	🫵🏾;אצבע מצביעה: גוון עור כהה בינוני;אצבע|את|אתה|גוון עור כהה בינוני|הצבעה עליך|להצביע|מצביע
	🫵🏿;אצבע מצביעה: גוון עור כהה;אצבע|את|אתה|גוון עור כהה|הצבעה עליך|להצביע|מצביע
👍;אגודל למעלה;אגודל|אהבתי|אישור|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
	👍🏻;אגודל למעלה: גוון עור בהיר;אגודל|אהבתי|אישור|גוון עור בהיר|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
	👍🏼;אגודל למעלה: גוון עור בהיר בינוני;אגודל|אהבתי|אישור|גוון עור בהיר בינוני|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
	👍🏽;אגודל למעלה: גוון עור בינוני;אגודל|אהבתי|אישור|גוון עור בינוני|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
	👍🏾;אגודל למעלה: גוון עור כהה בינוני;אגודל|אהבתי|אישור|גוון עור כהה בינוני|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
	👍🏿;אגודל למעלה: גוון עור כהה;אגודל|אהבתי|אישור|גוון עור כהה|טוב|כן|לייק|למעלה|מעולה|מצוין|סבבה
👎;אגודל למטה;אגודל למטה|בוז|לא אהבתי|לא טוב|למטה|ממש לא|נגד|רע
