# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;خنده;خنده|صورت|صورت با لبخند|لبخند|نیش باز
	🫳🏽;کف دست به پایین: پوست طلایی;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|پوست طلایی|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
	🫳🏾;کف دست به پایین: پوست گندمی;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|پوست گندمی|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
	🫳🏿;کف دست به پایین: پوست آبنوسی;افتادن|افتاده|افراد|انداختن|بدن|برداشتن|بلند کردن|پوست آبنوسی|دست|رها کردن|کف دست به پایین|کیش کردن|مرخص کردن
🫴;کف دست به بالا;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
	🫴🏻;کف دست به بالا: پوست سفید;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پوست سفید|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
	🫴🏼;کف دست به بالا: پوست روشن;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پوست روشن|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
	🫴🏽;کف دست به بالا: پوست طلایی;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پوست طلایی|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
	🫴🏾;کف دست به بالا: پوست گندمی;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پوست گندمی|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
	🫴🏿;کف دست به بالا: پوست آبنوسی;افراد|بدن|برداشتن|بلند کردن|به من بگو|بیا|پوست آبنوسی|پیشنهاد|تعارف|دست|فراخواندن|کف دست به بالا|گرفتن|نگه داشتن|نمی‌دانم
🫷;دست فشاردهنده به سمت چپ;امتناع|انتظار|ایست|بزن قدش|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
	🫷🏻;دست فشاردهنده به سمت چپ: پوست سفید;امتناع|انتظار|ایست|بزن قدش|پوست سفید|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
	🫷🏼;دست فشاردهنده به سمت چپ: پوست روشن;امتناع|انتظار|ایست|بزن قدش|پوست روشن|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
	🫷🏽;دست فشاردهنده به سمت چپ: پوست طلایی;امتناع|انتظار|ایست|بزن قدش|پوست طلایی|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
	🫷🏾;دست فشاردهنده به سمت چپ: پوست گندمی;امتناع|انتظار|ایست|بزن قدش|پوست گندمی|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
	🫷🏿;دست فشاردهنده به سمت چپ: پوست آبنوسی;امتناع|انتظار|ایست|بزن قدش|پوست آبنوسی|توقف|دست|دست فشاردهنده به سمت چپ|رد کردن|سمت چپ|صبر کردن|فشار|مسدود کردن|منتظر بمان|هل دادن
🫸;دست فشاردهنده به سمت راست;امتناع|انتظار|بزن قدش|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
	🫸🏻;دست فشاردهنده به سمت راست: پوست سفید;امتناع|انتظار|بزن قدش|پوست سفید|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
	🫸🏼;دست فشاردهنده به سمت راست: پوست روشن;امتناع|انتظار|بزن قدش|پوست روشن|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
	🫸🏽;دست فشاردهنده به سمت راست: پوست طلایی;امتناع|انتظار|بزن قدش|پوست طلایی|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
	🫸🏾;دست فشاردهنده به سمت راست: پوست گندمی;امتناع|انتظار|بزن قدش|پوست گندمی|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
	🫸🏿;دست فشاردهنده به سمت راست: پوست آبنوسی;امتناع|انتظار|بزن قدش|پوست آبنوسی|توقف|دست فشاردهنده به سمت راست|رد کردن|سمت راست|صبر کردن|فشار|مسدود کردن|منتظر بمان
👌;علامت اوکی;اوکی|باشه|بدن|بله|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
	👌🏻;علامت اوکی: پوست سفید;اوکی|باشه|بدن|بله|پوست سفید|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
	👌🏼;علامت اوکی: پوست روشن;اوکی|باشه|بدن|بله|پوست روشن|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
	👌🏽;علامت اوکی: پوست طلایی;اوکی|باشه|بدن|بله|پوست طلایی|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
	👌🏾;علامت اوکی: پوست گندمی;اوکی|باشه|بدن|بله|پوست گندمی|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
	👌🏿;علامت اوکی: پوست آبنوسی;اوکی|باشه|بدن|بله|پوست آبنوسی|تأیید|حتما|حتمی|دست|سه|عالی|علامت اوکی|علامت تایید|قبول|قطعا|گرفتم!
🤌;انگشتان جمع‌شده;اشاره با دست|انگشتان|اَه|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
	🤌🏻;انگشتان جمع‌شده: پوست سفید;اشاره با دست|انگشتان|اَه|پوست سفید|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
	🤌🏼;انگشتان جمع‌شده: پوست روشن;اشاره با دست|انگشتان|اَه|پوست روشن|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
	🤌🏽;انگشتان جمع‌شده: پوست طلایی;اشاره با دست|انگشتان|اَه|پوست طلایی|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
	🤌🏾;انگشتان جمع‌شده: پوست گندمی;اشاره با دست|انگشتان|اَه|پوست گندمی|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
	🤌🏿;انگشتان جمع‌شده: پوست آبنوسی;اشاره با دست|انگشتان|اَه|پوست آبنوسی|جمع‌شده|چی؟|دست|دست نگه داشتن|ریلکس|سؤال|ساکت شو|صبر|طنزآلود|هان؟
🤏;دست در حال نیشگون گرفتن;انگشتان|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
	🤏🏻;دست در حال نیشگون گرفتن: پوست سفید;انگشتان|پوست سفید|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
	🤏🏼;دست در حال نیشگون گرفتن: پوست روشن;انگشتان|پوست روشن|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
	🤏🏽;دست در حال نیشگون گرفتن: پوست طلایی;انگشتان|پوست طلایی|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
	🤏🏾;دست در حال نیشگون گرفتن: پوست گندمی;انگشتان|پوست گندمی|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
	🤏🏿;دست در حال نیشگون گرفتن: پوست آبنوسی;انگشتان|پوست آبنوسی|تقریبا|دست در حال نیشگون گرفتن|سر سوزن|کمی|کوچک|مقدار اندک|مقدار کم|نیشگون|یه ذره
✌️;علامت پیروزی;بدن|پیروزی|دست|علامت پیروزی|وی
	✌🏻;علامت پیروزی: پوست سفید;بدن|پوست سفید|پیروزی|دست|علامت پیروزی|وی
	✌🏼;علامت پیروزی: پوست روشن;بدن|پوست روشن|پیروزی|دست|علامت پیروزی|وی
	✌🏽;علامت پیروزی: پوست طلایی;بدن|پوست طلایی|پیروزی|دست|علامت پیروزی|وی
	✌🏾;علامت پیروزی: پوست گندمی;بدن|پوست گندمی|پیروزی|دست|علامت پیروزی|وی
	✌🏿;علامت پیروزی: پوست آبنوسی;بدن|پوست آبنوسی|پیروزی|دست|علامت پیروزی|وی
🤞;انگشتان گره خورده;انگشت|انگشتان گره خورده|بخت|پنجه|دست|شانس|گره
	🤞🏻;انگشتان گره خورده: پوست سفید;انگشت|انگشتان گره خورده|بخت|پنجه|پوست سفید|دست|شانس|گره
	🤞🏼;انگشتان گره خورده: پوست روشن;انگشت|انگشتان گره خورده|بخت|پنجه|پوست روشن|دست|شانس|گره
	🤞🏽;انگشتان گره خورده: پوست طلایی;انگشت|انگشتان گره خورده|بخت|پنجه|پوست طلایی|دست|شانس|گره
	🤞🏾;انگشتان گره خورده: پوست گندمی;انگشت|انگشتان گره خورده|بخت|پنجه|پوست گندمی|دست|شانس|گره
	🤞🏿;انگشتان گره خورده: پوست آبنوسی;انگشت|انگشتان گره خورده|بخت|پنجه|پوست آبنوسی|دست|شانس|گره
🫰;دست با انگشت اشاره و شست متقاطع;افراد|بدن|بشکن|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏻;دست با انگشت اشاره و شست متقاطع: پوست سفید;افراد|بدن|بشکن|پوست سفید|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏼;دست با انگشت اشاره و شست متقاطع: پوست روشن;افراد|بدن|بشکن|پوست روشن|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏽;دست با انگشت اشاره و شست متقاطع: پوست طلایی;افراد|بدن|بشکن|پوست طلایی|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏾;دست با انگشت اشاره و شست متقاطع: پوست گندمی;افراد|بدن|بشکن|پوست گندمی|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
	🫰🏿;دست با انگشت اشاره و شست متقاطع: پوست آبنوسی;افراد|بدن|بشکن|پوست آبنوسی|پول|ثروت|دست|دست با انگشت اشاره و شست متقاطع|عشق|قلب|گران
🤟;علامت دوستت دارم;دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
	🤟🏻;علامت دوستت دارم: پوست سفید;پوست سفید|دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
	🤟🏼;علامت دوستت دارم: پوست روشن;پوست روشن|دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
	🤟🏽;علامت دوستت دارم: پوست طلایی;پوست طلایی|دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
	🤟🏾;علامت دوستت دارم: پوست گندمی;پوست گندمی|دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
	🤟🏿;علامت دوستت دارم: پوست آبنوسی;پوست آبنوسی|دست|دوست دارم|دوستت دارم|سه انگشت|علامت دوستت دارم
