# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;рӯи хандон;рӯи хандон|рӯй|фарох табассум кардан
	👆🏽;пушти даст ангушти ишорат ба боло ишора карда истода: ранги миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|ранги миёнаи пӯст
	👆🏾;пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики миёнаи пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|ранги торики миёнаи пӯст
	👆🏿;пушти даст ангушти ишорат ба боло ишора карда истода: ранги торики пӯст;ангушт|боло|даст|нишондиҳанда|пушти даст|пушти даст ангушти ишорат ба боло ишора карда истода|ранги торики пӯст
🖕;ангушти байн;ангушт|ангушти байн|даст
	🖕🏻;ангушти байн: ранги равшани пӯст;ангушт|ангушти байн|даст|ранги равшани пӯст
	🖕🏼;ангушти байн: ранги равшании миёнаи пӯст;ангушт|ангушти байн|даст|ранги равшании миёнаи пӯст
	🖕🏽;ангушти байн: ранги миёнаи пӯст;ангушт|ангушти байн|даст|ранги миёнаи пӯст
	🖕🏾;ангушти байн: ранги торики миёнаи пӯст;ангушт|ангушти байн|даст|ранги торики миёнаи пӯст
	🖕🏿;ангушти байн: ранги торики пӯст;ангушт|ангушти байн|даст|ранги торики пӯст
👇;ангушти ишорат ба поён ишора карда истода;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст
	👇🏻;ангушти ишорат ба поён ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги равшани пӯст
	👇🏼;ангушти ишорат ба поён ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги равшании миёнаи пӯст
	👇🏽;ангушти ишорат ба поён ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги миёнаи пӯст
	👇🏾;ангушти ишорат ба поён ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги торики миёнаи пӯст
	👇🏿;ангушти ишорат ба поён ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба поён ишора карда истода|даст|нишондиҳанда|нуқта|поён|пушти даст|ранги торики пӯст
☝️;ангушти ишорат ба боло ишора карда истода;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта
	☝🏻;ангушти ишорат ба боло ишора карда истода: ранги равшани пӯст;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта|ранги равшани пӯст
	☝🏼;ангушти ишорат ба боло ишора карда истода: ранги равшании миёнаи пӯст;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта|ранги равшании миёнаи пӯст
	☝🏽;ангушти ишорат ба боло ишора карда истода: ранги миёнаи пӯст;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта|ранги миёнаи пӯст
	☝🏾;ангушти ишорат ба боло ишора карда истода: ранги торики миёнаи пӯст;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта|ранги торики миёнаи пӯст
	☝🏿;ангушти ишорат ба боло ишора карда истода: ранги торики пӯст;ангушт|ангушти ишорат ба боло ишора карда истода|боло|даст|нишондиҳанда|нуқта|ранги торики пӯст
🫵;;
	🫵🏻;;
	🫵🏼;;
	🫵🏽;;
	🫵🏾;;
	🫵🏿;;
👍;хуб;+1|боло|даст|нарангушт|хуб
	👍🏻;хуб: ранги равшани пӯст;+1|боло|даст|нарангушт|ранги равшани пӯст|хуб
	👍🏼;хуб: ранги равшании миёнаи пӯст;+1|боло|даст|нарангушт|ранги равшании миёнаи пӯст|хуб
	👍🏽;хуб: ранги миёнаи пӯст;+1|боло|даст|нарангушт|ранги миёнаи пӯст|хуб
	👍🏾;хуб: ранги торики миёнаи пӯст;+1|боло|даст|нарангушт|ранги торики миёнаи пӯст|хуб
	👍🏿;хуб: ранги торики пӯст;+1|боло|даст|нарангушт|ранги торики пӯст|хуб
👎;бад;-1|бад|даст|нарангушт|поён
	👎🏻;бад: ранги равшани пӯст;-1|бад|даст|нарангушт|поён|ранги равшани пӯст
	👎🏼;бад: ранги равшании миёнаи пӯст;-1|бад|даст|нарангушт|поён|ранги равшании миёнаи пӯст
	👎🏽;бад: ранги миёнаи пӯст;-1|бад|даст|нарангушт|поён|ранги миёнаи пӯст
	👎🏾;бад: ранги торики миёнаи пӯст;-1|бад|даст|нарангушт|поён|ранги торики миёнаи пӯст
	👎🏿;бад: ранги торики пӯст;-1|бад|даст|нарангушт|поён|ранги торики пӯст
✊;мушти бардошта;даст|мушт|мушт задан|мушти бардошта|фушурдашуда
	✊🏻;мушти бардошта: ранги равшани пӯст;даст|мушт|мушт задан|мушти бардошта|ранги равшани пӯст|фушурдашуда
	✊🏼;мушти бардошта: ранги равшании миёнаи пӯст;даст|мушт|мушт задан|мушти бардошта|ранги равшании миёнаи пӯст|фушурдашуда
	✊🏽;мушти бардошта: ранги миёнаи пӯст;даст|мушт|мушт задан|мушти бардошта|ранги миёнаи пӯст|фушурдашуда
	✊🏾;мушти бардошта: ранги торики миёнаи пӯст;даст|мушт|мушт задан|мушти бардошта|ранги торики миёнаи пӯст|фушурдашуда
	✊🏿;мушти бардошта: ранги торики пӯст;даст|мушт|мушт задан|мушти бардошта|ранги торики пӯст|фушурдашуда
👊;мушти муқобил;даст|мушт|мушт задан|мушти муқобил|фушурдашуда
	👊🏻;мушти муқобил: ранги равшани пӯст;даст|мушт|мушт задан|мушти муқобил|ранги равшани пӯст|фушурдашуда
	👊🏼;мушти муқобил: ранги равшании миёнаи пӯст;даст|мушт|мушт задан|мушти муқобил|ранги равшании миёнаи пӯст|фушурдашуда
	👊🏽;мушти муқобил: ранги миёнаи пӯст;даст|мушт|мушт задан|мушти муқобил|ранги миёнаи пӯст|фушурдашуда
	👊🏾;мушти муқобил: ранги торики миёнаи пӯст;даст|мушт|мушт задан|мушти муқобил|ранги торики миёнаи пӯст|фушурдашуда
