# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;ansikte med stort leende;ansikte|glad|kul|leende|roligt|skratt
	👆🏼;pekfinger upp: mellanljus hy;finger|hand som pekar pekfingret uppåt|mellanljus hy|peka uppåt|pekfinger|pekfinger upp
	👆🏽;pekfinger upp: mellanfärgad hy;finger|hand som pekar pekfingret uppåt|mellanfärgad hy|peka uppåt|pekfinger|pekfinger upp
	👆🏾;pekfinger upp: mellanmörk hy;finger|hand som pekar pekfingret uppåt|mellanmörk hy|peka uppåt|pekfinger|pekfinger upp
	👆🏿;pekfinger upp: mörk hy;finger|hand som pekar pekfingret uppåt|mörk hy|peka uppåt|pekfinger|pekfinger upp
🖕;långfinger upp;finger|hand|långfinger upp
	🖕🏻;långfinger upp: ljus hy;finger|hand|långfinger upp|ljus hy
	🖕🏼;långfinger upp: mellanljus hy;finger|hand|långfinger upp|mellanljus hy
	🖕🏽;långfinger upp: mellanfärgad hy;finger|hand|långfinger upp|mellanfärgad hy
	🖕🏾;långfinger upp: mellanmörk hy;finger|hand|långfinger upp|mellanmörk hy
	🖕🏿;långfinger upp: mörk hy;finger|hand|långfinger upp|mörk hy
👇;nedåtpekande finger;finger|nedåtpekande finger|peka nedåt|pekfinger
	👇🏻;nedåtpekande finger: ljus hy;finger|ljus hy|nedåtpekande finger|peka nedåt|pekfinger
	👇🏼;nedåtpekande finger: mellanljus hy;finger|mellanljus hy|nedåtpekande finger|peka nedåt|pekfinger
	👇🏽;nedåtpekande finger: mellanfärgad hy;finger|mellanfärgad hy|nedåtpekande finger|peka nedåt|pekfinger
	👇🏾;nedåtpekande finger: mellanmörk hy;finger|mellanmörk hy|nedåtpekande finger|peka nedåt|pekfinger
	👇🏿;nedåtpekande finger: mörk hy;finger|mörk hy|nedåtpekande finger|peka nedåt|pekfinger
☝️;finger upp;finger|finger upp|förmaning|peka
	☝🏻;finger upp: ljus hy;finger|finger upp|förmaning|ljus hy|peka
	☝🏼;finger upp: mellanljus hy;finger|finger upp|förmaning|mellanljus hy|peka
	☝🏽;finger upp: mellanfärgad hy;finger|finger upp|förmaning|mellanfärgad hy|peka
	☝🏾;finger upp: mellanmörk hy;finger|finger upp|förmaning|mellanmörk hy|peka
	☝🏿;finger upp: mörk hy;finger|finger upp|förmaning|mörk hy|peka
🫵;finger som pekar på mig;du|finger som pekar mot tittaren|finger som pekar på mig|mig|peka
	🫵🏻;finger som pekar på mig: ljus hy;du|finger som pekar mot tittaren|finger som pekar på mig|ljus hy|mig|peka
	🫵🏼;finger som pekar på mig: mellanljus hy;du|finger som pekar mot tittaren|finger som pekar på mig|mellanljus hy|mig|peka
	🫵🏽;finger som pekar på mig: mellanfärgad hy;du|finger som pekar mot tittaren|finger som pekar på mig|mellanfärgad hy|mig|peka
	🫵🏾;finger som pekar på mig: mellanmörk hy;du|finger som pekar mot tittaren|finger som pekar på mig|mellanmörk hy|mig|peka
	🫵🏿;finger som pekar på mig: mörk hy;du|finger som pekar mot tittaren|finger som pekar på mig|mig|mörk hy|peka
👍;tummen upp;bra|gillar|ok|okej|tumme|tummen upp|upp
	👍🏻;tummen upp: ljus hy;bra|gillar|ljus hy|ok|okej|tumme|tummen upp|upp
	👍🏼;tummen upp: mellanljus hy;bra|gillar|mellanljus hy|ok|okej|tumme|tummen upp|upp
	👍🏽;tummen upp: mellanfärgad hy;bra|gillar|mellanfärgad hy|ok|okej|tumme|tummen upp|upp
	👍🏾;tummen upp: mellanmörk hy;bra|gillar|mellanmörk hy|ok|okej|tumme|tummen upp|upp
	👍🏿;tummen upp: mörk hy;bra|gillar|mörk hy|ok|okej|tumme|tummen upp|upp
👎;tummen ned;ner|ogilla|tumme|tummen ned
	👎🏻;tummen ned: ljus hy;ljus hy|ner|ogilla|tumme|tummen ned
	👎🏼;tummen ned: mellanljus hy;mellanljus hy|ner|ogilla|tumme|tummen ned
	👎🏽;tummen ned: mellanfärgad hy;mellanfärgad hy|ner|ogilla|tumme|tummen ned
	👎🏾;tummen ned: mellanmörk hy;mellanmörk hy|ner|ogilla|tumme|tummen ned
	👎🏿;tummen ned: mörk hy;mörk hy|ner|ogilla|tumme|tummen ned
✊;knytnäve i luften;hand|knytnäve|knytnäve i luften
	✊🏻;knytnäve i luften: ljus hy;hand|knytnäve|knytnäve i luften|ljus hy
	✊🏼;knytnäve i luften: mellanljus hy;hand|knytnäve|knytnäve i luften|mellanljus hy
	✊🏽;knytnäve i luften: mellanfärgad hy;hand|knytnäve|knytnäve i luften|mellanfärgad hy
	✊🏾;knytnäve i luften: mellanmörk hy;hand|knytnäve|knytnäve i luften|mellanmörk hy
	✊🏿;knytnäve i luften: mörk hy;hand|knytnäve|knytnäve i luften|mörk hy
👊;knuten hand;knuten hand|knytnäve
	👊🏻;knuten hand: ljus hy;knuten hand|knytnäve|ljus hy
	👊🏼;knuten hand: mellanljus hy;knuten hand|knytnäve|mellanljus hy
	👊🏽;knuten hand: mellanfärgad hy;knuten hand|knytnäve|mellanfärgad hy
	👊🏾;knuten hand: mellanmörk hy;knuten hand|knytnäve|mellanmörk hy
	👊🏿;knuten hand: mörk hy;knuten hand|knytnäve|mörk hy
🤛;vänstervänd näve;näve|vänster|vänstervänd
	🤛🏻;vänstervänd näve: ljus hy;ljus hy|näve|vänster|vänstervänd
	🤛🏼;vänstervänd näve: mellanljus hy;mellanljus hy|näve|vänster|vänstervänd
	🤛🏽;vänstervänd näve: mellanfärgad hy;mellanfärgad hy|näve|vänster|vänstervänd
	🤛🏾;vänstervänd näve: mellanmörk hy;mellanmörk hy|näve|vänster|vänstervänd
	🤛🏿;vänstervänd näve: mörk hy;mörk hy|näve|vänster|vänstervänd
🤜;högervänd näve;höger|högervänd|näve
	🤜🏻;högervänd näve: ljus hy;höger|högervänd|ljus hy|näve
	🤜🏼;högervänd näve: mellanljus hy;höger|högervänd|mellanljus hy|näve
	🤜🏽;högervänd näve: mellanfärgad hy;höger|högervänd|mellanfärgad hy|näve
	🤜🏾;högervänd näve: mellanmörk hy;höger|högervänd|mellanmörk hy|näve
	🤜🏿;högervänd näve: mörk hy;höger|högervänd|mörk hy|näve
👏;klappande händer;klappa|klappa händer|klappande händer
	👏🏻;klappande händer: ljus hy;klappa|klappa händer|klappande händer|ljus hy
	👏🏼;klappande händer: mellanljus hy;klappa|klappa händer|klappande händer|mellanljus hy
	👏🏽;klappande händer: mellanfärgad hy;klappa|klappa händer|klappande händer|mellanfärgad hy
	👏🏾;klappande händer: mellanmörk hy;klappa|klappa händer|klappande händer|mellanmörk hy
	👏🏿;klappande händer: mörk hy;klappa|klappa händer|klappande händer|mörk hy
🙌;båda händerna i luften;båda händerna i luften|hurra|räcker upp händerna
	🙌🏻;båda händerna i luften: ljus hy;båda händerna i luften|hurra|ljus hy|räcker upp händerna
	🙌🏼;båda händerna i luften: mellanljus hy;båda händerna i luften|hurra|mellanljus hy|räcker upp händerna
	🙌🏽;båda händerna i luften: mellanfärgad hy;båda händerna i luften|hurra|mellanfärgad hy|räcker upp händerna
	🙌🏾;båda händerna i luften: mellanmörk hy;båda händerna i luften|hurra|mellanmörk hy|räcker upp händerna
	🙌🏿;båda händerna i luften: mörk hy;båda händerna i luften|hurra|mörk hy|räcker upp händerna
🫶;handhjärta;
	🫶🏻;handhjärta: ljus hy;älskar|handhjärta|kärlek|ljus hy
	🫶🏼;handhjärta: mellanljus hy;älskar|handhjärta|kärlek|mellanljus hy
	🫶🏽;handhjärta: mellanfärgad hy;älskar|handhjärta|kärlek|mellanfärgad hy
	🫶🏾;handhjärta: mellanmörk hy;älskar|handhjärta|kärlek|mellanmörk hy
	🫶🏿;handhjärta: mörk hy;älskar|handhjärta|kärlek|mörk hy
👐;öppna händer;hand|händer|jazzhänder|öppna
	👐🏻;öppna händer: ljus hy;hand|händer|jazzhänder|ljus hy|öppna
	👐🏼;öppna händer: mellanljus hy;hand|händer|jazzhänder|mellanljus hy|öppna
	👐🏽;öppna händer: mellanfärgad hy;hand|händer|jazzhänder|mellanfärgad hy|öppna
	👐🏾;öppna händer: mellanmörk hy;hand|händer|jazzhänder|mellanmörk hy|öppna
	👐🏿;öppna händer: mörk hy;hand|händer|jazzhänder|mörk hy|öppna
🤲;handflatorna upp;bön|handflatorna upp
	🤲🏻;handflatorna upp: ljus hy;bön|handflatorna upp|ljus hy
	🤲🏼;handflatorna upp: mellanljus hy;bön|handflatorna upp|mellanljus hy
	🤲🏽;handflatorna upp: mellanfärgad hy;bön|handflatorna upp|mellanfärgad hy
	🤲🏾;handflatorna upp: mellanmörk hy;bön|handflatorna upp|mellanmörk hy
	🤲🏿;handflatorna upp: mörk hy;bön|handflatorna upp|mörk hy
🤝;handskakning;avtal|hand|handskakning|möte
	🤝🏻;handskakning: ljus hy;avtal|hand|handskakning|ljus hy|möte
	🤝🏼;handskakning: mellanljus hy;avtal|hand|handskakning|mellanljus hy|möte
	🤝🏽;handskakning: mellanfärgad hy;avtal|hand|handskakning|mellanfärgad hy|möte
	🤝🏾;handskakning: mellanmörk hy;avtal|hand|handskakning|mellanmörk hy|möte
	🤝🏿;handskakning: mörk hy;avtal|hand|handskakning|mörk hy|möte
	🫱🏻‍🫲🏼;handskakning: ljus hy, mellanljus hy;avtal|hand|handskakning|ljus hy|mellanljus hy|möte
	🫱🏻‍🫲🏽;handskakning: ljus hy, mellanfärgad hy;avtal|hand|handskakning|ljus hy|mellanfärgad hy|möte
	🫱🏻‍🫲🏾;handskakning: ljus hy, mellanmörk hy;avtal|hand|handskakning|ljus hy|mellanmörk hy|möte
	🫱🏻‍🫲🏿;handskakning: ljus hy, mörk hy;avtal|hand|handskakning|ljus hy|mörk hy|möte
	🫱🏼‍🫲🏻;handskakning: mellanljus hy, ljus hy;avtal|hand|handskakning|ljus hy|mellanljus hy|möte
	🫱🏼‍🫲🏽;handskakning: mellanljus hy, mellanfärgad hy;avtal|hand|handskakning|mellanfärgad hy|mellanljus hy|möte
	🫱🏼‍🫲🏾;handskakning: mellanljus hy, mellanmörk hy;avtal|hand|handskakning|mellanljus hy|mellanmörk hy|möte
	🫱🏼‍🫲🏿;handskakning: mellanljus hy, mörk hy;avtal|hand|handskakning|mellanljus hy|mörk hy|möte
	🫱🏽‍🫲🏻;handskakning: mellanfärgad hy, ljus hy;avtal|hand|handskakning|ljus hy|mellanfärgad hy|möte
	🫱🏽‍🫲🏼;handskakning: mellanfärgad hy, mellanljus hy;avtal|hand|handskakning|mellanfärgad hy|mellanljus hy|möte
	🫱🏽‍🫲🏾;handskakning: mellanfärgad hy, mellanmörk hy;avtal|hand|handskakning|mellanfärgad hy|mellanmörk hy|möte
	🫱🏽‍🫲🏿;handskakning: mellanfärgad hy, mörk hy;avtal|hand|handskakning|mellanfärgad hy|mörk hy|möte
	🫱🏾‍🫲🏻;handskakning: mellanmörk hy, ljus hy;avtal|hand|handskakning|ljus hy|mellanmörk hy|möte
	🫱🏾‍🫲🏼;handskakning: mellanmörk hy, mellanljus hy;avtal|hand|handskakning|mellanljus hy|mellanmörk hy|möte
	🫱🏾‍🫲🏽;handskakning: mellanmörk hy, mellanfärgad hy;avtal|hand|handskakning|mellanfärgad hy|mellanmörk hy|möte
	🫱🏾‍🫲🏿;handskakning: mellanmörk hy, mörk hy;avtal|hand|handskakning|mellanmörk hy|mörk hy|möte
	🫱🏿‍🫲🏻;handskakning: mörk hy, ljus hy;avtal|hand|handskakning|ljus hy|mörk hy|möte
	🫱🏿‍🫲🏼;handskakning: mörk hy, mellanljus hy;avtal|hand|handskakning|mellanljus hy|mörk hy|möte
	🫱🏿‍🫲🏽;handskakning: mörk hy, mellanfärgad hy;avtal|hand|handskakning|mellanfärgad hy|mörk hy|möte
	🫱🏿‍🫲🏾;handskakning: mörk hy, mellanmörk hy;avtal|hand|handskakning|mellanmörk hy|mörk hy|möte
🙏;beende händer;be|beende händer|ber|händer|knäppta händer
	🙏🏻;beende händer: ljus hy;be|beende händer|ber|händer|knäppta händer|ljus hy
	🙏🏼;beende händer: mellanljus hy;be|beende händer|ber|händer|knäppta händer|mellanljus hy
	🙏🏽;beende händer: mellanfärgad hy;be|beende händer|ber|händer|knäppta händer|mellanfärgad hy
	🙏🏾;beende händer: mellanmörk hy;be|beende händer|ber|händer|knäppta händer|mellanmörk hy
	🙏🏿;beende händer: mörk hy;be|beende händer|ber|händer|knäppta händer|mörk hy
✍️;hand som skriver;hand|hand som skriver|skriver
	✍🏻;hand som skriver: ljus hy;hand|hand som skriver|ljus hy|skriver
	✍🏼;hand som skriver: mellanljus hy;hand|hand som skriver|mellanljus hy|skriver
	✍🏽;hand som skriver: mellanfärgad hy;hand|hand som skriver|mellanfärgad hy|skriver
	✍🏾;hand som skriver: mellanmörk hy;hand|hand som skriver|mellanmörk hy|skriver
	✍🏿;hand som skriver: mörk hy;hand|hand som skriver|mörk hy|skriver
💅;nagellack;måla naglar|manikyr|nagellack|smink
	💅🏻;nagellack: ljus hy;ljus hy|måla naglar|manikyr|nagellack|smink
	💅🏼;nagellack: mellanljus hy;måla naglar|manikyr|mellanljus hy|nagellack|smink
	💅🏽;nagellack: mellanfärgad hy;måla naglar|manikyr|mellanfärgad hy|nagellack|smink
	💅🏾;nagellack: mellanmörk hy;måla naglar|manikyr|mellanmörk hy|nagellack|smink
	💅🏿;nagellack: mörk hy;måla naglar|manikyr|mörk hy|nagellack|smink
🤳;selfie;
	🤳🏻;selfie: ljus hy;arm som tar en selfie med telefon|kamera|ljus hy|selfie|telefon
	🤳🏼;selfie: mellanljus hy;arm som tar en selfie med telefon|kamera|mellanljus hy|selfie|telefon
	🤳🏽;selfie: mellanfärgad hy;arm som tar en selfie med telefon|kamera|mellanfärgad hy|selfie|telefon
	🤳🏾;selfie: mellanmörk hy;arm som tar en selfie med telefon|kamera|mellanmörk hy|selfie|telefon
	🤳🏿;selfie: mörk hy;arm som tar en selfie med telefon|kamera|mörk hy|selfie|telefon
💪;spänd biceps;muskler|spänd biceps|stark
	💪🏻;spänd biceps: ljus hy;ljus hy|muskler|spänd biceps|stark
	💪🏼;spänd biceps: mellanljus hy;mellanljus hy|muskler|spänd biceps|stark
	💪🏽;spänd biceps: mellanfärgad hy;mellanfärgad hy|muskler|spänd biceps|stark
	💪🏾;spänd biceps: mellanmörk hy;mellanmörk hy|muskler|spänd biceps|stark
	💪🏿;spänd biceps: mörk hy;mörk hy|muskler|spänd biceps|stark
🦾;mekanisk arm;bionisk arm|mekanisk arm|protes
🦿;mekaniskt ben;bioniskt ben|mekaniskt ben|protes
🦵;ben;ben|lem|sparka
	🦵🏻;ben: ljus hy;ben|lem|ljus hy|sparka
	🦵🏼;ben: mellanljus hy;ben|lem|mellanljus hy|sparka
	🦵🏽;ben: mellanfärgad hy;ben|lem|mellanfärgad hy|sparka
	🦵🏾;ben: mellanmörk hy;ben|lem|mellanmörk hy|sparka
	🦵🏿;ben: mörk hy;ben|lem|mörk hy|sparka
🦶;fot;fot|sparka|stampa
	🦶🏻;fot: ljus hy;fot|ljus hy|sparka|stampa
	🦶🏼;fot: mellanljus hy;fot|mellanljus hy|sparka|stampa
	🦶🏽;fot: mellanfärgad hy;fot|mellanfärgad hy|sparka|stampa
	🦶🏾;fot: mellanmörk hy;fot|mellanmörk hy|sparka|stampa
	🦶🏿;fot: mörk hy;fot|mörk hy|sparka|stampa
👂;öra;kropp|öra
	👂🏻;öra: ljus hy;kropp|ljus hy|öra
	👂🏼;öra: mellanljus hy;kropp|mellanljus hy|öra
	👂🏽;öra: mellanfärgad hy;kropp|mellanfärgad hy|öra
	👂🏾;öra: mellanmörk hy;kropp|mellanmörk hy|öra
	👂🏿;öra: mörk hy;kropp|mörk hy|öra
🦻;öra med hörapparat;öra med hörapparat
	🦻🏻;öra med hörapparat: ljus hy;ljus hy|öra med hörapparat
	🦻🏼;öra med hörapparat: mellanljus hy;mellanljus hy|öra med hörapparat
	🦻🏽;öra med hörapparat: mellanfärgad hy;mellanfärgad hy|öra med hörapparat
	🦻🏾;öra med hörapparat: mellanmörk hy;mellanmörk hy|öra med hörapparat
	🦻🏿;öra med hörapparat: mörk hy;mörk hy|öra med hörapparat
👃;näsa;kropp|näsa
	👃🏻;näsa: ljus hy;kropp|ljus hy|näsa
	👃🏼;näsa: mellanljus hy;kropp|mellanljus hy|näsa
	👃🏽;näsa: mellanfärgad hy;kropp|mellanfärgad hy|näsa
	👃🏾;näsa: mellanmörk hy;kropp|mellanmörk hy|näsa
	👃🏿;näsa: mörk hy;kropp|mörk hy|näsa
🧠;hjärna;hjärna|klok
🫀;hjärta;hjärta|kardiologi|organ|puls
🫁;lungor;andning|exhalering|inhalering|lungor|organ
🦷;tand;tand|tandläkare
🦴;benknota;benknota|skelett
👀;ögon;öga|ögon
👁️;öga;kropp|öga
👅;tunga;kropp|tunga
👄;mun;läppar|mun
🫦;biter i läppen;ängslig|biter i läppen|flirtar|nervös|obekväm|orolig|rädd|tveksam
👶;bebis;baby|bebis|liten|ung
	👶🏻;bebis: ljus hy;baby|bebis|liten|ljus hy|ung
	👶🏼;bebis: mellanljus hy;baby|bebis|liten|mellanljus hy|ung
	👶🏽;bebis: mellanfärgad hy;baby|bebis|liten|mellanfärgad hy|ung
	👶🏾;bebis: mellanmörk hy;baby|bebis|liten|mellanmörk hy|ung
	👶🏿;bebis: mörk hy;baby|bebis|liten|mörk hy|ung
🧒;barn;barn|könsneutral|leende barn|ung
	🧒🏻;barn: ljus hy;barn|könsneutral|leende barn|ljus hy|ung
	🧒🏼;barn: mellanljus hy;barn|könsneutral|leende barn|mellanljus hy|ung
	🧒🏽;barn: mellanfärgad hy;barn|könsneutral|leende barn|mellanfärgad hy|ung
	🧒🏾;barn: mellanmörk hy;barn|könsneutral|leende barn|mellanmörk hy|ung
	🧒🏿;barn: mörk hy;barn|könsneutral|leende barn|mörk hy|ung
👦;pojke;kille|pojke|ung
	👦🏻;pojke: ljus hy;kille|ljus hy|pojke|ung
	👦🏼;pojke: mellanljus hy;kille|mellanljus hy|pojke|ung
	👦🏽;pojke: mellanfärgad hy;kille|mellanfärgad hy|pojke|ung
	👦🏾;pojke: mellanmörk hy;kille|mellanmörk hy|pojke|ung
	👦🏿;pojke: mörk hy;kille|mörk hy|pojke|ung
👧;flicka;flicka|jungfru|stjärntecken|tjej|ung
	👧🏻;flicka: ljus hy;flicka|jungfru|ljus hy|stjärntecken|tjej|ung
	👧🏼;flicka: mellanljus hy;flicka|jungfru|mellanljus hy|stjärntecken|tjej|ung
	👧🏽;flicka: mellanfärgad hy;flicka|jungfru|mellanfärgad hy|stjärntecken|tjej|ung
	👧🏾;flicka: mellanmörk hy;flicka|jungfru|mellanmörk hy|stjärntecken|tjej|ung
	👧🏿;flicka: mörk hy;flicka|jungfru|mörk hy|stjärntecken|tjej|ung
🧑;person;könsneutral|person|vuxen
	🧑🏻;person: ljus hy;könsneutral|ljus hy|person|vuxen
	🧑🏼;person: mellanljus hy;könsneutral|mellanljus hy|person|vuxen
	🧑🏽;person: mellanfärgad hy;könsneutral|mellanfärgad hy|person|vuxen
	🧑🏾;person: mellanmörk hy;könsneutral|mellanmörk hy|person|vuxen
	🧑🏿;person: mörk hy;könsneutral|mörk hy|person|vuxen
👱;blond person;blond|blond man|blond person|människor
	👱🏻;blond person: ljus hy;blond|blond man|blond person|ljus hy|människor
	👱🏼;blond person: mellanljus hy;blond|blond man|blond person|människor|mellanljus hy
	👱🏽;blond person: mellanfärgad hy;blond|blond man|blond person|människor|mellanfärgad hy
	👱🏾;blond person: mellanmörk hy;blond|blond man|blond person|människor|mellanmörk hy
	👱🏿;blond person: mörk hy;blond|blond man|blond person|människor|mörk hy
👨;man;man|vuxen
	👨🏻;man: ljus hy;ljus hy|man|vuxen
	👨🏼;man: mellanljus hy;man|mellanljus hy|vuxen
	👨🏽;man: mellanfärgad hy;man|mellanfärgad hy|vuxen
	👨🏾;man: mellanmörk hy;man|mellanmörk hy|vuxen
	👨🏿;man: mörk hy;man|mörk hy|vuxen
🧔;man med skägg;man med skägg|person med skägg|skägg
	🧔🏻;man med skägg: ljus hy;ljus hy|man med skägg|person med skägg|skägg
	🧔🏼;man med skägg: mellanljus hy;man med skägg|mellanljus hy|person med skägg|skägg
	🧔🏽;man med skägg: mellanfärgad hy;man med skägg|mellanfärgad hy|person med skägg|skägg
	🧔🏾;man med skägg: mellanmörk hy;man med skägg|mellanmörk hy|person med skägg|skägg
	🧔🏿;man med skägg: mörk hy;man med skägg|mörk hy|person med skägg|skägg
🧔‍♂️;man: skägg;man|man: skägg|skägg
	🧔🏻‍♂️;man: ljus hy, skägg;ljus hy|man|man: skägg|skägg
	🧔🏼‍♂️;man: mellanljus hy, skägg;man|man: skägg|mellanljus hy|skägg
	🧔🏽‍♂️;man: mellanfärgad hy, skägg;man|man: skägg|mellanfärgad hy|skägg
	🧔🏾‍♂️;man: mellanmörk hy, skägg;man|man: skägg|mellanmörk hy|skägg
	🧔🏿‍♂️;man: mörk hy, skägg;man|man: skägg|mörk hy|skägg
🧔‍♀️;kvinna: skägg;kvinna|kvinna: skägg|skägg
	🧔🏻‍♀️;kvinna: ljus hy, skägg;kvinna|kvinna: skägg|ljus hy|skägg
	🧔🏼‍♀️;kvinna: mellanljus hy, skägg;kvinna|kvinna: skägg|mellanljus hy|skägg
	🧔🏽‍♀️;kvinna: mellanfärgad hy, skägg;kvinna|kvinna: skägg|mellanfärgad hy|skägg
	🧔🏾‍♀️;kvinna: mellanmörk hy, skägg;kvinna|kvinna: skägg|mellanmörk hy|skägg
	🧔🏿‍♀️;kvinna: mörk hy, skägg;kvinna|kvinna: skägg|mörk hy|skägg
👨‍🦰;man: rödhårig;man|rödhårig|vuxen
	👨🏻‍🦰;man: ljus hy, rödhårig;ljus hy|man|rödhårig|vuxen
	👨🏼‍🦰;man: mellanljus hy, rödhårig;man|mellanljus hy|rödhårig|vuxen
	👨🏽‍🦰;man: mellanfärgad hy, rödhårig;man|mellanfärgad hy|rödhårig|vuxen
	👨🏾‍🦰;man: mellanmörk hy, rödhårig;man|mellanmörk hy|rödhårig|vuxen
