# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;মুখে দেঁতো হাসি;দেঁতো হাসি|মুখ|মুখে দেঁতো হাসি|হাসি
💨;উদ্যমী;উদ্যমী|কমিক|দূরে|দৌড়|দৌড়রত|ধোঁয়া|হানাহানি
🕳️;গর্ত;গর্ত
💬;বক্তব্যের বেলুন;কমিক|ডায়ালগ|বক্তব্যের বেলুন|বক্তৃতা|বুদ্বুদ|বেলুন
👁️‍🗨️;চোখের মতন স্পিচ বাবল;চিহ্ন|চোখ|চোখের মতন স্পিচ বাবল|প্রত্যক্ষদর্শী|সাক্ষী|স্পিচ বাবল
🗨️;কথা বলার বামদিকের বুদবুদ;কথা বলার বামদিকের বুদবুদ|ডায়ালগ|বক্তৃতা|বুদবুদ
🗯️;ডানে ক্রোধের বুদ্বুদ;ক্রুদ্ধ|ক্ষিপ্ত|ডানে ক্রোধের বুদ্বুদ|বুদ্বুদ|বেলুন|রেগে বোম|রেগে যাওয়ার চিহ্ন
💭;থট বেলুন;কমিক|থট বেলুন|বুদ্বুদ|বেলুন|ভাবনা
💤;ঘুম পাচ্ছে;কমিক|ক্লান্ত|ঘুম পাচ্ছে|ঘুমন্ত|ঘুমন্ত অবস্থা|রাত হয়েছে|শুভরাত্রি

[people_body]
👋;হাত নাড়ানো;দোলানো|নাড়ানো|বিদায় জানানো|শরীর|হাই|হাত|হ্যালো
	👋🏻;হাত নাড়ানো: হালকা ত্বকের রঙ;দোলানো|নাড়ানো|বিদায় জানানো|শরীর|হাই|হাত|হালকা ত্বকের রঙ|হ্যালো
	👋🏼;হাত নাড়ানো: মাঝারি-হালকা ত্বকের রঙ;দোলানো|নাড়ানো|বিদায় জানানো|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাই|হাত|হ্যালো
	👋🏽;হাত নাড়ানো: মাঝারি ত্বকের রঙ;দোলানো|নাড়ানো|বিদায় জানানো|মাঝারি ত্বকের রঙ|শরীর|হাই|হাত|হ্যালো
	👋🏾;হাত নাড়ানো: মাঝারি-কালো ত্বকের রঙ;দোলানো|নাড়ানো|বিদায় জানানো|মাঝারি-কালো ত্বকের রঙ|শরীর|হাই|হাত|হ্যালো
	👋🏿;হাত নাড়ানো: কালো ত্বকের রঙ;কালো ত্বকের রঙ|দোলানো|নাড়ানো|বিদায় জানানো|শরীর|হাই|হাত|হ্যালো
🤚;হাতের পেছন দিক;হাত|হাত তোলা|হাতের পেছন দিক
	🤚🏻;হাতের পেছন দিক: হালকা ত্বকের রঙ;হাত|হাত তোলা|হাতের পেছন দিক|হালকা ত্বকের রঙ
	🤚🏼;হাতের পেছন দিক: মাঝারি-হালকা ত্বকের রঙ;মাঝারি-হালকা ত্বকের রঙ|হাত|হাত তোলা|হাতের পেছন দিক
	🤚🏽;হাতের পেছন দিক: মাঝারি ত্বকের রঙ;মাঝারি ত্বকের রঙ|হাত|হাত তোলা|হাতের পেছন দিক
	🤚🏾;হাতের পেছন দিক: মাঝারি-কালো ত্বকের রঙ;মাঝারি-কালো ত্বকের রঙ|হাত|হাত তোলা|হাতের পেছন দিক
	🤚🏿;হাতের পেছন দিক: কালো ত্বকের রঙ;কালো ত্বকের রঙ|হাত|হাত তোলা|হাতের পেছন দিক
🖐️;আঙ্গুল প্রসারিত করে হাত তোলা;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|থাক|থাম|প্রসারিত করা|শরীর|হাত
	🖐🏻;আঙ্গুল প্রসারিত করে হাত তোলা: হালকা ত্বকের রঙ;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|থাক|থাম|প্রসারিত করা|শরীর|হাত|হালকা ত্বকের রঙ
	🖐🏼;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-হালকা ত্বকের রঙ;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|থাক|থাম|প্রসারিত করা|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	🖐🏽;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি ত্বকের রঙ;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|থাক|থাম|প্রসারিত করা|মাঝারি ত্বকের রঙ|শরীর|হাত
	🖐🏾;আঙ্গুল প্রসারিত করে হাত তোলা: মাঝারি-কালো ত্বকের রঙ;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|থাক|থাম|প্রসারিত করা|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত
	🖐🏿;আঙ্গুল প্রসারিত করে হাত তোলা: কালো ত্বকের রঙ;অনেক হয়েছে|আঙ্গুল|আঙ্গুল প্রসারিত করে হাত তোলা|কালো ত্বকের রঙ|থাক|থাম|প্রসারিত করা|শরীর|হাত
✋;অনুগ্রহ করে থামুন;অনুগ্রহ করে থামুন|জিও কাকা|শরীর|হাত|হাত তোলা
	✋🏻;অনুগ্রহ করে থামুন: হালকা ত্বকের রঙ;অনুগ্রহ করে থামুন|জিও কাকা|শরীর|হাত|হাত তোলা|হালকা ত্বকের রঙ
	✋🏼;অনুগ্রহ করে থামুন: মাঝারি-হালকা ত্বকের রঙ;অনুগ্রহ করে থামুন|জিও কাকা|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত|হাত তোলা
	✋🏽;অনুগ্রহ করে থামুন: মাঝারি ত্বকের রঙ;অনুগ্রহ করে থামুন|জিও কাকা|মাঝারি ত্বকের রঙ|শরীর|হাত|হাত তোলা
	✋🏾;অনুগ্রহ করে থামুন: মাঝারি-কালো ত্বকের রঙ;অনুগ্রহ করে থামুন|জিও কাকা|মাঝারি-কালো ত্বকের রঙ|শরীর|হাত|হাত তোলা
	✋🏿;অনুগ্রহ করে থামুন: কালো ত্বকের রঙ;অনুগ্রহ করে থামুন|কালো ত্বকের রঙ|জিও কাকা|শরীর|হাত|হাত তোলা
🖖;ভ্যালকান স্যালুট;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|শরীর|হাত
	🖖🏻;ভ্যালকান স্যালুট: হালকা ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|শরীর|হাত|হালকা ত্বকের রঙ
	🖖🏼;ভ্যালকান স্যালুট: মাঝারি-হালকা ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|মাঝারি-হালকা ত্বকের রঙ|শরীর|হাত
	🖖🏽;ভ্যালকান স্যালুট: মাঝারি ত্বকের রঙ;আকার ইঙ্গিত|আঙ্গুল|ভালকান|ভ্যালকান স্যালুট|মাঝারি ত্বকের রঙ|শরীর|হাত
