# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cerenje;cerenje|lice
	👉🏼;pokazivanje kažiprstom udesno: umjereno svijetla boja kože;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka|umjereno svijetla boja kože
	👉🏽;pokazivanje kažiprstom udesno: umjerena boja kože;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka|umjerena boja kože
	👉🏾;pokazivanje kažiprstom udesno: umjereno tamna boja kože;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka|umjereno tamna boja kože
	👉🏿;pokazivanje kažiprstom udesno: tamna boja kože;desno|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom udesno|prst|ruka|tamna boja kože
👆;pokazivanje kažiprstom gore;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka
	👆🏻;pokazivanje kažiprstom gore: svijetla boja kože;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka|svijetla boja kože
	👆🏼;pokazivanje kažiprstom gore: umjereno svijetla boja kože;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka|umjereno svijetla boja kože
	👆🏽;pokazivanje kažiprstom gore: umjerena boja kože;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka|umjerena boja kože
	👆🏾;pokazivanje kažiprstom gore: umjereno tamna boja kože;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka|umjereno tamna boja kože
	👆🏿;pokazivanje kažiprstom gore: tamna boja kože;gore|kažiprst|nadlanica|pokazivanje|pokazivanje kažiprstom gore|prst|ruka|tamna boja kože
🖕;srednji prst;gore|nadlanica|pokazivanje|srednji prst
	🖕🏻;srednji prst: svijetla boja kože;gore|nadlanica|pokazivanje|srednji prst|svijetla boja kože
	🖕🏼;srednji prst: umjereno svijetla boja kože;gore|nadlanica|pokazivanje|srednji prst|umjereno svijetla boja kože
	🖕🏽;srednji prst: umjerena boja kože;gore|nadlanica|pokazivanje|srednji prst|umjerena boja kože
	🖕🏾;srednji prst: umjereno tamna boja kože;gore|nadlanica|pokazivanje|srednji prst|umjereno tamna boja kože
	🖕🏿;srednji prst: tamna boja kože;gore|nadlanica|pokazivanje|srednji prst|tamna boja kože
👇;kažiprst dolje;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka
	👇🏻;kažiprst dolje: svijetla boja kože;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka|svijetla boja kože
	👇🏼;kažiprst dolje: umjereno svijetla boja kože;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka|umjereno svijetla boja kože
	👇🏽;kažiprst dolje: umjerena boja kože;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka|umjerena boja kože
	👇🏾;kažiprst dolje: umjereno tamna boja kože;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka|umjereno tamna boja kože
	👇🏿;kažiprst dolje: tamna boja kože;dolje|kažiprst|nadlanica|pokazivanje|prst|ruka|tamna boja kože
☝️;kažiprst pokazuje gore;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom
	☝🏻;kažiprst pokazuje gore: svijetla boja kože;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom|svijetla boja kože
	☝🏼;kažiprst pokazuje gore: umjereno svijetla boja kože;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom|umjereno svijetla boja kože
	☝🏽;kažiprst pokazuje gore: umjerena boja kože;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom|umjerena boja kože
	☝🏾;kažiprst pokazuje gore: umjereno tamna boja kože;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom|umjereno tamna boja kože
	☝🏿;kažiprst pokazuje gore: tamna boja kože;dlan|gore|kažiprst|kažiprst pokazuje gore|pokazivanje|pokazivanje kažiprstom gore s okrenutim dlanom|tamna boja kože
🫵;kažiprst uperen u gledaoca;kažiprst uperen u gledaoca|pokazivanje|ti
	🫵🏻;kažiprst uperen u gledaoca: svijetla boja kože;kažiprst uperen u gledaoca|pokazivanje|svijetla boja kože|ti
	🫵🏼;kažiprst uperen u gledaoca: umjereno svijetla boja kože;kažiprst uperen u gledaoca|pokazivanje|ti|umjereno svijetla boja kože
	🫵🏽;kažiprst uperen u gledaoca: umjerena boja kože;kažiprst uperen u gledaoca|pokazivanje|ti|umjerena boja kože
	🫵🏾;kažiprst uperen u gledaoca: umjereno tamna boja kože;kažiprst uperen u gledaoca|pokazivanje|ti|umjereno tamna boja kože
	🫵🏿;kažiprst uperen u gledaoca: tamna boja kože;kažiprst uperen u gledaoca|pokazivanje|tamna boja kože|ti
👍;palac gore;+1|gore|palac|ruka
	👍🏻;palac gore: svijetla boja kože;+1|gore|palac|ruka|svijetla boja kože
	👍🏼;palac gore: umjereno svijetla boja kože;+1|gore|palac|ruka|umjereno svijetla boja kože
	👍🏽;palac gore: umjerena boja kože;+1|gore|palac|ruka|umjerena boja kože
	👍🏾;palac gore: umjereno tamna boja kože;+1|gore|palac|ruka|umjereno tamna boja kože
	👍🏿;palac gore: tamna boja kože;+1|gore|palac|ruka|tamna boja kože
👎;palac dolje;-1|dolje|palac|ruka
	👎🏻;palac dolje: svijetla boja kože;-1|dolje|palac|ruka|svijetla boja kože
	👎🏼;palac dolje: umjereno svijetla boja kože;-1|dolje|palac|ruka|umjereno svijetla boja kože
	👎🏽;palac dolje: umjerena boja kože;-1|dolje|palac|ruka|umjerena boja kože
	👎🏾;palac dolje: umjereno tamna boja kože;-1|dolje|palac|ruka|umjereno tamna boja kože
	👎🏿;palac dolje: tamna boja kože;-1|dolje|palac|ruka|tamna boja kože
✊;podignuta pesnica;pesnica|podignuta pesnica|podignuta šaka|ruka
	✊🏻;podignuta pesnica: svijetla boja kože;pesnica|podignuta pesnica|podignuta šaka|ruka|svijetla boja kože
	✊🏼;podignuta pesnica: umjereno svijetla boja kože;pesnica|podignuta pesnica|podignuta šaka|ruka|umjereno svijetla boja kože
	✊🏽;podignuta pesnica: umjerena boja kože;pesnica|podignuta pesnica|podignuta šaka|ruka|umjerena boja kože
	✊🏾;podignuta pesnica: umjereno tamna boja kože;pesnica|podignuta pesnica|podignuta šaka|ruka|umjereno tamna boja kože
	✊🏿;podignuta pesnica: tamna boja kože;pesnica|podignuta pesnica|podignuta šaka|ruka|tamna boja kože
👊;nabacivanje pesnicom;nabacivanje pesnicom|pesnica|ruka
	👊🏻;nabacivanje pesnicom: svijetla boja kože;nabacivanje pesnicom|pesnica|ruka|svijetla boja kože
	👊🏼;nabacivanje pesnicom: umjereno svijetla boja kože;nabacivanje pesnicom|pesnica|ruka|umjereno svijetla boja kože
	👊🏽;nabacivanje pesnicom: umjerena boja kože;nabacivanje pesnicom|pesnica|ruka|umjerena boja kože
	👊🏾;nabacivanje pesnicom: umjereno tamna boja kože;nabacivanje pesnicom|pesnica|ruka|umjereno tamna boja kože
	👊🏿;nabacivanje pesnicom: tamna boja kože;nabacivanje pesnicom|pesnica|ruka|tamna boja kože
🤛;šaka ulijevo;šaka|ulijevo
	🤛🏻;šaka ulijevo: svijetla boja kože;šaka|svijetla boja kože|ulijevo
	🤛🏼;šaka ulijevo: umjereno svijetla boja kože;šaka|ulijevo|umjereno svijetla boja kože
	🤛🏽;šaka ulijevo: umjerena boja kože;šaka|ulijevo|umjerena boja kože
	🤛🏾;šaka ulijevo: umjereno tamna boja kože;šaka|ulijevo|umjereno tamna boja kože
	🤛🏿;šaka ulijevo: tamna boja kože;šaka|tamna boja kože|ulijevo
🤜;šaka udesno;šaka|udesno
	🤜🏻;šaka udesno: svijetla boja kože;šaka|svijetla boja kože|udesno
	🤜🏼;šaka udesno: umjereno svijetla boja kože;šaka|udesno|umjereno svijetla boja kože
	🤜🏽;šaka udesno: umjerena boja kože;šaka|udesno|umjerena boja kože
	🤜🏾;šaka udesno: umjereno tamna boja kože;šaka|udesno|umjereno tamna boja kože
	🤜🏿;šaka udesno: tamna boja kože;šaka|tamna boja kože|udesno
👏;aplaudiranje;aplaudiranje|aplauz|dlanovi|ruke
	👏🏻;aplaudiranje: svijetla boja kože;aplaudiranje|aplauz|dlanovi|ruke|svijetla boja kože
	👏🏼;aplaudiranje: umjereno svijetla boja kože;aplaudiranje|aplauz|dlanovi|ruke|umjereno svijetla boja kože
	👏🏽;aplaudiranje: umjerena boja kože;aplaudiranje|aplauz|dlanovi|ruke|umjerena boja kože
	👏🏾;aplaudiranje: umjereno tamna boja kože;aplaudiranje|aplauz|dlanovi|ruke|umjereno tamna boja kože
	👏🏿;aplaudiranje: tamna boja kože;aplaudiranje|aplauz|dlanovi|ruke|tamna boja kože
🙌;ruke podignute u zrak;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak
	🙌🏻;ruke podignute u zrak: svijetla boja kože;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak|svijetla boja kože
	🙌🏼;ruke podignute u zrak: umjereno svijetla boja kože;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak|umjereno svijetla boja kože
	🙌🏽;ruke podignute u zrak: umjerena boja kože;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak|umjerena boja kože
	🙌🏾;ruke podignute u zrak: umjereno tamna boja kože;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak|umjereno tamna boja kože
	🙌🏿;ruke podignute u zrak: tamna boja kože;dlanovi|gestikulacija|radovanje|ruke|ruke podignute u zrak|tamna boja kože
🫶;ruke formiraju srce;ljubav|ruke formiraju srce
	🫶🏻;ruke formiraju srce: svijetla boja kože;ljubav|ruke formiraju srce|svijetla boja kože
	🫶🏼;ruke formiraju srce: umjereno svijetla boja kože;ljubav|ruke formiraju srce|umjereno svijetla boja kože
	🫶🏽;ruke formiraju srce: umjerena boja kože;ljubav|ruke formiraju srce|umjerena boja kože
	🫶🏾;ruke formiraju srce: umjereno tamna boja kože;ljubav|ruke formiraju srce|umjereno tamna boja kože
	🫶🏿;ruke formiraju srce: tamna boja kože;ljubav|ruke formiraju srce|tamna boja kože
👐;otvoreni dlanovi;dlanovi|otvoreni dlanovi|ruke
	👐🏻;otvoreni dlanovi: svijetla boja kože;dlanovi|otvoreni dlanovi|ruke|svijetla boja kože
	👐🏼;otvoreni dlanovi: umjereno svijetla boja kože;dlanovi|otvoreni dlanovi|ruke|umjereno svijetla boja kože
	👐🏽;otvoreni dlanovi: umjerena boja kože;dlanovi|otvoreni dlanovi|ruke|umjerena boja kože
	👐🏾;otvoreni dlanovi: umjereno tamna boja kože;dlanovi|otvoreni dlanovi|ruke|umjereno tamna boja kože
	👐🏿;otvoreni dlanovi: tamna boja kože;dlanovi|otvoreni dlanovi|ruke|tamna boja kože
🤲;dlanovi spojeni prema gore;dlanovi spojeni prema gore|molitva
	🤲🏻;dlanovi spojeni prema gore: svijetla boja kože;dlanovi spojeni prema gore|molitva|svijetla boja kože
	🤲🏼;dlanovi spojeni prema gore: umjereno svijetla boja kože;dlanovi spojeni prema gore|molitva|umjereno svijetla boja kože
	🤲🏽;dlanovi spojeni prema gore: umjerena boja kože;dlanovi spojeni prema gore|molitva|umjerena boja kože
	🤲🏾;dlanovi spojeni prema gore: umjereno tamna boja kože;dlanovi spojeni prema gore|molitva|umjereno tamna boja kože
	🤲🏿;dlanovi spojeni prema gore: tamna boja kože;dlanovi spojeni prema gore|molitva|tamna boja kože
🤝;rukovanje;dogovor|ruka|rukovanje|sastanak|stisak
	🤝🏻;rukovanje: svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože
	🤝🏼;rukovanje: umjereno svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjereno svijetla boja kože
	🤝🏽;rukovanje: umjerena boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjerena boja kože
	🤝🏾;rukovanje: umjereno tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjereno tamna boja kože
	🤝🏿;rukovanje: tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože
	🫱🏻‍🫲🏼;rukovanje: svijetla boja kože i umjereno svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjereno svijetla boja kože
	🫱🏻‍🫲🏽;rukovanje: svijetla boja kože i umjerena boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjerena boja kože
	🫱🏻‍🫲🏾;rukovanje: svijetla boja kože i umjereno tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjereno tamna boja kože
	🫱🏻‍🫲🏿;rukovanje: svijetla boja kože i tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|tamna boja kože
	🫱🏼‍🫲🏻;rukovanje: umjereno svijetla boja kože i svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjereno svijetla boja kože
	🫱🏼‍🫲🏽;rukovanje: umjereno svijetla boja kože i umjerena boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjerena boja kože|umjereno svijetla boja kože
	🫱🏼‍🫲🏾;rukovanje: umjereno svijetla boja kože i umjereno tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjereno svijetla boja kože|umjereno tamna boja kože
	🫱🏼‍🫲🏿;rukovanje: umjereno svijetla boja kože i tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjereno svijetla boja kože
	🫱🏽‍🫲🏻;rukovanje: umjerena boja kože i svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjerena boja kože
	🫱🏽‍🫲🏼;rukovanje: umjerena boja kože i umjereno svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjerena boja kože|umjereno svijetla boja kože
	🫱🏽‍🫲🏾;rukovanje: umjerena boja kože i umjereno tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjerena boja kože|umjereno tamna boja kože
	🫱🏽‍🫲🏿;rukovanje: umjerena boja kože i tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjerena boja kože
	🫱🏾‍🫲🏻;rukovanje: umjereno tamna boja kože i svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|umjereno tamna boja kože
	🫱🏾‍🫲🏼;rukovanje: umjereno tamna boja kože i umjereno svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjereno svijetla boja kože|umjereno tamna boja kože
	🫱🏾‍🫲🏽;rukovanje: umjereno tamna boja kože i umjerena boja kože;dogovor|ruka|rukovanje|sastanak|stisak|umjerena boja kože|umjereno tamna boja kože
	🫱🏾‍🫲🏿;rukovanje: umjereno tamna boja kože i tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjereno tamna boja kože
	🫱🏿‍🫲🏻;rukovanje: tamna boja kože i svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|svijetla boja kože|tamna boja kože
	🫱🏿‍🫲🏼;rukovanje: tamna boja kože i umjereno svijetla boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjereno svijetla boja kože
	🫱🏿‍🫲🏽;rukovanje: tamna boja kože i umjerena boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjerena boja kože
	🫱🏿‍🫲🏾;rukovanje: tamna boja kože i umjereno tamna boja kože;dogovor|ruka|rukovanje|sastanak|stisak|tamna boja kože|umjereno tamna boja kože
🙏;sastavljeni dlanovi;gestikulacija|molba|molitva|sastavljeni dlanovi|zahvalnost
	🙏🏻;sastavljeni dlanovi: svijetla boja kože;gestikulacija|molba|molitva|sastavljeni dlanovi|svijetla boja kože|zahvalnost
	🙏🏼;sastavljeni dlanovi: umjereno svijetla boja kože;gestikulacija|molba|molitva|sastavljeni dlanovi|umjereno svijetla boja kože|zahvalnost
	🙏🏽;sastavljeni dlanovi: umjerena boja kože;gestikulacija|molba|molitva|sastavljeni dlanovi|umjerena boja kože|zahvalnost
	🙏🏾;sastavljeni dlanovi: umjereno tamna boja kože;gestikulacija|molba|molitva|sastavljeni dlanovi|umjereno tamna boja kože|zahvalnost
	🙏🏿;sastavljeni dlanovi: tamna boja kože;gestikulacija|molba|molitva|sastavljeni dlanovi|tamna boja kože|zahvalnost
✍️;ruka koja piše;pisanje|ruka|ruka koja piše
	✍🏻;ruka koja piše: svijetla boja kože;pisanje|ruka|ruka koja piše|svijetla boja kože
	✍🏼;ruka koja piše: umjereno svijetla boja kože;pisanje|ruka|ruka koja piše|umjereno svijetla boja kože
	✍🏽;ruka koja piše: umjerena boja kože;pisanje|ruka|ruka koja piše|umjerena boja kože
	✍🏾;ruka koja piše: umjereno tamna boja kože;pisanje|ruka|ruka koja piše|umjereno tamna boja kože
	✍🏿;ruka koja piše: tamna boja kože;pisanje|ruka|ruka koja piše|tamna boja kože
💅;lakiranje noktiju;kozmetika|lak za nokte|lakiranje noktiju|nokti|uljepšavanje
	💅🏻;lakiranje noktiju: svijetla boja kože;kozmetika|lak za nokte|lakiranje noktiju|nokti|svijetla boja kože|uljepšavanje
	💅🏼;lakiranje noktiju: umjereno svijetla boja kože;kozmetika|lak za nokte|lakiranje noktiju|nokti|uljepšavanje|umjereno svijetla boja kože
	💅🏽;lakiranje noktiju: umjerena boja kože;kozmetika|lak za nokte|lakiranje noktiju|nokti|uljepšavanje|umjerena boja kože
	💅🏾;lakiranje noktiju: umjereno tamna boja kože;kozmetika|lak za nokte|lakiranje noktiju|nokti|uljepšavanje|umjereno tamna boja kože
	💅🏿;lakiranje noktiju: tamna boja kože;kozmetika|lak za nokte|lakiranje noktiju|nokti|tamna boja kože|uljepšavanje
🤳;selfi;fotoaparat|selfi|slikanje|telefon
	🤳🏻;selfi: svijetla boja kože;fotoaparat|selfi|slikanje|svijetla boja kože|telefon
	🤳🏼;selfi: umjereno svijetla boja kože;fotoaparat|selfi|slikanje|telefon|umjereno svijetla boja kože
	🤳🏽;selfi: umjerena boja kože;fotoaparat|selfi|slikanje|telefon|umjerena boja kože
	🤳🏾;selfi: umjereno tamna boja kože;fotoaparat|selfi|slikanje|telefon|umjereno tamna boja kože
	🤳🏿;selfi: tamna boja kože;fotoaparat|selfi|slikanje|tamna boja kože|telefon
💪;pokazivanje bicepsa;bicepsi|mišići|pokazivanje bicepsa|stripovi
	💪🏻;pokazivanje bicepsa: svijetla boja kože;bicepsi|mišići|pokazivanje bicepsa|stripovi|svijetla boja kože
	💪🏼;pokazivanje bicepsa: umjereno svijetla boja kože;bicepsi|mišići|pokazivanje bicepsa|stripovi|umjereno svijetla boja kože
	💪🏽;pokazivanje bicepsa: umjerena boja kože;bicepsi|mišići|pokazivanje bicepsa|stripovi|umjerena boja kože
	💪🏾;pokazivanje bicepsa: umjereno tamna boja kože;bicepsi|mišići|pokazivanje bicepsa|stripovi|umjereno tamna boja kože
	💪🏿;pokazivanje bicepsa: tamna boja kože;bicepsi|mišići|pokazivanje bicepsa|stripovi|tamna boja kože
🦾;mehanička ruka;mehanička ruka|pomagalo|proteza|ruka
🦿;mehanička noga;mehanička noga|noga|pomagalo|proteza
🦵;noga;noga|šutirati|udarati nogom
	🦵🏻;noga: svijetla boja kože;noga|šutirati|svijetla boja kože|udarati nogom
	🦵🏼;noga: umjereno svijetla boja kože;noga|šutirati|udarati nogom|umjereno svijetla boja kože
	🦵🏽;noga: umjerena boja kože;noga|šutirati|udarati nogom|umjerena boja kože
	🦵🏾;noga: umjereno tamna boja kože;noga|šutirati|udarati nogom|umjereno tamna boja kože
	🦵🏿;noga: tamna boja kože;noga|šutirati|tamna boja kože|udarati nogom
🦶;stopalo;korak|stopalo|udarac
	🦶🏻;stopalo: svijetla boja kože;korak|stopalo|svijetla boja kože|udarac
	🦶🏼;stopalo: umjereno svijetla boja kože;korak|stopalo|udarac|umjereno svijetla boja kože
	🦶🏽;stopalo: umjerena boja kože;korak|stopalo|udarac|umjerena boja kože
	🦶🏾;stopalo: umjereno tamna boja kože;korak|stopalo|udarac|umjereno tamna boja kože
	🦶🏿;stopalo: tamna boja kože;korak|stopalo|tamna boja kože|udarac
👂;uho;dio tijela|uho
	👂🏻;uho: svijetla boja kože;dio tijela|svijetla boja kože|uho
	👂🏼;uho: umjereno svijetla boja kože;dio tijela|uho|umjereno svijetla boja kože
	👂🏽;uho: umjerena boja kože;dio tijela|uho|umjerena boja kože
	👂🏾;uho: umjereno tamna boja kože;dio tijela|uho|umjereno tamna boja kože
	👂🏿;uho: tamna boja kože;dio tijela|tamna boja kože|uho
🦻;uho sa slušnim aparatom;otežan sluh|pomagalo|uho sa slušnim aparatom
	🦻🏻;uho sa slušnim aparatom: svijetla boja kože;otežan sluh|pomagalo|svijetla boja kože|uho sa slušnim aparatom
	🦻🏼;uho sa slušnim aparatom: umjereno svijetla boja kože;otežan sluh|pomagalo|uho sa slušnim aparatom|umjereno svijetla boja kože
	🦻🏽;uho sa slušnim aparatom: umjerena boja kože;otežan sluh|pomagalo|uho sa slušnim aparatom|umjerena boja kože
	🦻🏾;uho sa slušnim aparatom: umjereno tamna boja kože;otežan sluh|pomagalo|uho sa slušnim aparatom|umjereno tamna boja kože
