# Auto-generated by emojicon.py using CLDR v48
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	🫷🏾;sola itələyən əl: orta-tünd dəri tonu;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|orta-tünd dəri tonu|sola|sola itələyən əl
	🫷🏿;sola itələyən əl: tünd dəri tonu;beş vurmaq|dayan|əl|gözləmək|imtina|itələmək|sola|sola itələyən əl|tünd dəri tonu
🫸;sağa basan əl;beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl
	🫸🏻;sağa basan əl: açıq dəri tonu;açıq dəri tonu|beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl
	🫸🏼;sağa basan əl: orta-açıq dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-açıq dəri tonu|sağa|sağa basan əl
	🫸🏽;sağa basan əl: orta dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta dəri tonu|sağa|sağa basan əl
	🫸🏾;sağa basan əl: orta-tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|orta-tünd dəri tonu|sağa|sağa basan əl
	🫸🏿;sağa basan əl: tünd dəri tonu;beş vurmaq|dayan|gözləmək|imtina|itələmək|sağa|sağa basan əl|tünd dəri tonu
👌;ok işarəsi;anladım|əl|ok|ok işarəsi|oldu|orqan
	👌🏻;ok işarəsi: açıq dəri tonu;açıq dəri tonu|anladım|əl|ok|ok işarəsi|oldu|orqan
	👌🏼;ok işarəsi: orta-açıq dəri tonu;anladım|əl|ok|ok işarəsi|oldu|orqan|orta-açıq dəri tonu
	👌🏽;ok işarəsi: orta dəri tonu;anladım|əl|ok|ok işarəsi|oldu|orqan|orta dəri tonu
	👌🏾;ok işarəsi: orta-tünd dəri tonu;anladım|əl|ok|ok işarəsi|oldu|orqan|orta-tünd dəri tonu
	👌🏿;ok işarəsi: tünd dəri tonu;anladım|əl|ok|ok işarəsi|oldu|orqan|tünd dəri tonu
🤌;çimdik;barmaqlar|çimdik|əl jesti|sarkastik|sorğu-sual
	🤌🏻;çimdik: açıq dəri tonu;açıq dəri tonu|barmaqlar|çimdik|əl jesti|sarkastik|sorğu-sual
	🤌🏼;çimdik: orta-açıq dəri tonu;barmaqlar|çimdik|əl jesti|orta-açıq dəri tonu|sarkastik|sorğu-sual
	🤌🏽;çimdik: orta dəri tonu;barmaqlar|çimdik|əl jesti|orta dəri tonu|sarkastik|sorğu-sual
	🤌🏾;çimdik: orta-tünd dəri tonu;barmaqlar|çimdik|əl jesti|orta-tünd dəri tonu|sarkastik|sorğu-sual
	🤌🏿;çimdik: tünd dəri tonu;barmaqlar|çimdik|əl jesti|sarkastik|sorğu-sual|tünd dəri tonu
🤏;sıxan əl;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|sıxan əl
	🤏🏻;sıxan əl: açıq dəri tonu;açıq dəri tonu|barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|sıxan əl
	🤏🏼;sıxan əl: orta-açıq dəri tonu;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|orta-açıq dəri tonu|sıxan əl
	🤏🏽;sıxan əl: orta dəri tonu;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|orta dəri tonu|sıxan əl
	🤏🏾;sıxan əl: orta-tünd dəri tonu;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|orta-tünd dəri tonu|sıxan əl
	🤏🏿;sıxan əl: tünd dəri tonu;barmaqlar|bir az|kiçik miqdar göstəricisi|kiçik say|sıxan əl|tünd dəri tonu
✌️;qələbə işarəsi;əl|orqan|qələbə|qələbə işarəsi|v
	✌🏻;qələbə işarəsi: açıq dəri tonu;açıq dəri tonu|əl|orqan|qələbə|qələbə işarəsi|v
	✌🏼;qələbə işarəsi: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|qələbə|qələbə işarəsi|v
	✌🏽;qələbə işarəsi: orta dəri tonu;əl|orqan|orta dəri tonu|qələbə|qələbə işarəsi|v
	✌🏾;qələbə işarəsi: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|qələbə|qələbə işarəsi|v
	✌🏿;qələbə işarəsi: tünd dəri tonu;əl|orqan|qələbə|qələbə işarəsi|tünd dəri tonu|v
🤞;ümid edirəm;əl|inam|işarə|uğur diləmək jesti|ümid|ümid edirəm
	🤞🏻;ümid edirəm: açıq dəri tonu;açıq dəri tonu|əl|inam|işarə|uğur diləmək jesti|ümid|ümid edirəm
	🤞🏼;ümid edirəm: orta-açıq dəri tonu;əl|inam|işarə|orta-açıq dəri tonu|uğur diləmək jesti|ümid|ümid edirəm
	🤞🏽;ümid edirəm: orta dəri tonu;əl|inam|işarə|orta dəri tonu|uğur diləmək jesti|ümid|ümid edirəm
	🤞🏾;ümid edirəm: orta-tünd dəri tonu;əl|inam|işarə|orta-tünd dəri tonu|uğur diləmək jesti|ümid|ümid edirəm
	🤞🏿;ümid edirəm: tünd dəri tonu;əl|inam|işarə|tünd dəri tonu|uğur diləmək jesti|ümid|ümid edirəm
🫰;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə;&lt;3|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|pul|sevgi|snap|ürək
	🫰🏻;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: açıq dəri tonu;&lt;3|açıq dəri tonu|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|pul|sevgi|snap|ürək
	🫰🏼;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-açıq dəri tonu;&lt;3|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|orta-açıq dəri tonu|pul|sevgi|snap|ürək
	🫰🏽;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta dəri tonu;&lt;3|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|orta dəri tonu|pul|sevgi|snap|ürək
	🫰🏾;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-tünd dəri tonu;&lt;3|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|orta-tünd dəri tonu|pul|sevgi|snap|ürək
	🫰🏿;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: tünd dəri tonu;&lt;3|bahalı|əl|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|pul|sevgi|snap|tünd dəri tonu|ürək
🤟;sevgi jesti;sevgi əli|sevgi jesti
	🤟🏻;sevgi jesti: açıq dəri tonu;açıq dəri tonu|sevgi əli|sevgi jesti
	🤟🏼;sevgi jesti: orta-açıq dəri tonu;orta-açıq dəri tonu|sevgi əli|sevgi jesti
	🤟🏽;sevgi jesti: orta dəri tonu;orta dəri tonu|sevgi əli|sevgi jesti
	🤟🏾;sevgi jesti: orta-tünd dəri tonu;orta-tünd dəri tonu|sevgi əli|sevgi jesti
	🤟🏿;sevgi jesti: tünd dəri tonu;sevgi əli|sevgi jesti|tünd dəri tonu
🤘;buynuz işarəsi;barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|rok|silkələmək
	🤘🏻;buynuz işarəsi: açıq dəri tonu;açıq dəri tonu|barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|rok|silkələmək
	🤘🏼;buynuz işarəsi: orta-açıq dəri tonu;barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|orta-açıq dəri tonu|rok|silkələmək
	🤘🏽;buynuz işarəsi: orta dəri tonu;barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|orta dəri tonu|rok|silkələmək
	🤘🏾;buynuz işarəsi: orta-tünd dəri tonu;barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|orta-tünd dəri tonu|rok|silkələmək
	🤘🏿;buynuz işarəsi: tünd dəri tonu;barmaq|buynuz işarəsi|buynuzlar|əl|əla|keçibuynuzu işarəsi|orqan|rok|silkələmək|tünd dəri tonu
🤙;mənə zəng et;&quot;mənə zəng et&quot; işarəsi|əlaqə|mənə zəng et|telefon|yığmaq|zəng
	🤙🏻;mənə zəng et: açıq dəri tonu;&quot;mənə zəng et&quot; işarəsi|açıq dəri tonu|əlaqə|mənə zəng et|telefon|yığmaq|zəng
	🤙🏼;mənə zəng et: orta-açıq dəri tonu;&quot;mənə zəng et&quot; işarəsi|əlaqə|mənə zəng et|orta-açıq dəri tonu|telefon|yığmaq|zəng
	🤙🏽;mənə zəng et: orta dəri tonu;&quot;mənə zəng et&quot; işarəsi|əlaqə|mənə zəng et|orta dəri tonu|telefon|yığmaq|zəng
	🤙🏾;mənə zəng et: orta-tünd dəri tonu;&quot;mənə zəng et&quot; işarəsi|əlaqə|mənə zəng et|orta-tünd dəri tonu|telefon|yığmaq|zəng
	🤙🏿;mənə zəng et: tünd dəri tonu;&quot;mənə zəng et&quot; işarəsi|əlaqə|mənə zəng et|telefon|tünd dəri tonu|yığmaq|zəng
👈;solu göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı
	👈🏻;solu göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|işarə barmağı|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı
	👈🏼;solu göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-açıq dəri tonu|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı
	👈🏽;solu göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta dəri tonu|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı
	👈🏾;solu göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-tünd dəri tonu|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı
	👈🏿;solu göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|sol əl|sol tərəfi işarə edən barmaq|solu göstərən sol əlin işarə barmağı|tünd dəri tonu
👉;sağı göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏻;sağı göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|işarə barmağı|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏼;sağı göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-açıq dəri tonu|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏽;sağı göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta dəri tonu|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏾;sağı göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-tünd dəri tonu|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏿;sağı göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|sağı göstərən işarə|sağı göstərən sol əlin işarə barmağı|sol əl|tünd dəri tonu
👆;yuxarını göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|sol əl|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
	👆🏻;yuxarını göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|sol əl|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
	👆🏼;yuxarını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sol əl|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
	👆🏽;yuxarını göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|orta dəri tonu|sol əl|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
	👆🏾;yuxarını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sol əl|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
	👆🏿;yuxarını göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|sol əl|tünd dəri tonu|yuxarı|yuxarını göstərən işarə barmağı|yuxarını göstərən sol əlin işarə barmağı
🖕;orta barmaq;barmaq|əl|orta barmaq
	🖕🏻;orta barmaq: açıq dəri tonu;açıq dəri tonu|barmaq|əl|orta barmaq
	🖕🏼;orta barmaq: orta-açıq dəri tonu;barmaq|əl|orta barmaq|orta-açıq dəri tonu
	🖕🏽;orta barmaq: orta dəri tonu;barmaq|əl|orta barmaq|orta dəri tonu
	🖕🏾;orta barmaq: orta-tünd dəri tonu;barmaq|əl|orta barmaq|orta-tünd dəri tonu
	🖕🏿;orta barmaq: tünd dəri tonu;barmaq|əl|orta barmaq|tünd dəri tonu
👇;aşağını göstərən sol əlin işarə barmağı;aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|sol əl
	👇🏻;aşağını göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|sol əl
	👇🏼;aşağını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sol əl
	👇🏽;aşağını göstərən sol əlin işarə barmağı: orta dəri tonu;aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|orta dəri tonu|sol əl
	👇🏾;aşağını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sol əl
	👇🏿;aşağını göstərən sol əlin işarə barmağı: tünd dəri tonu;aşağı|aşağını göstərən işarə barmağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|sol əl|tünd dəri tonu
☝️;işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|yuxarı
	☝🏻;işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|işarə barmağı|yuxarı
	☝🏼;işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-açıq dəri tonu|yuxarı
	☝🏽;işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta dəri tonu|yuxarı
	☝🏾;işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|orta-tünd dəri tonu|yuxarı
	☝🏿;işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|tünd dəri tonu|yuxarı
🫵;tamaşaçıya işarə edən barmaq;barmaq|əl|işarə|işarə etmək|sən|tamaşaçıya işarə edən barmaq
	🫵🏻;tamaşaçıya işarə edən barmaq: açıq dəri tonu;açıq dəri tonu|barmaq|əl|işarə|işarə etmək|sən|tamaşaçıya işarə edən barmaq
	🫵🏼;tamaşaçıya işarə edən barmaq: orta-açıq dəri tonu;barmaq|əl|işarə|işarə etmək|orta-açıq dəri tonu|sən|tamaşaçıya işarə edən barmaq
	🫵🏽;tamaşaçıya işarə edən barmaq: orta dəri tonu;barmaq|əl|işarə|işarə etmək|orta dəri tonu|sən|tamaşaçıya işarə edən barmaq
	🫵🏾;tamaşaçıya işarə edən barmaq: orta-tünd dəri tonu;barmaq|əl|işarə|işarə etmək|orta-tünd dəri tonu|sən|tamaşaçıya işarə edən barmaq
	🫵🏿;tamaşaçıya işarə edən barmaq: tünd dəri tonu;barmaq|əl|işarə|işarə etmək|sən|tamaşaçıya işarə edən barmaq|tünd dəri tonu
👍;baş barmaq yuxarı;afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|yaxşı işarəsi|yuxarı
	👍🏻;baş barmaq yuxarı: açıq dəri tonu;açıq dəri tonu|afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|yaxşı işarəsi|yuxarı
	👍🏼;baş barmaq yuxarı: orta-açıq dəri tonu;afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|orta-açıq dəri tonu|yaxşı işarəsi|yuxarı
	👍🏽;baş barmaq yuxarı: orta dəri tonu;afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|orta dəri tonu|yaxşı işarəsi|yuxarı
	👍🏾;baş barmaq yuxarı: orta-tünd dəri tonu;afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|orta-tünd dəri tonu|yaxşı işarəsi|yuxarı
	👍🏿;baş barmaq yuxarı: tünd dəri tonu;afərin işarəsi|baş barmaq|baş barmaq yuxarı|bəyəndim işarəsi|əl|əla işarəsi|orqan|tünd dəri tonu|yaxşı işarəsi|yuxarı
👎;baş barmaq aşağı;-1|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|pisləmək jesti|yaxşı deyil
	👎🏻;baş barmaq aşağı: açıq dəri tonu;-1|açıq dəri tonu|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|pisləmək jesti|yaxşı deyil
	👎🏼;baş barmaq aşağı: orta-açıq dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|orta-açıq dəri tonu|pisləmək jesti|yaxşı deyil
	👎🏽;baş barmaq aşağı: orta dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|orta dəri tonu|pisləmək jesti|yaxşı deyil
	👎🏾;baş barmaq aşağı: orta-tünd dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|orta-tünd dəri tonu|pisləmək jesti|yaxşı deyil
	👎🏿;baş barmaq aşağı: tünd dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|bəyənmədim işarəsi|əl|orqan|pisləmək jesti|tünd dəri tonu|yaxşı deyil
✊;qaldırılmış yumruq;əl|həmrəylik|orqan|qaldırılmış yumruq|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
	✊🏻;qaldırılmış yumruq: açıq dəri tonu;açıq dəri tonu|əl|həmrəylik|orqan|qaldırılmış yumruq|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
	✊🏼;qaldırılmış yumruq: orta-açıq dəri tonu;əl|həmrəylik|orqan|orta-açıq dəri tonu|qaldırılmış yumruq|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
	✊🏽;qaldırılmış yumruq: orta dəri tonu;əl|həmrəylik|orqan|orta dəri tonu|qaldırılmış yumruq|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
	✊🏾;qaldırılmış yumruq: orta-tünd dəri tonu;əl|həmrəylik|orqan|orta-tünd dəri tonu|qaldırılmış yumruq|sıxılmış|yumruğunu sıxmaq|yumruq|yumruqlamaq
	✊🏿;qaldırılmış yumruq: tünd dəri tonu;əl|həmrəylik|orqan|qaldırılmış yumruq|sıxılmış|tünd dəri tonu|yumruğunu sıxmaq|yumruq|yumruqlamaq
👊;yaxınlaşan yumruq;əl|orqan|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
	👊🏻;yaxınlaşan yumruq: açıq dəri tonu;açıq dəri tonu|əl|orqan|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
	👊🏼;yaxınlaşan yumruq: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
	👊🏽;yaxınlaşan yumruq: orta dəri tonu;əl|orqan|orta dəri tonu|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
	👊🏾;yaxınlaşan yumruq: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
	👊🏿;yaxınlaşan yumruq: tünd dəri tonu;əl|orqan|sıxılmış|tünd dəri tonu|yaxınlaşan yumruq|yumruq|yumruqla vurmaq|yumruqlamaq
🤛;sola yönələn yumruq;sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏻;sola yönələn yumruq: açıq dəri tonu;açıq dəri tonu|sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏼;sola yönələn yumruq: orta-açıq dəri tonu;orta-açıq dəri tonu|sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏽;sola yönələn yumruq: orta dəri tonu;orta dəri tonu|sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏾;sola yönələn yumruq: orta-tünd dəri tonu;orta-tünd dəri tonu|sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏿;sola yönələn yumruq: tünd dəri tonu;sol|sola yönələn yumruq|tünd dəri tonu|yumruq|zərbə
🤜;sağa yönələn yumruq;sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏻;sağa yönələn yumruq: açıq dəri tonu;açıq dəri tonu|sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏼;sağa yönələn yumruq: orta-açıq dəri tonu;orta-açıq dəri tonu|sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏽;sağa yönələn yumruq: orta dəri tonu;orta dəri tonu|sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏾;sağa yönələn yumruq: orta-tünd dəri tonu;orta-tünd dəri tonu|sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏿;sağa yönələn yumruq: tünd dəri tonu;sağ|sağa yönələn yumruq|tünd dəri tonu|yumruq|zərbə
👏;əl çalan əllər;əl|əl çalan əllər|əl çalmaq|əla işarəsi|orqan|təbrik etmək işarəsi|tərifləmək
	👏🏻;əl çalan əllər: açıq dəri tonu;açıq dəri tonu|əl|əl çalan əllər|əl çalmaq|əla işarəsi|orqan|təbrik etmək işarəsi|tərifləmək
	👏🏼;əl çalan əllər: orta-açıq dəri tonu;əl|əl çalan əllər|əl çalmaq|əla işarəsi|orqan|orta-açıq dəri tonu|təbrik etmək işarəsi|tərifləmək
