# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;にっこり笑う;スマイル|にっこり|にっこり笑う|笑う|笑顔|顔
	👇🏼;下指差し: やや薄い肌色;やや薄い肌色|下|下指差し|下指差し: やや薄い肌色|手|指差し
	👇🏽;下指差し: 中間の肌色;下|下指差し|下指差し: 中間の肌色|中間の肌色|手|指差し
	👇🏾;下指差し: やや濃い肌色;やや濃い肌色|下|下指差し|下指差し: やや濃い肌色|手|指差し
	👇🏿;下指差し: 濃い肌色;下|下指差し|下指差し: 濃い肌色|手|指差し|濃い肌色
☝️;上指差し;上|上指差し|手|指差し
	☝🏻;上指差し: 薄い肌色;上|上指差し|上指差し: 薄い肌色|手|指差し|薄い肌色
	☝🏼;上指差し: やや薄い肌色;やや薄い肌色|上|上指差し|上指差し: やや薄い肌色|手|指差し
	☝🏽;上指差し: 中間の肌色;上|上指差し|上指差し: 中間の肌色|中間の肌色|手|指差し
	☝🏾;上指差し: やや濃い肌色;やや濃い肌色|上|上指差し|上指差し: やや濃い肌色|手|指差し
	☝🏿;上指差し: 濃い肌色;上|上指差し|上指差し: 濃い肌色|手|指差し|濃い肌色
🫵;人を指差している手;おまえだ|人を指差している手|手|指差し
	🫵🏻;人を指差している手: 薄い肌色;おまえだ|人を指差している手|人を指差している手: 薄い肌色|手|指差し|薄い肌色
	🫵🏼;人を指差している手: やや薄い肌色;おまえだ|やや薄い肌色|人を指差している手|人を指差している手: やや薄い肌色|手|指差し
	🫵🏽;人を指差している手: 中間の肌色;おまえだ|中間の肌色|人を指差している手|人を指差している手: 中間の肌色|手|指差し
	🫵🏾;人を指差している手: やや濃い肌色;おまえだ|やや濃い肌色|人を指差している手|人を指差している手: やや濃い肌色|手|指差し
	🫵🏿;人を指差している手: 濃い肌色;おまえだ|人を指差している手|人を指差している手: 濃い肌色|手|指差し|濃い肌色
👍;サムズアップ;OK|オーケー|オッケー|グッド|サムズアップ|上|手|親指
	👍🏻;サムズアップ: 薄い肌色;OK|オーケー|オッケー|グッド|サムズアップ|サムズアップ: 薄い肌色|上|手|薄い肌色|親指
	👍🏼;サムズアップ: やや薄い肌色;OK|オーケー|オッケー|グッド|サムズアップ|サムズアップ: やや薄い肌色|やや薄い肌色|上|手|親指
	👍🏽;サムズアップ: 中間の肌色;OK|オーケー|オッケー|グッド|サムズアップ|サムズアップ: 中間の肌色|上|中間の肌色|手|親指
	👍🏾;サムズアップ: やや濃い肌色;OK|オーケー|オッケー|グッド|サムズアップ|サムズアップ: やや濃い肌色|やや濃い肌色|上|手|親指
	👍🏿;サムズアップ: 濃い肌色;OK|オーケー|オッケー|グッド|サムズアップ|サムズアップ: 濃い肌色|上|手|濃い肌色|親指
👎;サムズダウン;NG|サムズダウン|だめ|ブーイング|ボツ|下|手
	👎🏻;サムズダウン: 薄い肌色;NG|サムズダウン|サムズダウン: 薄い肌色|だめ|ブーイング|ボツ|下|手|薄い肌色
	👎🏼;サムズダウン: やや薄い肌色;NG|サムズダウン|サムズダウン: やや薄い肌色|だめ|ブーイング|ボツ|やや薄い肌色|下|手
	👎🏽;サムズダウン: 中間の肌色;NG|サムズダウン|サムズダウン: 中間の肌色|だめ|ブーイング|ボツ|下|中間の肌色|手
	👎🏾;サムズダウン: やや濃い肌色;NG|サムズダウン|サムズダウン: やや濃い肌色|だめ|ブーイング|ボツ|やや濃い肌色|下|手
	👎🏿;サムズダウン: 濃い肌色;NG|サムズダウン|サムズダウン: 濃い肌色|だめ|ブーイング|ボツ|下|手|濃い肌色
✊;げんこつ;グー|げんこつ|手
	✊🏻;げんこつ: 薄い肌色;グー|げんこつ|げんこつ: 薄い肌色|手|薄い肌色
	✊🏼;げんこつ: やや薄い肌色;グー|げんこつ|げんこつ: やや薄い肌色|やや薄い肌色|手
	✊🏽;げんこつ: 中間の肌色;グー|げんこつ|げんこつ: 中間の肌色|中間の肌色|手
	✊🏾;げんこつ: やや濃い肌色;グー|げんこつ|げんこつ: やや濃い肌色|やや濃い肌色|手
	✊🏿;げんこつ: 濃い肌色;グー|げんこつ|げんこつ: 濃い肌色|手|濃い肌色
👊;グー;グー|げんこつ|パンチ|手
	👊🏻;グー: 薄い肌色;グー|グー: 薄い肌色|げんこつ|パンチ|手|薄い肌色
	👊🏼;グー: やや薄い肌色;グー|グー: やや薄い肌色|げんこつ|パンチ|やや薄い肌色|手
	👊🏽;グー: 中間の肌色;グー|グー: 中間の肌色|げんこつ|パンチ|中間の肌色|手
	👊🏾;グー: やや濃い肌色;グー|グー: やや濃い肌色|げんこつ|パンチ|やや濃い肌色|手
	👊🏿;グー: 濃い肌色;グー|グー: 濃い肌色|げんこつ|パンチ|手|濃い肌色
🤛;左向きのこぶし;こぶし|パンチ|左|左向きのこぶし|手
	🤛🏻;左向きのこぶし: 薄い肌色;こぶし|パンチ|左|左向きのこぶし|左向きのこぶし: 薄い肌色|手|薄い肌色
	🤛🏼;左向きのこぶし: やや薄い肌色;こぶし|パンチ|やや薄い肌色|左|左向きのこぶし|左向きのこぶし: やや薄い肌色|手
	🤛🏽;左向きのこぶし: 中間の肌色;こぶし|パンチ|中間の肌色|左|左向きのこぶし|左向きのこぶし: 中間の肌色|手
	🤛🏾;左向きのこぶし: やや濃い肌色;こぶし|パンチ|やや濃い肌色|左|左向きのこぶし|左向きのこぶし: やや濃い肌色|手
	🤛🏿;左向きのこぶし: 濃い肌色;こぶし|パンチ|左|左向きのこぶし|左向きのこぶし: 濃い肌色|手|濃い肌色
🤜;右向きのこぶし;こぶし|パンチ|右|右向きのこぶし|手
	🤜🏻;右向きのこぶし: 薄い肌色;こぶし|パンチ|右|右向きのこぶし|右向きのこぶし: 薄い肌色|手|薄い肌色
	🤜🏼;右向きのこぶし: やや薄い肌色;こぶし|パンチ|やや薄い肌色|右|右向きのこぶし|右向きのこぶし: やや薄い肌色|手
	🤜🏽;右向きのこぶし: 中間の肌色;こぶし|パンチ|中間の肌色|右|右向きのこぶし|右向きのこぶし: 中間の肌色|手
	🤜🏾;右向きのこぶし: やや濃い肌色;こぶし|パンチ|やや濃い肌色|右|右向きのこぶし|右向きのこぶし: やや濃い肌色|手
	🤜🏿;右向きのこぶし: 濃い肌色;こぶし|パンチ|右|右向きのこぶし|右向きのこぶし: 濃い肌色|手|濃い肌色
👏;拍手;パチパチ|手|拍手
	👏🏻;拍手: 薄い肌色;パチパチ|手|拍手|拍手: 薄い肌色|薄い肌色
	👏🏼;拍手: やや薄い肌色;パチパチ|やや薄い肌色|手|拍手|拍手: やや薄い肌色
	👏🏽;拍手: 中間の肌色;パチパチ|中間の肌色|手|拍手|拍手: 中間の肌色
	👏🏾;拍手: やや濃い肌色;パチパチ|やや濃い肌色|手|拍手|拍手: やや濃い肌色
	👏🏿;拍手: 濃い肌色;パチパチ|手|拍手|拍手: 濃い肌色|濃い肌色
🙌;バンザイ;バンザイ|両手|手|手を上げる
	🙌🏻;バンザイ: 薄い肌色;バンザイ|バンザイ: 薄い肌色|両手|手|手を上げる|薄い肌色
	🙌🏼;バンザイ: やや薄い肌色;バンザイ|バンザイ: やや薄い肌色|やや薄い肌色|両手|手|手を上げる
	🙌🏽;バンザイ: 中間の肌色;バンザイ|バンザイ: 中間の肌色|両手|中間の肌色|手|手を上げる
	🙌🏾;バンザイ: やや濃い肌色;バンザイ|バンザイ: やや濃い肌色|やや濃い肌色|両手|手|手を上げる
	🙌🏿;バンザイ: 濃い肌色;バンザイ|バンザイ: 濃い肌色|両手|手|手を上げる|濃い肌色
🫶;ハート形の手;ハートポーズ|ハート形の手|ラブ|愛|手
	🫶🏻;ハート形の手: 薄い肌色;ハートポーズ|ハート形の手|ハート形の手: 薄い肌色|ラブ|愛|手|薄い肌色
	🫶🏼;ハート形の手: やや薄い肌色;ハートポーズ|ハート形の手|ハート形の手: やや薄い肌色|やや薄い肌色|ラブ|愛|手
	🫶🏽;ハート形の手: 中間の肌色;ハートポーズ|ハート形の手|ハート形の手: 中間の肌色|ラブ|中間の肌色|愛|手
	🫶🏾;ハート形の手: やや濃い肌色;ハートポーズ|ハート形の手|ハート形の手: やや濃い肌色|やや濃い肌色|ラブ|愛|手
	🫶🏿;ハート形の手: 濃い肌色;ハートポーズ|ハート形の手|ハート形の手: 濃い肌色|ラブ|愛|手|濃い肌色
👐;両手のひら;おっはー|両手のひら|手|手のひら
	👐🏻;両手のひら: 薄い肌色;おっはー|両手のひら|両手のひら: 薄い肌色|手|手のひら|薄い肌色
	👐🏼;両手のひら: やや薄い肌色;おっはー|やや薄い肌色|両手のひら|両手のひら: やや薄い肌色|手|手のひら
	👐🏽;両手のひら: 中間の肌色;おっはー|両手のひら|両手のひら: 中間の肌色|中間の肌色|手|手のひら
	👐🏾;両手のひら: やや濃い肌色;おっはー|やや濃い肌色|両手のひら|両手のひら: やや濃い肌色|手|手のひら
	👐🏿;両手のひら: 濃い肌色;おっはー|両手のひら|両手のひら: 濃い肌色|手|手のひら|濃い肌色
🤲;手のひらを揃えた両手;両手|手|手のひらを揃えた両手|祈り
	🤲🏻;手のひらを揃えた両手: 薄い肌色;両手|手|手のひらを揃えた両手|手のひらを揃えた両手: 薄い肌色|祈り|薄い肌色
	🤲🏼;手のひらを揃えた両手: やや薄い肌色;やや薄い肌色|両手|手|手のひらを揃えた両手|手のひらを揃えた両手: やや薄い肌色|祈り
	🤲🏽;手のひらを揃えた両手: 中間の肌色;両手|中間の肌色|手|手のひらを揃えた両手|手のひらを揃えた両手: 中間の肌色|祈り
	🤲🏾;手のひらを揃えた両手: やや濃い肌色;やや濃い肌色|両手|手|手のひらを揃えた両手|手のひらを揃えた両手: やや濃い肌色|祈り
	🤲🏿;手のひらを揃えた両手: 濃い肌色;両手|手|手のひらを揃えた両手|手のひらを揃えた両手: 濃い肌色|濃い肌色|祈り
🤝;握手;よろしく|合意|手|握手
	🤝🏻;握手: 薄い肌色;よろしく|合意|手|握手|握手: 薄い肌色|薄い肌色
	🤝🏼;握手: やや薄い肌色;やや薄い肌色|よろしく|合意|手|握手|握手: やや薄い肌色
	🤝🏽;握手: 中間の肌色;よろしく|中間の肌色|合意|手|握手|握手: 中間の肌色
	🤝🏾;握手: やや濃い肌色;やや濃い肌色|よろしく|合意|手|握手|握手: やや濃い肌色
	🤝🏿;握手: 濃い肌色;よろしく|合意|手|握手|握手: 濃い肌色|濃い肌色
	🫱🏻‍🫲🏼;握手: 薄い肌色 やや薄い肌色;やや薄い肌色|よろしく|合意|手|握手|握手: 薄い肌色 やや薄い肌色|薄い肌色
	🫱🏻‍🫲🏽;握手: 薄い肌色 中間の肌色;よろしく|中間の肌色|合意|手|握手|握手: 薄い肌色 中間の肌色|薄い肌色
	🫱🏻‍🫲🏾;握手: 薄い肌色 やや濃い肌色;やや濃い肌色|よろしく|合意|手|握手|握手: 薄い肌色 やや濃い肌色|薄い肌色
	🫱🏻‍🫲🏿;握手: 薄い肌色 濃い肌色;よろしく|合意|手|握手|握手: 薄い肌色 濃い肌色|濃い肌色|薄い肌色
	🫱🏼‍🫲🏻;握手: やや薄い肌色 薄い肌色;やや薄い肌色|よろしく|合意|手|握手|握手: やや薄い肌色 薄い肌色|薄い肌色
	🫱🏼‍🫲🏽;握手: やや薄い肌色 中間の肌色;やや薄い肌色|よろしく|中間の肌色|合意|手|握手|握手: やや薄い肌色 中間の肌色
	🫱🏼‍🫲🏾;握手: やや薄い肌色 やや濃い肌色;やや濃い肌色|やや薄い肌色|よろしく|合意|手|握手|握手: やや薄い肌色 やや濃い肌色
	🫱🏼‍🫲🏿;握手: やや薄い肌色 濃い肌色;やや薄い肌色|よろしく|合意|手|握手|握手: やや薄い肌色 濃い肌色|濃い肌色
	🫱🏽‍🫲🏻;握手: 中間の肌色 薄い肌色;よろしく|中間の肌色|合意|手|握手|握手: 中間の肌色 薄い肌色|薄い肌色
	🫱🏽‍🫲🏼;握手: 中間の肌色 やや薄い肌色;やや薄い肌色|よろしく|中間の肌色|合意|手|握手|握手: 中間の肌色 やや薄い肌色
	🫱🏽‍🫲🏾;握手: 中間の肌色 やや濃い肌色;やや濃い肌色|よろしく|中間の肌色|合意|手|握手|握手: 中間の肌色 やや濃い肌色
	🫱🏽‍🫲🏿;握手: 中間の肌色 濃い肌色;よろしく|中間の肌色|合意|手|握手|握手: 中間の肌色 濃い肌色|濃い肌色
	🫱🏾‍🫲🏻;握手: やや濃い肌色 薄い肌色;やや濃い肌色|よろしく|合意|手|握手|握手: やや濃い肌色 薄い肌色|薄い肌色
	🫱🏾‍🫲🏼;握手: やや濃い肌色 やや薄い肌色;やや濃い肌色|やや薄い肌色|よろしく|合意|手|握手|握手: やや濃い肌色 やや薄い肌色
	🫱🏾‍🫲🏽;握手: やや濃い肌色 中間の肌色;やや濃い肌色|よろしく|中間の肌色|合意|手|握手|握手: やや濃い肌色 中間の肌色
	🫱🏾‍🫲🏿;握手: やや濃い肌色 濃い肌色;やや濃い肌色|よろしく|合意|手|握手|握手: やや濃い肌色 濃い肌色|濃い肌色
	🫱🏿‍🫲🏻;握手: 濃い肌色 薄い肌色;よろしく|合意|手|握手|握手: 濃い肌色 薄い肌色|濃い肌色|薄い肌色
	🫱🏿‍🫲🏼;握手: 濃い肌色 やや薄い肌色;やや薄い肌色|よろしく|合意|手|握手|握手: 濃い肌色 やや薄い肌色|濃い肌色
	🫱🏿‍🫲🏽;握手: 濃い肌色 中間の肌色;よろしく|中間の肌色|合意|手|握手|握手: 濃い肌色 中間の肌色|濃い肌色
	🫱🏿‍🫲🏾;握手: 濃い肌色 やや濃い肌色;やや濃い肌色|よろしく|合意|手|握手|握手: 濃い肌色 やや濃い肌色|濃い肌色
🙏;祈り;お願い|ごめんなさい|合掌|祈り
	🙏🏻;祈り: 薄い肌色;お願い|ごめんなさい|合掌|祈り|祈り: 薄い肌色|薄い肌色
	🙏🏼;祈り: やや薄い肌色;お願い|ごめんなさい|やや薄い肌色|合掌|祈り|祈り: やや薄い肌色
	🙏🏽;祈り: 中間の肌色;お願い|ごめんなさい|中間の肌色|合掌|祈り|祈り: 中間の肌色
	🙏🏾;祈り: やや濃い肌色;お願い|ごめんなさい|やや濃い肌色|合掌|祈り|祈り: やや濃い肌色
	🙏🏿;祈り: 濃い肌色;お願い|ごめんなさい|合掌|濃い肌色|祈り|祈り: 濃い肌色
✍️;書いている手;手|手で書く|手書き|書いている手
	✍🏻;書いている手: 薄い肌色;手|手で書く|手書き|書いている手|書いている手: 薄い肌色|薄い肌色
	✍🏼;書いている手: やや薄い肌色;やや薄い肌色|手|手で書く|手書き|書いている手|書いている手: やや薄い肌色
