[smileys_emotion]
😀;gülən üz;gülən üz|gülmək|üz
	🤞🏾;ümid edirəm: orta-tünd dəri tonu;inam|orta-tünd dəri tonu|ümid|ümid edirəm|ümid edirəm: orta-tünd dəri tonu
	🤞🏿;ümid edirəm: tünd dəri tonu;inam|tünd dəri tonu|ümid|ümid edirəm|ümid edirəm: tünd dəri tonu
🫰;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə;bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|pul|sevgi|snap|ürək
	🫰🏻;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: açıq dəri tonu;açıq dəri tonu|bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: açıq dəri tonu|pul|sevgi|snap|ürək
	🫰🏼;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-açıq dəri tonu;bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-açıq dəri tonu|orta-açıq dəri tonu|pul|sevgi|snap|ürək
	🫰🏽;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta dəri tonu;bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta dəri tonu|orta dəri tonu|pul|sevgi|snap|ürək
	🫰🏾;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-tünd dəri tonu;bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: orta-tünd dəri tonu|orta-tünd dəri tonu|pul|sevgi|snap|ürək
	🫰🏿;əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: tünd dəri tonu;bahalı|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə|əl barmağı və baş barmağı çarpazlanmış vəziyyətdə: tünd dəri tonu|pul|sevgi|snap|tünd dəri tonu|ürək
🤟;sevgi jesti;sevgi əli|sevgi jesti
	🤟🏻;sevgi jesti: açıq dəri tonu;açıq dəri tonu|sevgi əli|sevgi jesti|sevgi jesti: açıq dəri tonu
	🤟🏼;sevgi jesti: orta-açıq dəri tonu;orta-açıq dəri tonu|sevgi əli|sevgi jesti|sevgi jesti: orta-açıq dəri tonu
	🤟🏽;sevgi jesti: orta dəri tonu;orta dəri tonu|sevgi əli|sevgi jesti|sevgi jesti: orta dəri tonu
	🤟🏾;sevgi jesti: orta-tünd dəri tonu;orta-tünd dəri tonu|sevgi əli|sevgi jesti|sevgi jesti: orta-tünd dəri tonu
	🤟🏿;sevgi jesti: tünd dəri tonu;sevgi əli|sevgi jesti|sevgi jesti: tünd dəri tonu|tünd dəri tonu
🤘;buynuz işarəsi;barmaq|buynuz işarəsi|buynuzlar|əl|əla|orqan
	🤘🏻;buynuz işarəsi: açıq dəri tonu;açıq dəri tonu|barmaq|buynuz işarəsi|buynuz işarəsi: açıq dəri tonu|buynuzlar|əl|əla|orqan
	🤘🏼;buynuz işarəsi: orta-açıq dəri tonu;barmaq|buynuz işarəsi|buynuz işarəsi: orta-açıq dəri tonu|buynuzlar|əl|əla|orqan|orta-açıq dəri tonu
	🤘🏽;buynuz işarəsi: orta dəri tonu;barmaq|buynuz işarəsi|buynuz işarəsi: orta dəri tonu|buynuzlar|əl|əla|orqan|orta dəri tonu
	🤘🏾;buynuz işarəsi: orta-tünd dəri tonu;barmaq|buynuz işarəsi|buynuz işarəsi: orta-tünd dəri tonu|buynuzlar|əl|əla|orqan|orta-tünd dəri tonu
	🤘🏿;buynuz işarəsi: tünd dəri tonu;barmaq|buynuz işarəsi|buynuz işarəsi: tünd dəri tonu|buynuzlar|əl|əla|orqan|tünd dəri tonu
🤙;mənə zəng et;əlaqə|mənə zəng et|telefon|yığmaq|zəng
	🤙🏻;mənə zəng et: açıq dəri tonu;açıq dəri tonu|əlaqə|mənə zəng et|mənə zəng et: açıq dəri tonu|telefon|yığmaq|zəng
	🤙🏼;mənə zəng et: orta-açıq dəri tonu;əlaqə|mənə zəng et|mənə zəng et: orta-açıq dəri tonu|orta-açıq dəri tonu|telefon|yığmaq|zəng
	🤙🏽;mənə zəng et: orta dəri tonu;əlaqə|mənə zəng et|mənə zəng et: orta dəri tonu|orta dəri tonu|telefon|yığmaq|zəng
	🤙🏾;mənə zəng et: orta-tünd dəri tonu;əlaqə|mənə zəng et|mənə zəng et: orta-tünd dəri tonu|orta-tünd dəri tonu|telefon|yığmaq|zəng
	🤙🏿;mənə zəng et: tünd dəri tonu;əlaqə|mənə zəng et|mənə zəng et: tünd dəri tonu|telefon|tünd dəri tonu|yığmaq|zəng
👈;solu göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|sol əl|solu göstərən sol əlin işarə barmağı
	👈🏻;solu göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|sol əl|solu göstərən sol əlin işarə barmağı|solu göstərən sol əlin işarə barmağı: açıq dəri tonu
	👈🏼;solu göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sol əl|solu göstərən sol əlin işarə barmağı|solu göstərən sol əlin işarə barmağı: orta-açıq dəri tonu
	👈🏽;solu göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|orta dəri tonu|sol əl|solu göstərən sol əlin işarə barmağı|solu göstərən sol əlin işarə barmağı: orta dəri tonu
	👈🏾;solu göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sol əl|solu göstərən sol əlin işarə barmağı|solu göstərən sol əlin işarə barmağı: orta-tünd dəri tonu
	👈🏿;solu göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|sol əl|solu göstərən sol əlin işarə barmağı|solu göstərən sol əlin işarə barmağı: tünd dəri tonu|tünd dəri tonu
👉;sağı göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|sağı göstərən sol əlin işarə barmağı|sol əl
	👉🏻;sağı göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|sağı göstərən sol əlin işarə barmağı|sağı göstərən sol əlin işarə barmağı: açıq dəri tonu|sol əl
	👉🏼;sağı göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sağı göstərən sol əlin işarə barmağı|sağı göstərən sol əlin işarə barmağı: orta-açıq dəri tonu|sol əl
	👉🏽;sağı göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|orta dəri tonu|sağı göstərən sol əlin işarə barmağı|sağı göstərən sol əlin işarə barmağı: orta dəri tonu|sol əl
	👉🏾;sağı göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sağı göstərən sol əlin işarə barmağı|sağı göstərən sol əlin işarə barmağı: orta-tünd dəri tonu|sol əl
	👉🏿;sağı göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|sağı göstərən sol əlin işarə barmağı|sağı göstərən sol əlin işarə barmağı: tünd dəri tonu|sol əl|tünd dəri tonu
👆;yuxarını göstərən sol əlin işarə barmağı;barmaq|əl|göstərmək|işarə|sol əl|yuxarı|yuxarını göstərən sol əlin işarə barmağı
	👆🏻;yuxarını göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|sol əl|yuxarı|yuxarını göstərən sol əlin işarə barmağı|yuxarını göstərən sol əlin işarə barmağı: açıq dəri tonu
	👆🏼;yuxarını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sol əl|yuxarı|yuxarını göstərən sol əlin işarə barmağı|yuxarını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu
	👆🏽;yuxarını göstərən sol əlin işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|orta dəri tonu|sol əl|yuxarı|yuxarını göstərən sol əlin işarə barmağı|yuxarını göstərən sol əlin işarə barmağı: orta dəri tonu
	👆🏾;yuxarını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sol əl|yuxarı|yuxarını göstərən sol əlin işarə barmağı|yuxarını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu
	👆🏿;yuxarını göstərən sol əlin işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|sol əl|tünd dəri tonu|yuxarı|yuxarını göstərən sol əlin işarə barmağı|yuxarını göstərən sol əlin işarə barmağı: tünd dəri tonu
🖕;orta barmaq;barmaq|əl|orta barmaq
	🖕🏻;orta barmaq: açıq dəri tonu;açıq dəri tonu|barmaq|əl|orta barmaq|orta barmaq: açıq dəri tonu
	🖕🏼;orta barmaq: orta-açıq dəri tonu;barmaq|əl|orta barmaq|orta barmaq: orta-açıq dəri tonu|orta-açıq dəri tonu
	🖕🏽;orta barmaq: orta dəri tonu;barmaq|əl|orta barmaq|orta barmaq: orta dəri tonu|orta dəri tonu
	🖕🏾;orta barmaq: orta-tünd dəri tonu;barmaq|əl|orta barmaq|orta barmaq: orta-tünd dəri tonu|orta-tünd dəri tonu
	🖕🏿;orta barmaq: tünd dəri tonu;barmaq|əl|orta barmaq|orta barmaq: tünd dəri tonu|tünd dəri tonu
👇;aşağını göstərən sol əlin işarə barmağı;aşağı|aşağını göstərən sol əlin işarə barmağı|barmaq|əl|göstərmək|işarə|sol əl
	👇🏻;aşağını göstərən sol əlin işarə barmağı: açıq dəri tonu;açıq dəri tonu|aşağı|aşağını göstərən sol əlin işarə barmağı|aşağını göstərən sol əlin işarə barmağı: açıq dəri tonu|barmaq|əl|göstərmək|işarə|sol əl
	👇🏼;aşağını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu;aşağı|aşağını göstərən sol əlin işarə barmağı|aşağını göstərən sol əlin işarə barmağı: orta-açıq dəri tonu|barmaq|əl|göstərmək|işarə|orta-açıq dəri tonu|sol əl
	👇🏽;aşağını göstərən sol əlin işarə barmağı: orta dəri tonu;aşağı|aşağını göstərən sol əlin işarə barmağı|aşağını göstərən sol əlin işarə barmağı: orta dəri tonu|barmaq|əl|göstərmək|işarə|orta dəri tonu|sol əl
	👇🏾;aşağını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu;aşağı|aşağını göstərən sol əlin işarə barmağı|aşağını göstərən sol əlin işarə barmağı: orta-tünd dəri tonu|barmaq|əl|göstərmək|işarə|orta-tünd dəri tonu|sol əl
	👇🏿;aşağını göstərən sol əlin işarə barmağı: tünd dəri tonu;aşağı|aşağını göstərən sol əlin işarə barmağı|aşağını göstərən sol əlin işarə barmağı: tünd dəri tonu|barmaq|əl|göstərmək|işarə|sol əl|tünd dəri tonu
☝️;işarə barmağı;barmaq|əl|göstərmək|işarə|işarə barmağı|yuxarı
	☝🏻;işarə barmağı: açıq dəri tonu;açıq dəri tonu|barmaq|əl|göstərmək|işarə|işarə barmağı|işarə barmağı: açıq dəri tonu|yuxarı
	☝🏼;işarə barmağı: orta-açıq dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|işarə barmağı: orta-açıq dəri tonu|orta-açıq dəri tonu|yuxarı
	☝🏽;işarə barmağı: orta dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|işarə barmağı: orta dəri tonu|orta dəri tonu|yuxarı
	☝🏾;işarə barmağı: orta-tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|işarə barmağı: orta-tünd dəri tonu|orta-tünd dəri tonu|yuxarı
	☝🏿;işarə barmağı: tünd dəri tonu;barmaq|əl|göstərmək|işarə|işarə barmağı|işarə barmağı: tünd dəri tonu|tünd dəri tonu|yuxarı
🫵;tamaşaçıya işarə edən barmaq;işarə|sən|tamaşaçıya işarə edən barmaq
	🫵🏻;tamaşaçıya işarə edən barmaq: açıq dəri tonu;açıq dəri tonu|işarə|sən|tamaşaçıya işarə edən barmaq|tamaşaçıya işarə edən barmaq: açıq dəri tonu
	🫵🏼;tamaşaçıya işarə edən barmaq: orta-açıq dəri tonu;işarə|orta-açıq dəri tonu|sən|tamaşaçıya işarə edən barmaq|tamaşaçıya işarə edən barmaq: orta-açıq dəri tonu
	🫵🏽;tamaşaçıya işarə edən barmaq: orta dəri tonu;işarə|orta dəri tonu|sən|tamaşaçıya işarə edən barmaq|tamaşaçıya işarə edən barmaq: orta dəri tonu
	🫵🏾;tamaşaçıya işarə edən barmaq: orta-tünd dəri tonu;işarə|orta-tünd dəri tonu|sən|tamaşaçıya işarə edən barmaq|tamaşaçıya işarə edən barmaq: orta-tünd dəri tonu
	🫵🏿;tamaşaçıya işarə edən barmaq: tünd dəri tonu;işarə|sən|tamaşaçıya işarə edən barmaq|tamaşaçıya işarə edən barmaq: tünd dəri tonu|tünd dəri tonu
👍;baş barmaq yuxarı;baş barmaq|baş barmaq yuxarı|əl|orqan|yuxarı
	👍🏻;baş barmaq yuxarı: açıq dəri tonu;açıq dəri tonu|baş barmaq|baş barmaq yuxarı|baş barmaq yuxarı: açıq dəri tonu|əl|orqan|yuxarı
	👍🏼;baş barmaq yuxarı: orta-açıq dəri tonu;baş barmaq|baş barmaq yuxarı|baş barmaq yuxarı: orta-açıq dəri tonu|əl|orqan|orta-açıq dəri tonu|yuxarı
	👍🏽;baş barmaq yuxarı: orta dəri tonu;baş barmaq|baş barmaq yuxarı|baş barmaq yuxarı: orta dəri tonu|əl|orqan|orta dəri tonu|yuxarı
	👍🏾;baş barmaq yuxarı: orta-tünd dəri tonu;baş barmaq|baş barmaq yuxarı|baş barmaq yuxarı: orta-tünd dəri tonu|əl|orqan|orta-tünd dəri tonu|yuxarı
	👍🏿;baş barmaq yuxarı: tünd dəri tonu;baş barmaq|baş barmaq yuxarı|baş barmaq yuxarı: tünd dəri tonu|əl|orqan|tünd dəri tonu|yuxarı
👎;baş barmaq aşağı;-1|aşağı|baş barmaq|baş barmaq aşağı|əl|orqan
	👎🏻;baş barmaq aşağı: açıq dəri tonu;-1|açıq dəri tonu|aşağı|baş barmaq|baş barmaq aşağı|baş barmaq aşağı: açıq dəri tonu|əl|orqan
	👎🏼;baş barmaq aşağı: orta-açıq dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|baş barmaq aşağı: orta-açıq dəri tonu|əl|orqan|orta-açıq dəri tonu
	👎🏽;baş barmaq aşağı: orta dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|baş barmaq aşağı: orta dəri tonu|əl|orqan|orta dəri tonu
	👎🏾;baş barmaq aşağı: orta-tünd dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|baş barmaq aşağı: orta-tünd dəri tonu|əl|orqan|orta-tünd dəri tonu
	👎🏿;baş barmaq aşağı: tünd dəri tonu;-1|aşağı|baş barmaq|baş barmaq aşağı|baş barmaq aşağı: tünd dəri tonu|əl|orqan|tünd dəri tonu
✊;qaldırılmış yumruq;əl|orqan|qaldırılmış yumruq|sıxılmış|yumruq|yumruqlamaq
	✊🏻;qaldırılmış yumruq: açıq dəri tonu;açıq dəri tonu|əl|orqan|qaldırılmış yumruq|qaldırılmış yumruq: açıq dəri tonu|sıxılmış|yumruq|yumruqlamaq
	✊🏼;qaldırılmış yumruq: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|qaldırılmış yumruq|qaldırılmış yumruq: orta-açıq dəri tonu|sıxılmış|yumruq|yumruqlamaq
	✊🏽;qaldırılmış yumruq: orta dəri tonu;əl|orqan|orta dəri tonu|qaldırılmış yumruq|qaldırılmış yumruq: orta dəri tonu|sıxılmış|yumruq|yumruqlamaq
	✊🏾;qaldırılmış yumruq: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|qaldırılmış yumruq|qaldırılmış yumruq: orta-tünd dəri tonu|sıxılmış|yumruq|yumruqlamaq
	✊🏿;qaldırılmış yumruq: tünd dəri tonu;əl|orqan|qaldırılmış yumruq|qaldırılmış yumruq: tünd dəri tonu|sıxılmış|tünd dəri tonu|yumruq|yumruqlamaq
👊;yaxınlaşan yumruq;əl|orqan|sıxılmış|yaxınlaşan yumruq|yumruq|yumruqlamaq
	👊🏻;yaxınlaşan yumruq: açıq dəri tonu;açıq dəri tonu|əl|orqan|sıxılmış|yaxınlaşan yumruq|yaxınlaşan yumruq: açıq dəri tonu|yumruq|yumruqlamaq
	👊🏼;yaxınlaşan yumruq: orta-açıq dəri tonu;əl|orqan|orta-açıq dəri tonu|sıxılmış|yaxınlaşan yumruq|yaxınlaşan yumruq: orta-açıq dəri tonu|yumruq|yumruqlamaq
	👊🏽;yaxınlaşan yumruq: orta dəri tonu;əl|orqan|orta dəri tonu|sıxılmış|yaxınlaşan yumruq|yaxınlaşan yumruq: orta dəri tonu|yumruq|yumruqlamaq
	👊🏾;yaxınlaşan yumruq: orta-tünd dəri tonu;əl|orqan|orta-tünd dəri tonu|sıxılmış|yaxınlaşan yumruq|yaxınlaşan yumruq: orta-tünd dəri tonu|yumruq|yumruqlamaq
	👊🏿;yaxınlaşan yumruq: tünd dəri tonu;əl|orqan|sıxılmış|tünd dəri tonu|yaxınlaşan yumruq|yaxınlaşan yumruq: tünd dəri tonu|yumruq|yumruqlamaq
🤛;sola yönələn yumruq;sol|sola yönələn yumruq|yumruq|zərbə
	🤛🏻;sola yönələn yumruq: açıq dəri tonu;açıq dəri tonu|sol|sola yönələn yumruq|sola yönələn yumruq: açıq dəri tonu|yumruq|zərbə
	🤛🏼;sola yönələn yumruq: orta-açıq dəri tonu;orta-açıq dəri tonu|sol|sola yönələn yumruq|sola yönələn yumruq: orta-açıq dəri tonu|yumruq|zərbə
	🤛🏽;sola yönələn yumruq: orta dəri tonu;orta dəri tonu|sol|sola yönələn yumruq|sola yönələn yumruq: orta dəri tonu|yumruq|zərbə
	🤛🏾;sola yönələn yumruq: orta-tünd dəri tonu;orta-tünd dəri tonu|sol|sola yönələn yumruq|sola yönələn yumruq: orta-tünd dəri tonu|yumruq|zərbə
	🤛🏿;sola yönələn yumruq: tünd dəri tonu;sol|sola yönələn yumruq|sola yönələn yumruq: tünd dəri tonu|tünd dəri tonu|yumruq|zərbə
🤜;sağa yönələn yumruq;sağ|sağa yönələn yumruq|yumruq|zərbə
	🤜🏻;sağa yönələn yumruq: açıq dəri tonu;açıq dəri tonu|sağ|sağa yönələn yumruq|sağa yönələn yumruq: açıq dəri tonu|yumruq|zərbə
	🤜🏼;sağa yönələn yumruq: orta-açıq dəri tonu;orta-açıq dəri tonu|sağ|sağa yönələn yumruq|sağa yönələn yumruq: orta-açıq dəri tonu|yumruq|zərbə
	🤜🏽;sağa yönələn yumruq: orta dəri tonu;orta dəri tonu|sağ|sağa yönələn yumruq|sağa yönələn yumruq: orta dəri tonu|yumruq|zərbə
	🤜🏾;sağa yönələn yumruq: orta-tünd dəri tonu;orta-tünd dəri tonu|sağ|sağa yönələn yumruq|sağa yönələn yumruq: orta-tünd dəri tonu|yumruq|zərbə
	🤜🏿;sağa yönələn yumruq: tünd dəri tonu;sağ|sağa yönələn yumruq|sağa yönələn yumruq: tünd dəri tonu|tünd dəri tonu|yumruq|zərbə
👏;əl çalan əllər;əl|əl çalan əllər|əl çalmaq|orqan
	👏🏻;əl çalan əllər: açıq dəri tonu;açıq dəri tonu|əl|əl çalan əllər|əl çalan əllər: açıq dəri tonu|əl çalmaq|orqan
	👏🏼;əl çalan əllər: orta-açıq dəri tonu;əl|əl çalan əllər|əl çalan əllər: orta-açıq dəri tonu|əl çalmaq|orqan|orta-açıq dəri tonu
	👏🏽;əl çalan əllər: orta dəri tonu;əl|əl çalan əllər|əl çalan əllər: orta dəri tonu|əl çalmaq|orqan|orta dəri tonu
	👏🏾;əl çalan əllər: orta-tünd dəri tonu;əl|əl çalan əllər|əl çalan əllər: orta-tünd dəri tonu|əl çalmaq|orqan|orta-tünd dəri tonu
	👏🏿;əl çalan əllər: tünd dəri tonu;əl|əl çalan əllər|əl çalan əllər: tünd dəri tonu|əl çalmaq|orqan|tünd dəri tonu
🙌;əllərini qaldıran adam;bayram|əl|əllərini qaldıran adam|jest|orqan|qaldırılmış|ura
	🙌🏻;əllərini qaldıran adam: açıq dəri tonu;açıq dəri tonu|bayram|əl|əllərini qaldıran adam|əllərini qaldıran adam: açıq dəri tonu|jest|orqan|qaldırılmış|ura
	🙌🏼;əllərini qaldıran adam: orta-açıq dəri tonu;bayram|əl|əllərini qaldıran adam|əllərini qaldıran adam: orta-açıq dəri tonu|jest|orqan|orta-açıq dəri tonu|qaldırılmış|ura
	🙌🏽;əllərini qaldıran adam: orta dəri tonu;bayram|əl|əllərini qaldıran adam|əllərini qaldıran adam: orta dəri tonu|jest|orqan|orta dəri tonu|qaldırılmış|ura
	🙌🏾;əllərini qaldıran adam: orta-tünd dəri tonu;bayram|əl|əllərini qaldıran adam|əllərini qaldıran adam: orta-tünd dəri tonu|jest|orqan|orta-tünd dəri tonu|qaldırılmış|ura
	🙌🏿;əllərini qaldıran adam: tünd dəri tonu;bayram|əl|əllərini qaldıran adam|əllərini qaldıran adam: tünd dəri tonu|jest|orqan|qaldırılmış|tünd dəri tonu|ura
🫶;əldən ürək;əldən ürək|sevgi
	🫶🏻;əldən ürək: açıq dəri tonu;açıq dəri tonu|əldən ürək|əldən ürək: açıq dəri tonu|sevgi
	🫶🏼;əldən ürək: orta-açıq dəri tonu;əldən ürək|əldən ürək: orta-açıq dəri tonu|orta-açıq dəri tonu|sevgi
	🫶🏽;əldən ürək: orta dəri tonu;əldən ürək|əldən ürək: orta dəri tonu|orta dəri tonu|sevgi
	🫶🏾;əldən ürək: orta-tünd dəri tonu;əldən ürək|əldən ürək: orta-tünd dəri tonu|orta-tünd dəri tonu|sevgi
	🫶🏿;əldən ürək: tünd dəri tonu;əldən ürək|əldən ürək: tünd dəri tonu|sevgi|tünd dəri tonu
👐;açıq əllər;açıq|açıq əllər|əl|orqan
	👐🏻;açıq əllər: açıq dəri tonu;açıq|açıq dəri tonu|açıq əllər|açıq əllər: açıq dəri tonu|əl|orqan
