# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;cara moi riseira;cara|cara moi riseira|sorriso
	🤟🏽;xesto das iniciais de &quot;I Love You&quot;: ton de pel medio;I Love You|ILY|man|ton de pel medio|xesto|xesto das iniciais de &quot;I Love You&quot;|xesto das iniciais de &quot;I Love You&quot;: ton de pel medio
	🤟🏾;xesto das iniciais de &quot;I Love You&quot;: ton de pel escuro;I Love You|ILY|man|ton de pel escuro|xesto|xesto das iniciais de &quot;I Love You&quot;|xesto das iniciais de &quot;I Love You&quot;: ton de pel escuro
	🤟🏿;xesto das iniciais de &quot;I Love You&quot;: ton de pel moi escuro;I Love You|ILY|man|ton de pel moi escuro|xesto|xesto das iniciais de &quot;I Love You&quot;|xesto das iniciais de &quot;I Love You&quot;: ton de pel moi escuro
🤘;man facendo os cornos;cornos|man|man facendo os cornos|rock and roll
	🤘🏻;man facendo os cornos: ton de pel moi claro;cornos|man|man facendo os cornos|man facendo os cornos: ton de pel moi claro|rock and roll|ton de pel moi claro
	🤘🏼;man facendo os cornos: ton de pel claro;cornos|man|man facendo os cornos|man facendo os cornos: ton de pel claro|rock and roll|ton de pel claro
	🤘🏽;man facendo os cornos: ton de pel medio;cornos|man|man facendo os cornos|man facendo os cornos: ton de pel medio|rock and roll|ton de pel medio
	🤘🏾;man facendo os cornos: ton de pel escuro;cornos|man|man facendo os cornos|man facendo os cornos: ton de pel escuro|rock and roll|ton de pel escuro
	🤘🏿;man facendo os cornos: ton de pel moi escuro;cornos|man|man facendo os cornos|man facendo os cornos: ton de pel moi escuro|rock and roll|ton de pel moi escuro
🤙;xesto de chamar por teléfono;chámame|chamar|man|xesto de chamar por teléfono
	🤙🏻;xesto de chamar por teléfono: ton de pel moi claro;chámame|chamar|man|ton de pel moi claro|xesto de chamar por teléfono|xesto de chamar por teléfono: ton de pel moi claro
	🤙🏼;xesto de chamar por teléfono: ton de pel claro;chámame|chamar|man|ton de pel claro|xesto de chamar por teléfono|xesto de chamar por teléfono: ton de pel claro
	🤙🏽;xesto de chamar por teléfono: ton de pel medio;chámame|chamar|man|ton de pel medio|xesto de chamar por teléfono|xesto de chamar por teléfono: ton de pel medio
	🤙🏾;xesto de chamar por teléfono: ton de pel escuro;chámame|chamar|man|ton de pel escuro|xesto de chamar por teléfono|xesto de chamar por teléfono: ton de pel escuro
	🤙🏿;xesto de chamar por teléfono: ton de pel moi escuro;chámame|chamar|man|ton de pel moi escuro|xesto de chamar por teléfono|xesto de chamar por teléfono: ton de pel moi escuro
👈;índice apuntando á esquerda;dedo|esquerda|índice|índice apuntando á esquerda|man
	👈🏻;índice apuntando á esquerda: ton de pel moi claro;dedo|esquerda|índice|índice apuntando á esquerda|índice apuntando á esquerda: ton de pel moi claro|man|ton de pel moi claro
	👈🏼;índice apuntando á esquerda: ton de pel claro;dedo|esquerda|índice|índice apuntando á esquerda|índice apuntando á esquerda: ton de pel claro|man|ton de pel claro
	👈🏽;índice apuntando á esquerda: ton de pel medio;dedo|esquerda|índice|índice apuntando á esquerda|índice apuntando á esquerda: ton de pel medio|man|ton de pel medio
	👈🏾;índice apuntando á esquerda: ton de pel escuro;dedo|esquerda|índice|índice apuntando á esquerda|índice apuntando á esquerda: ton de pel escuro|man|ton de pel escuro
	👈🏿;índice apuntando á esquerda: ton de pel moi escuro;dedo|esquerda|índice|índice apuntando á esquerda|índice apuntando á esquerda: ton de pel moi escuro|man|ton de pel moi escuro
👉;índice apuntando á dereita;dedo|dereita|índice|índice apuntando á dereita|man
	👉🏻;índice apuntando á dereita: ton de pel moi claro;dedo|dereita|índice|índice apuntando á dereita|índice apuntando á dereita: ton de pel moi claro|man|ton de pel moi claro
	👉🏼;índice apuntando á dereita: ton de pel claro;dedo|dereita|índice|índice apuntando á dereita|índice apuntando á dereita: ton de pel claro|man|ton de pel claro
	👉🏽;índice apuntando á dereita: ton de pel medio;dedo|dereita|índice|índice apuntando á dereita|índice apuntando á dereita: ton de pel medio|man|ton de pel medio
	👉🏾;índice apuntando á dereita: ton de pel escuro;dedo|dereita|índice|índice apuntando á dereita|índice apuntando á dereita: ton de pel escuro|man|ton de pel escuro
	👉🏿;índice apuntando á dereita: ton de pel moi escuro;dedo|dereita|índice|índice apuntando á dereita|índice apuntando á dereita: ton de pel moi escuro|man|ton de pel moi escuro
👆;dedo índice apuntando cara arriba;arriba|dedo índice apuntando cara arriba|índice|man
	👆🏻;dedo índice apuntando cara arriba: ton de pel moi claro;arriba|dedo índice apuntando cara arriba|dedo índice apuntando cara arriba: ton de pel moi claro|índice|man|ton de pel moi claro
	👆🏼;dedo índice apuntando cara arriba: ton de pel claro;arriba|dedo índice apuntando cara arriba|dedo índice apuntando cara arriba: ton de pel claro|índice|man|ton de pel claro
	👆🏽;dedo índice apuntando cara arriba: ton de pel medio;arriba|dedo índice apuntando cara arriba|dedo índice apuntando cara arriba: ton de pel medio|índice|man|ton de pel medio
	👆🏾;dedo índice apuntando cara arriba: ton de pel escuro;arriba|dedo índice apuntando cara arriba|dedo índice apuntando cara arriba: ton de pel escuro|índice|man|ton de pel escuro
	👆🏿;dedo índice apuntando cara arriba: ton de pel moi escuro;arriba|dedo índice apuntando cara arriba|dedo índice apuntando cara arriba: ton de pel moi escuro|índice|man|ton de pel moi escuro
🖕;dedo do medio levantado;dedo|dedo do medio levantado|insulto|man|ofensivo
	🖕🏻;dedo do medio levantado: ton de pel moi claro;dedo|dedo do medio levantado|dedo do medio levantado: ton de pel moi claro|insulto|man|ofensivo|ton de pel moi claro
	🖕🏼;dedo do medio levantado: ton de pel claro;dedo|dedo do medio levantado|dedo do medio levantado: ton de pel claro|insulto|man|ofensivo|ton de pel claro
	🖕🏽;dedo do medio levantado: ton de pel medio;dedo|dedo do medio levantado|dedo do medio levantado: ton de pel medio|insulto|man|ofensivo|ton de pel medio
	🖕🏾;dedo do medio levantado: ton de pel escuro;dedo|dedo do medio levantado|dedo do medio levantado: ton de pel escuro|insulto|man|ofensivo|ton de pel escuro
	🖕🏿;dedo do medio levantado: ton de pel moi escuro;dedo|dedo do medio levantado|dedo do medio levantado: ton de pel moi escuro|insulto|man|ofensivo|ton de pel moi escuro
👇;dedo apuntando cara abaixo;abaixo|dedo|dedo apuntando cara abaixo|man
	👇🏻;dedo apuntando cara abaixo: ton de pel moi claro;abaixo|dedo|dedo apuntando cara abaixo|dedo apuntando cara abaixo: ton de pel moi claro|man|ton de pel moi claro
	👇🏼;dedo apuntando cara abaixo: ton de pel claro;abaixo|dedo|dedo apuntando cara abaixo|dedo apuntando cara abaixo: ton de pel claro|man|ton de pel claro
	👇🏽;dedo apuntando cara abaixo: ton de pel medio;abaixo|dedo|dedo apuntando cara abaixo|dedo apuntando cara abaixo: ton de pel medio|man|ton de pel medio
	👇🏾;dedo apuntando cara abaixo: ton de pel escuro;abaixo|dedo|dedo apuntando cara abaixo|dedo apuntando cara abaixo: ton de pel escuro|man|ton de pel escuro
	👇🏿;dedo apuntando cara abaixo: ton de pel moi escuro;abaixo|dedo|dedo apuntando cara abaixo|dedo apuntando cara abaixo: ton de pel moi escuro|man|ton de pel moi escuro
☝️;índice apuntando cara arriba;advertencia|arriba|índice|índice apuntando cara arriba|man
	☝🏻;índice apuntando cara arriba: ton de pel moi claro;advertencia|arriba|índice|índice apuntando cara arriba|índice apuntando cara arriba: ton de pel moi claro|man|ton de pel moi claro
	☝🏼;índice apuntando cara arriba: ton de pel claro;advertencia|arriba|índice|índice apuntando cara arriba|índice apuntando cara arriba: ton de pel claro|man|ton de pel claro
	☝🏽;índice apuntando cara arriba: ton de pel medio;advertencia|arriba|índice|índice apuntando cara arriba|índice apuntando cara arriba: ton de pel medio|man|ton de pel medio
	☝🏾;índice apuntando cara arriba: ton de pel escuro;advertencia|arriba|índice|índice apuntando cara arriba|índice apuntando cara arriba: ton de pel escuro|man|ton de pel escuro
	☝🏿;índice apuntando cara arriba: ton de pel moi escuro;advertencia|arriba|índice|índice apuntando cara arriba|índice apuntando cara arriba: ton de pel moi escuro|man|ton de pel moi escuro
🫵;dedo índice apuntando de fronte;apuntar|dedo índice apuntando de fronte|sinalar|ti
	🫵🏻;dedo índice apuntando de fronte: ton de pel moi claro;apuntar|dedo índice apuntando de fronte|dedo índice apuntando de fronte: ton de pel moi claro|sinalar|ti|ton de pel moi claro
	🫵🏼;dedo índice apuntando de fronte: ton de pel claro;apuntar|dedo índice apuntando de fronte|dedo índice apuntando de fronte: ton de pel claro|sinalar|ti|ton de pel claro
	🫵🏽;dedo índice apuntando de fronte: ton de pel medio;apuntar|dedo índice apuntando de fronte|dedo índice apuntando de fronte: ton de pel medio|sinalar|ti|ton de pel medio
	🫵🏾;dedo índice apuntando de fronte: ton de pel escuro;apuntar|dedo índice apuntando de fronte|dedo índice apuntando de fronte: ton de pel escuro|sinalar|ti|ton de pel escuro
	🫵🏿;dedo índice apuntando de fronte: ton de pel moi escuro;apuntar|dedo índice apuntando de fronte|dedo índice apuntando de fronte: ton de pel moi escuro|sinalar|ti|ton de pel moi escuro
👍;polgar cara arriba;+1|arriba|ben|gústame|man|polgar|polgar cara arriba
	👍🏻;polgar cara arriba: ton de pel moi claro;+1|arriba|ben|gústame|man|polgar|polgar cara arriba|polgar cara arriba: ton de pel moi claro|ton de pel moi claro
	👍🏼;polgar cara arriba: ton de pel claro;+1|arriba|ben|gústame|man|polgar|polgar cara arriba|polgar cara arriba: ton de pel claro|ton de pel claro
	👍🏽;polgar cara arriba: ton de pel medio;+1|arriba|ben|gústame|man|polgar|polgar cara arriba|polgar cara arriba: ton de pel medio|ton de pel medio
	👍🏾;polgar cara arriba: ton de pel escuro;+1|arriba|ben|gústame|man|polgar|polgar cara arriba|polgar cara arriba: ton de pel escuro|ton de pel escuro
	👍🏿;polgar cara arriba: ton de pel moi escuro;+1|arriba|ben|gústame|man|polgar|polgar cara arriba|polgar cara arriba: ton de pel moi escuro|ton de pel moi escuro
👎;polgar cara abaixo;abaixo|mal|man|non me gusta|polgar cara abaixo
	👎🏻;polgar cara abaixo: ton de pel moi claro;abaixo|mal|man|non me gusta|polgar cara abaixo|polgar cara abaixo: ton de pel moi claro|ton de pel moi claro
	👎🏼;polgar cara abaixo: ton de pel claro;abaixo|mal|man|non me gusta|polgar cara abaixo|polgar cara abaixo: ton de pel claro|ton de pel claro
	👎🏽;polgar cara abaixo: ton de pel medio;abaixo|mal|man|non me gusta|polgar cara abaixo|polgar cara abaixo: ton de pel medio|ton de pel medio
	👎🏾;polgar cara abaixo: ton de pel escuro;abaixo|mal|man|non me gusta|polgar cara abaixo|polgar cara abaixo: ton de pel escuro|ton de pel escuro
	👎🏿;polgar cara abaixo: ton de pel moi escuro;abaixo|mal|man|non me gusta|polgar cara abaixo|polgar cara abaixo: ton de pel moi escuro|ton de pel moi escuro
✊;puño en alto;arriba|loita|puño|puño en alto
	✊🏻;puño en alto: ton de pel moi claro;arriba|loita|puño|puño en alto|puño en alto: ton de pel moi claro|ton de pel moi claro
	✊🏼;puño en alto: ton de pel claro;arriba|loita|puño|puño en alto|puño en alto: ton de pel claro|ton de pel claro
	✊🏽;puño en alto: ton de pel medio;arriba|loita|puño|puño en alto|puño en alto: ton de pel medio|ton de pel medio
	✊🏾;puño en alto: ton de pel escuro;arriba|loita|puño|puño en alto|puño en alto: ton de pel escuro|ton de pel escuro
	✊🏿;puño en alto: ton de pel moi escuro;arriba|loita|puño|puño en alto|puño en alto: ton de pel moi escuro|ton de pel moi escuro
👊;puñada;golpe|puñada|puño
	👊🏻;puñada: ton de pel moi claro;golpe|puñada|puñada: ton de pel moi claro|puño|ton de pel moi claro
	👊🏼;puñada: ton de pel claro;golpe|puñada|puñada: ton de pel claro|puño|ton de pel claro
	👊🏽;puñada: ton de pel medio;golpe|puñada|puñada: ton de pel medio|puño|ton de pel medio
	👊🏾;puñada: ton de pel escuro;golpe|puñada|puñada: ton de pel escuro|puño|ton de pel escuro
	👊🏿;puñada: ton de pel moi escuro;golpe|puñada|puñada: ton de pel moi escuro|puño|ton de pel moi escuro
🤛;puño cara á esquerda;esquerda|man|puño|puño cara á esquerda
	🤛🏻;puño cara á esquerda: ton de pel moi claro;esquerda|man|puño|puño cara á esquerda|puño cara á esquerda: ton de pel moi claro|ton de pel moi claro
	🤛🏼;puño cara á esquerda: ton de pel claro;esquerda|man|puño|puño cara á esquerda|puño cara á esquerda: ton de pel claro|ton de pel claro
	🤛🏽;puño cara á esquerda: ton de pel medio;esquerda|man|puño|puño cara á esquerda|puño cara á esquerda: ton de pel medio|ton de pel medio
	🤛🏾;puño cara á esquerda: ton de pel escuro;esquerda|man|puño|puño cara á esquerda|puño cara á esquerda: ton de pel escuro|ton de pel escuro
	🤛🏿;puño cara á esquerda: ton de pel moi escuro;esquerda|man|puño|puño cara á esquerda|puño cara á esquerda: ton de pel moi escuro|ton de pel moi escuro
🤜;puño cara á dereita;dereita|man|puño|puño cara á dereita
	🤜🏻;puño cara á dereita: ton de pel moi claro;dereita|man|puño|puño cara á dereita|puño cara á dereita: ton de pel moi claro|ton de pel moi claro
	🤜🏼;puño cara á dereita: ton de pel claro;dereita|man|puño|puño cara á dereita|puño cara á dereita: ton de pel claro|ton de pel claro
	🤜🏽;puño cara á dereita: ton de pel medio;dereita|man|puño|puño cara á dereita|puño cara á dereita: ton de pel medio|ton de pel medio
	🤜🏾;puño cara á dereita: ton de pel escuro;dereita|man|puño|puño cara á dereita|puño cara á dereita: ton de pel escuro|ton de pel escuro
	🤜🏿;puño cara á dereita: ton de pel moi escuro;dereita|man|puño|puño cara á dereita|puño cara á dereita: ton de pel moi escuro|ton de pel moi escuro
👏;mans aplaudindo;aplaudir|aplauso|mans|mans aplaudindo
	👏🏻;mans aplaudindo: ton de pel moi claro;aplaudir|aplauso|mans|mans aplaudindo|mans aplaudindo: ton de pel moi claro|ton de pel moi claro
	👏🏼;mans aplaudindo: ton de pel claro;aplaudir|aplauso|mans|mans aplaudindo|mans aplaudindo: ton de pel claro|ton de pel claro
	👏🏽;mans aplaudindo: ton de pel medio;aplaudir|aplauso|mans|mans aplaudindo|mans aplaudindo: ton de pel medio|ton de pel medio
	👏🏾;mans aplaudindo: ton de pel escuro;aplaudir|aplauso|mans|mans aplaudindo|mans aplaudindo: ton de pel escuro|ton de pel escuro
	👏🏿;mans aplaudindo: ton de pel moi escuro;aplaudir|aplauso|mans|mans aplaudindo|mans aplaudindo: ton de pel moi escuro|ton de pel moi escuro
🙌;mans levantadas;celebración|chocar|mans|mans levantadas|xesto
	🙌🏻;mans levantadas: ton de pel moi claro;celebración|chocar|mans|mans levantadas|mans levantadas: ton de pel moi claro|ton de pel moi claro|xesto
	🙌🏼;mans levantadas: ton de pel claro;celebración|chocar|mans|mans levantadas|mans levantadas: ton de pel claro|ton de pel claro|xesto
	🙌🏽;mans levantadas: ton de pel medio;celebración|chocar|mans|mans levantadas|mans levantadas: ton de pel medio|ton de pel medio|xesto
	🙌🏾;mans levantadas: ton de pel escuro;celebración|chocar|mans|mans levantadas|mans levantadas: ton de pel escuro|ton de pel escuro|xesto
	🙌🏿;mans levantadas: ton de pel moi escuro;celebración|chocar|mans|mans levantadas|mans levantadas: ton de pel moi escuro|ton de pel moi escuro|xesto
🫶;mans facendo un corazón;amor|mans facendo un corazón
	🫶🏻;mans facendo un corazón: ton de pel moi claro;amor|mans facendo un corazón|mans facendo un corazón: ton de pel moi claro|ton de pel moi claro
	🫶🏼;mans facendo un corazón: ton de pel claro;amor|mans facendo un corazón|mans facendo un corazón: ton de pel claro|ton de pel claro
	🫶🏽;mans facendo un corazón: ton de pel medio;amor|mans facendo un corazón|mans facendo un corazón: ton de pel medio|ton de pel medio
	🫶🏾;mans facendo un corazón: ton de pel escuro;amor|mans facendo un corazón|mans facendo un corazón: ton de pel escuro|ton de pel escuro
	🫶🏿;mans facendo un corazón: ton de pel moi escuro;amor|mans facendo un corazón|mans facendo un corazón: ton de pel moi escuro|ton de pel moi escuro
👐;mans abertas;abertas|mans
	👐🏻;mans abertas: ton de pel moi claro;abertas|mans|mans abertas: ton de pel moi claro|ton de pel moi claro
	👐🏼;mans abertas: ton de pel claro;abertas|mans|mans abertas: ton de pel claro|ton de pel claro
	👐🏽;mans abertas: ton de pel medio;abertas|mans|mans abertas: ton de pel medio|ton de pel medio
	👐🏾;mans abertas: ton de pel escuro;abertas|mans|mans abertas: ton de pel escuro|ton de pel escuro
	👐🏿;mans abertas: ton de pel moi escuro;abertas|mans|mans abertas: ton de pel moi escuro|ton de pel moi escuro
🤲;palmas xuntas;palmas|xuntas
	🤲🏻;palmas xuntas: ton de pel moi claro;palmas|palmas xuntas: ton de pel moi claro|ton de pel moi claro|xuntas
