# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;嘿嘿;嘿嘿|笑脸|脸
	👍🏻;拇指向上: 较浅肤色;同意|手|拇指向上|拇指向上: 较浅肤色|真棒|赞成|较浅肤色|顶一下
	👍🏼;拇指向上: 中等-浅肤色;中等-浅肤色|同意|手|拇指向上|拇指向上: 中等-浅肤色|真棒|赞成|顶一下
	👍🏽;拇指向上: 中等肤色;中等肤色|同意|手|拇指向上|拇指向上: 中等肤色|真棒|赞成|顶一下
	👍🏾;拇指向上: 中等-深肤色;中等-深肤色|同意|手|拇指向上|拇指向上: 中等-深肤色|真棒|赞成|顶一下
	👍🏿;拇指向上: 较深肤色;同意|手|拇指向上|拇指向上: 较深肤色|真棒|赞成|较深肤色|顶一下
👎;拇指向下;不赞成|反对|手|拇指向下|责备
	👎🏻;拇指向下: 较浅肤色;不赞成|反对|手|拇指向下|拇指向下: 较浅肤色|责备|较浅肤色
	👎🏼;拇指向下: 中等-浅肤色;不赞成|中等-浅肤色|反对|手|拇指向下|拇指向下: 中等-浅肤色|责备
	👎🏽;拇指向下: 中等肤色;不赞成|中等肤色|反对|手|拇指向下|拇指向下: 中等肤色|责备
	👎🏾;拇指向下: 中等-深肤色;不赞成|中等-深肤色|反对|手|拇指向下|拇指向下: 中等-深肤色|责备
	👎🏿;拇指向下: 较深肤色;不赞成|反对|手|拇指向下|拇指向下: 较深肤色|责备|较深肤色
✊;举起拳头;举起拳头|手|拳头|握拳
	✊🏻;举起拳头: 较浅肤色;举起拳头|举起拳头: 较浅肤色|手|拳头|握拳|较浅肤色
	✊🏼;举起拳头: 中等-浅肤色;中等-浅肤色|举起拳头|举起拳头: 中等-浅肤色|手|拳头|握拳
	✊🏽;举起拳头: 中等肤色;中等肤色|举起拳头|举起拳头: 中等肤色|手|拳头|握拳
	✊🏾;举起拳头: 中等-深肤色;中等-深肤色|举起拳头|举起拳头: 中等-深肤色|手|拳头|握拳
	✊🏿;举起拳头: 较深肤色;举起拳头|举起拳头: 较深肤色|手|拳头|握拳|较深肤色
👊;出拳;出拳|手|打|拳
	👊🏻;出拳: 较浅肤色;出拳|出拳: 较浅肤色|手|打|拳|较浅肤色
	👊🏼;出拳: 中等-浅肤色;中等-浅肤色|出拳|出拳: 中等-浅肤色|手|打|拳
	👊🏽;出拳: 中等肤色;中等肤色|出拳|出拳: 中等肤色|手|打|拳
	👊🏾;出拳: 中等-深肤色;中等-深肤色|出拳|出拳: 中等-深肤色|手|打|拳
	👊🏿;出拳: 较深肤色;出拳|出拳: 较深肤色|手|打|拳|较深肤色
🤛;朝左的拳头;拳头|朝左|朝左的拳头
	🤛🏻;朝左的拳头: 较浅肤色;拳头|朝左|朝左的拳头|朝左的拳头: 较浅肤色|较浅肤色
	🤛🏼;朝左的拳头: 中等-浅肤色;中等-浅肤色|拳头|朝左|朝左的拳头|朝左的拳头: 中等-浅肤色
	🤛🏽;朝左的拳头: 中等肤色;中等肤色|拳头|朝左|朝左的拳头|朝左的拳头: 中等肤色
	🤛🏾;朝左的拳头: 中等-深肤色;中等-深肤色|拳头|朝左|朝左的拳头|朝左的拳头: 中等-深肤色
	🤛🏿;朝左的拳头: 较深肤色;拳头|朝左|朝左的拳头|朝左的拳头: 较深肤色|较深肤色
🤜;朝右的拳头;手|拳头|朝右|朝右的拳头
	🤜🏻;朝右的拳头: 较浅肤色;手|拳头|朝右|朝右的拳头|朝右的拳头: 较浅肤色|较浅肤色
	🤜🏼;朝右的拳头: 中等-浅肤色;中等-浅肤色|手|拳头|朝右|朝右的拳头|朝右的拳头: 中等-浅肤色
	🤜🏽;朝右的拳头: 中等肤色;中等肤色|手|拳头|朝右|朝右的拳头|朝右的拳头: 中等肤色
	🤜🏾;朝右的拳头: 中等-深肤色;中等-深肤色|手|拳头|朝右|朝右的拳头|朝右的拳头: 中等-深肤色
	🤜🏿;朝右的拳头: 较深肤色;手|拳头|朝右|朝右的拳头|朝右的拳头: 较深肤色|较深肤色
👏;鼓掌;拍手|鼓掌
	👏🏻;鼓掌: 较浅肤色;拍手|较浅肤色|鼓掌|鼓掌: 较浅肤色
	👏🏼;鼓掌: 中等-浅肤色;中等-浅肤色|拍手|鼓掌|鼓掌: 中等-浅肤色
	👏🏽;鼓掌: 中等肤色;中等肤色|拍手|鼓掌|鼓掌: 中等肤色
	👏🏾;鼓掌: 中等-深肤色;中等-深肤色|拍手|鼓掌|鼓掌: 中等-深肤色
	👏🏿;鼓掌: 较深肤色;拍手|较深肤色|鼓掌|鼓掌: 较深肤色
🙌;举双手;举双手|击掌|双手|庆祝
	🙌🏻;举双手: 较浅肤色;举双手|举双手: 较浅肤色|击掌|双手|庆祝|较浅肤色
	🙌🏼;举双手: 中等-浅肤色;中等-浅肤色|举双手|举双手: 中等-浅肤色|击掌|双手|庆祝
	🙌🏽;举双手: 中等肤色;中等肤色|举双手|举双手: 中等肤色|击掌|双手|庆祝
	🙌🏾;举双手: 中等-深肤色;中等-深肤色|举双手|举双手: 中等-深肤色|击掌|双手|庆祝
	🙌🏿;举双手: 较深肤色;举双手|举双手: 较深肤色|击掌|双手|庆祝|较深肤色
🫶;做成心形的双手;做成心形的双手|爱
	🫶🏻;做成心形的双手: 较浅肤色;做成心形的双手|做成心形的双手: 较浅肤色|爱|较浅肤色
	🫶🏼;做成心形的双手: 中等-浅肤色;中等-浅肤色|做成心形的双手|做成心形的双手: 中等-浅肤色|爱
	🫶🏽;做成心形的双手: 中等肤色;中等肤色|做成心形的双手|做成心形的双手: 中等肤色|爱
	🫶🏾;做成心形的双手: 中等-深肤色;中等-深肤色|做成心形的双手|做成心形的双手: 中等-深肤色|爱
	🫶🏿;做成心形的双手: 较深肤色;做成心形的双手|做成心形的双手: 较深肤色|爱|较深肤色
👐;张开双手;双手|张开双手|摊手
	👐🏻;张开双手: 较浅肤色;双手|张开双手|张开双手: 较浅肤色|摊手|较浅肤色
	👐🏼;张开双手: 中等-浅肤色;中等-浅肤色|双手|张开双手|张开双手: 中等-浅肤色|摊手
	👐🏽;张开双手: 中等肤色;中等肤色|双手|张开双手|张开双手: 中等肤色|摊手
	👐🏾;张开双手: 中等-深肤色;中等-深肤色|双手|张开双手|张开双手: 中等-深肤色|摊手
	👐🏿;张开双手: 较深肤色;双手|张开双手|张开双手: 较深肤色|摊手|较深肤色
🤲;掌心向上托起;掌心向上托起|祷告
	🤲🏻;掌心向上托起: 较浅肤色;掌心向上托起|掌心向上托起: 较浅肤色|祷告|较浅肤色
	🤲🏼;掌心向上托起: 中等-浅肤色;中等-浅肤色|掌心向上托起|掌心向上托起: 中等-浅肤色|祷告
	🤲🏽;掌心向上托起: 中等肤色;中等肤色|掌心向上托起|掌心向上托起: 中等肤色|祷告
	🤲🏾;掌心向上托起: 中等-深肤色;中等-深肤色|掌心向上托起|掌心向上托起: 中等-深肤色|祷告
	🤲🏿;掌心向上托起: 较深肤色;掌心向上托起|掌心向上托起: 较深肤色|祷告|较深肤色
🤝;握手;会面|协议|握手
	🤝🏻;握手: 较浅肤色;会面|协议|握手|握手: 较浅肤色|较浅肤色
	🤝🏼;握手: 中等-浅肤色;中等-浅肤色|会面|协议|握手|握手: 中等-浅肤色
	🤝🏽;握手: 中等肤色;中等肤色|会面|协议|握手|握手: 中等肤色
	🤝🏾;握手: 中等-深肤色;中等-深肤色|会面|协议|握手|握手: 中等-深肤色
	🤝🏿;握手: 较深肤色;会面|协议|握手|握手: 较深肤色|较深肤色
	🫱🏻‍🫲🏼;握手: 较浅肤色中等-浅肤色;中等-浅肤色|会面|协议|握手|握手: 较浅肤色中等-浅肤色|较浅肤色
	🫱🏻‍🫲🏽;握手: 较浅肤色中等肤色;中等肤色|会面|协议|握手|握手: 较浅肤色中等肤色|较浅肤色
	🫱🏻‍🫲🏾;握手: 较浅肤色中等-深肤色;中等-深肤色|会面|协议|握手|握手: 较浅肤色中等-深肤色|较浅肤色
	🫱🏻‍🫲🏿;握手: 较浅肤色较深肤色;会面|协议|握手|握手: 较浅肤色较深肤色|较浅肤色|较深肤色
	🫱🏼‍🫲🏻;握手: 中等-浅肤色较浅肤色;中等-浅肤色|会面|协议|握手|握手: 中等-浅肤色较浅肤色|较浅肤色
	🫱🏼‍🫲🏽;握手: 中等-浅肤色中等肤色;中等-浅肤色|中等肤色|会面|协议|握手|握手: 中等-浅肤色中等肤色
	🫱🏼‍🫲🏾;握手: 中等-浅肤色中等-深肤色;中等-浅肤色|中等-深肤色|会面|协议|握手|握手: 中等-浅肤色中等-深肤色
	🫱🏼‍🫲🏿;握手: 中等-浅肤色较深肤色;中等-浅肤色|会面|协议|握手|握手: 中等-浅肤色较深肤色|较深肤色
	🫱🏽‍🫲🏻;握手: 中等肤色较浅肤色;中等肤色|会面|协议|握手|握手: 中等肤色较浅肤色|较浅肤色
	🫱🏽‍🫲🏼;握手: 中等肤色中等-浅肤色;中等-浅肤色|中等肤色|会面|协议|握手|握手: 中等肤色中等-浅肤色
	🫱🏽‍🫲🏾;握手: 中等肤色中等-深肤色;中等-深肤色|中等肤色|会面|协议|握手|握手: 中等肤色中等-深肤色
	🫱🏽‍🫲🏿;握手: 中等肤色较深肤色;中等肤色|会面|协议|握手|握手: 中等肤色较深肤色|较深肤色
	🫱🏾‍🫲🏻;握手: 中等-深肤色较浅肤色;中等-深肤色|会面|协议|握手|握手: 中等-深肤色较浅肤色|较浅肤色
	🫱🏾‍🫲🏼;握手: 中等-深肤色中等-浅肤色;中等-浅肤色|中等-深肤色|会面|协议|握手|握手: 中等-深肤色中等-浅肤色
	🫱🏾‍🫲🏽;握手: 中等-深肤色中等肤色;中等-深肤色|中等肤色|会面|协议|握手|握手: 中等-深肤色中等肤色
	🫱🏾‍🫲🏿;握手: 中等-深肤色较深肤色;中等-深肤色|会面|协议|握手|握手: 中等-深肤色较深肤色|较深肤色
	🫱🏿‍🫲🏻;握手: 较深肤色较浅肤色;会面|协议|握手|握手: 较深肤色较浅肤色|较浅肤色|较深肤色
	🫱🏿‍🫲🏼;握手: 较深肤色中等-浅肤色;中等-浅肤色|会面|协议|握手|握手: 较深肤色中等-浅肤色|较深肤色
	🫱🏿‍🫲🏽;握手: 较深肤色中等肤色;中等肤色|会面|协议|握手|握手: 较深肤色中等肤色|较深肤色
	🫱🏿‍🫲🏾;握手: 较深肤色中等-深肤色;中等-深肤色|会面|协议|握手|握手: 较深肤色中等-深肤色|较深肤色
🙏;双手合十;双手合十|拜托|祈求|祈祷|祝福
	🙏🏻;双手合十: 较浅肤色;双手合十|双手合十: 较浅肤色|拜托|祈求|祈祷|祝福|较浅肤色
	🙏🏼;双手合十: 中等-浅肤色;中等-浅肤色|双手合十|双手合十: 中等-浅肤色|拜托|祈求|祈祷|祝福
	🙏🏽;双手合十: 中等肤色;中等肤色|双手合十|双手合十: 中等肤色|拜托|祈求|祈祷|祝福
	🙏🏾;双手合十: 中等-深肤色;中等-深肤色|双手合十|双手合十: 中等-深肤色|拜托|祈求|祈祷|祝福
	🙏🏿;双手合十: 较深肤色;双手合十|双手合十: 较深肤色|拜托|祈求|祈祷|祝福|较深肤色
✍️;写字;写|写字|笔
	✍🏻;写字: 较浅肤色;写|写字|写字: 较浅肤色|笔|较浅肤色
	✍🏼;写字: 中等-浅肤色;中等-浅肤色|写|写字|写字: 中等-浅肤色|笔
	✍🏽;写字: 中等肤色;中等肤色|写|写字|写字: 中等肤色|笔
	✍🏾;写字: 中等-深肤色;中等-深肤色|写|写字|写字: 中等-深肤色|笔
	✍🏿;写字: 较深肤色;写|写字|写字: 较深肤色|笔|较深肤色
💅;涂指甲油;指甲油|涂指甲油|美甲
	💅🏻;涂指甲油: 较浅肤色;指甲油|涂指甲油|涂指甲油: 较浅肤色|美甲|较浅肤色
	💅🏼;涂指甲油: 中等-浅肤色;中等-浅肤色|指甲油|涂指甲油|涂指甲油: 中等-浅肤色|美甲
	💅🏽;涂指甲油: 中等肤色;中等肤色|指甲油|涂指甲油|涂指甲油: 中等肤色|美甲
	💅🏾;涂指甲油: 中等-深肤色;中等-深肤色|指甲油|涂指甲油|涂指甲油: 中等-深肤色|美甲
	💅🏿;涂指甲油: 较深肤色;指甲油|涂指甲油|涂指甲油: 较深肤色|美甲|较深肤色
🤳;自拍;手机|相机|自拍
	🤳🏻;自拍: 较浅肤色;手机|相机|自拍|自拍: 较浅肤色|较浅肤色
	🤳🏼;自拍: 中等-浅肤色;中等-浅肤色|手机|相机|自拍|自拍: 中等-浅肤色
	🤳🏽;自拍: 中等肤色;中等肤色|手机|相机|自拍|自拍: 中等肤色
	🤳🏾;自拍: 中等-深肤色;中等-深肤色|手机|相机|自拍|自拍: 中等-深肤色
	🤳🏿;自拍: 较深肤色;手机|相机|自拍|自拍: 较深肤色|较深肤色
💪;肌肉;二头肌|强壮|肌肉
	💪🏻;肌肉: 较浅肤色;二头肌|强壮|肌肉|肌肉: 较浅肤色|较浅肤色
	💪🏼;肌肉: 中等-浅肤色;中等-浅肤色|二头肌|强壮|肌肉|肌肉: 中等-浅肤色
	💪🏽;肌肉: 中等肤色;中等肤色|二头肌|强壮|肌肉|肌肉: 中等肤色
	💪🏾;肌肉: 中等-深肤色;中等-深肤色|二头肌|强壮|肌肉|肌肉: 中等-深肤色
	💪🏿;肌肉: 较深肤色;二头肌|强壮|肌肉|肌肉: 较深肤色|较深肤色
🦾;机械手臂;义肢|手臂|无障碍|机械手臂
🦿;机械腿;义肢|无障碍|机械腿|腿
🦵;腿;腿|跛行|踢
	🦵🏻;腿: 较浅肤色;腿|腿: 较浅肤色|跛行|踢|较浅肤色
	🦵🏼;腿: 中等-浅肤色;中等-浅肤色|腿|腿: 中等-浅肤色|跛行|踢
	🦵🏽;腿: 中等肤色;中等肤色|腿|腿: 中等肤色|跛行|踢
	🦵🏾;腿: 中等-深肤色;中等-深肤色|腿|腿: 中等-深肤色|跛行|踢
	🦵🏿;腿: 较深肤色;腿|腿: 较深肤色|跛行|踢|较深肤色
🦶;脚;脚|踢|踩
	🦶🏻;脚: 较浅肤色;脚|脚: 较浅肤色|踢|踩|较浅肤色
	🦶🏼;脚: 中等-浅肤色;中等-浅肤色|脚|脚: 中等-浅肤色|踢|踩
	🦶🏽;脚: 中等肤色;中等肤色|脚|脚: 中等肤色|踢|踩
	🦶🏾;脚: 中等-深肤色;中等-深肤色|脚|脚: 中等-深肤色|踢|踩
	🦶🏿;脚: 较深肤色;脚|脚: 较深肤色|踢|踩|较深肤色
👂;耳朵;听|耳|耳朵
	👂🏻;耳朵: 较浅肤色;听|耳|耳朵|耳朵: 较浅肤色|较浅肤色
	👂🏼;耳朵: 中等-浅肤色;中等-浅肤色|听|耳|耳朵|耳朵: 中等-浅肤色
	👂🏽;耳朵: 中等肤色;中等肤色|听|耳|耳朵|耳朵: 中等肤色
	👂🏾;耳朵: 中等-深肤色;中等-深肤色|听|耳|耳朵|耳朵: 中等-深肤色
	👂🏿;耳朵: 较深肤色;听|耳|耳朵|耳朵: 较深肤色|较深肤色
🦻;戴助听器的耳朵;助听器|听力障碍|失聪|戴助听器的耳朵|无障碍|聋
	🦻🏻;戴助听器的耳朵: 较浅肤色;助听器|听力障碍|失聪|戴助听器的耳朵|戴助听器的耳朵: 较浅肤色|无障碍|聋|较浅肤色
	🦻🏼;戴助听器的耳朵: 中等-浅肤色;中等-浅肤色|助听器|听力障碍|失聪|戴助听器的耳朵|戴助听器的耳朵: 中等-浅肤色|无障碍|聋
	🦻🏽;戴助听器的耳朵: 中等肤色;中等肤色|助听器|听力障碍|失聪|戴助听器的耳朵|戴助听器的耳朵: 中等肤色|无障碍|聋
	🦻🏾;戴助听器的耳朵: 中等-深肤色;中等-深肤色|助听器|听力障碍|失聪|戴助听器的耳朵|戴助听器的耳朵: 中等-深肤色|无障碍|聋
	🦻🏿;戴助听器的耳朵: 较深肤色;助听器|听力障碍|失聪|戴助听器的耳朵|戴助听器的耳朵: 较深肤色|无障碍|聋|较深肤色
👃;鼻子;嗅|闻|鼻|鼻子
	👃🏻;鼻子: 较浅肤色;嗅|较浅肤色|闻|鼻|鼻子|鼻子: 较浅肤色
	👃🏼;鼻子: 中等-浅肤色;中等-浅肤色|嗅|闻|鼻|鼻子|鼻子: 中等-浅肤色
	👃🏽;鼻子: 中等肤色;中等肤色|嗅|闻|鼻|鼻子|鼻子: 中等肤色
	👃🏾;鼻子: 中等-深肤色;中等-深肤色|嗅|闻|鼻|鼻子|鼻子: 中等-深肤色
	👃🏿;鼻子: 较深肤色;嗅|较深肤色|闻|鼻|鼻子|鼻子: 较深肤色
🧠;脑;大脑|头脑|智慧|智能|脑
🫀;心脏器官;中心|器官|心率|心脏器官|心脏病学|心跳
🫁;肺;吸气|呼吸|呼吸作用|呼气|器官|肺
🦷;牙齿;牙医|牙齿
🦴;骨头;骨头|骨骼
👀;双眼;双眼
👁️;眼睛;看|眼|眼睛
👅;舌头;舌|舌头|舔
👄;嘴;口|唇|嘴
🫦;咬住嘴唇;不舒服|咬住嘴唇|害怕|担心|焦虑|紧张|调情
👶;小宝贝;宝宝|小宝贝
	👶🏻;小宝贝: 较浅肤色;宝宝|小宝贝|小宝贝: 较浅肤色|较浅肤色
	👶🏼;小宝贝: 中等-浅肤色;中等-浅肤色|宝宝|小宝贝|小宝贝: 中等-浅肤色
	👶🏽;小宝贝: 中等肤色;中等肤色|宝宝|小宝贝|小宝贝: 中等肤色
	👶🏾;小宝贝: 中等-深肤色;中等-深肤色|宝宝|小宝贝|小宝贝: 中等-深肤色
	👶🏿;小宝贝: 较深肤色;宝宝|小宝贝|小宝贝: 较深肤色|较深肤色
🧒;儿童;儿童|年轻人|性别不明|性别中立
	🧒🏻;儿童: 较浅肤色;儿童|儿童: 较浅肤色|年轻人|性别不明|性别中立|较浅肤色
	🧒🏼;儿童: 中等-浅肤色;中等-浅肤色|儿童|儿童: 中等-浅肤色|年轻人|性别不明|性别中立
	🧒🏽;儿童: 中等肤色;中等肤色|儿童|儿童: 中等肤色|年轻人|性别不明|性别中立
	🧒🏾;儿童: 中等-深肤色;中等-深肤色|儿童|儿童: 中等-深肤色|年轻人|性别不明|性别中立
	🧒🏿;儿童: 较深肤色;儿童|儿童: 较深肤色|年轻人|性别不明|性别中立|较深肤色
👦;男孩;儿童|男孩
	👦🏻;男孩: 较浅肤色;儿童|男孩|男孩: 较浅肤色|较浅肤色
	👦🏼;男孩: 中等-浅肤色;中等-浅肤色|儿童|男孩|男孩: 中等-浅肤色
	👦🏽;男孩: 中等肤色;中等肤色|儿童|男孩|男孩: 中等肤色
	👦🏾;男孩: 中等-深肤色;中等-深肤色|儿童|男孩|男孩: 中等-深肤色
	👦🏿;男孩: 较深肤色;儿童|男孩|男孩: 较深肤色|较深肤色
👧;女孩;儿童|女孩
	👧🏻;女孩: 较浅肤色;儿童|女孩|女孩: 较浅肤色|较浅肤色
	👧🏼;女孩: 中等-浅肤色;中等-浅肤色|儿童|女孩|女孩: 中等-浅肤色
	👧🏽;女孩: 中等肤色;中等肤色|儿童|女孩|女孩: 中等肤色
	👧🏾;女孩: 中等-深肤色;中等-深肤色|儿童|女孩|女孩: 中等-深肤色
	👧🏿;女孩: 较深肤色;儿童|女孩|女孩: 较深肤色|较深肤色
🧑;成人;性别中立|性格不明|成人
	🧑🏻;成人: 较浅肤色;性别中立|性格不明|成人|成人: 较浅肤色|较浅肤色
	🧑🏼;成人: 中等-浅肤色;中等-浅肤色|性别中立|性格不明|成人|成人: 中等-浅肤色
	🧑🏽;成人: 中等肤色;中等肤色|性别中立|性格不明|成人|成人: 中等肤色
	🧑🏾;成人: 中等-深肤色;中等-深肤色|性别中立|性格不明|成人|成人: 中等-深肤色
	🧑🏿;成人: 较深肤色;性别中立|性格不明|成人|成人: 较深肤色|较深肤色
👱;金色头发的人;金发|金色头发的人
	👱🏻;金色头发的人: 较浅肤色;较浅肤色|金发|金色头发的人|金色头发的人: 较浅肤色
