[smileys_emotion]
😀;활짝 웃는 얼굴;미소|스마일|얼굴|웃음|활짝 웃는 얼굴
	✌🏻;브이 표시: 하얀 피부;가위|브이 표시|브이 표시: 하얀 피부|찌|하얀 피부
	✌🏼;브이 표시: 연한 갈색 피부;가위|브이 표시|브이 표시: 연한 갈색 피부|연한 갈색 피부|찌
	✌🏽;브이 표시: 갈색 피부;가위|갈색 피부|브이 표시|브이 표시: 갈색 피부|찌
	✌🏾;브이 표시: 진한 갈색 피부;가위|브이 표시|브이 표시: 진한 갈색 피부|진한 갈색 피부|찌
	✌🏿;브이 표시: 검은색 피부;가위|검은색 피부|브이 표시|브이 표시: 검은색 피부|찌
🤞;검지와 중지 크로스;검지|검지와 중지 크로스|교차|손가락|중지|크로스
	🤞🏻;검지와 중지 크로스: 하얀 피부;검지|검지와 중지 크로스|검지와 중지 크로스: 하얀 피부|교차|손가락|중지|크로스|하얀 피부
	🤞🏼;검지와 중지 크로스: 연한 갈색 피부;검지|검지와 중지 크로스|검지와 중지 크로스: 연한 갈색 피부|교차|손가락|연한 갈색 피부|중지|크로스
	🤞🏽;검지와 중지 크로스: 갈색 피부;갈색 피부|검지|검지와 중지 크로스|검지와 중지 크로스: 갈색 피부|교차|손가락|중지|크로스
	🤞🏾;검지와 중지 크로스: 진한 갈색 피부;검지|검지와 중지 크로스|검지와 중지 크로스: 진한 갈색 피부|교차|손가락|중지|진한 갈색 피부|크로스
	🤞🏿;검지와 중지 크로스: 검은색 피부;검은색 피부|검지|검지와 중지 크로스|검지와 중지 크로스: 검은색 피부|교차|손가락|중지|크로스
🫰;엄지와 중지를 교차한 손;너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|하트
	🫰🏻;엄지와 중지를 교차한 손: 하얀 피부;너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|엄지와 중지를 교차한 손: 하얀 피부|하얀 피부|하트
	🫰🏼;엄지와 중지를 교차한 손: 연한 갈색 피부;너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|엄지와 중지를 교차한 손: 연한 갈색 피부|연한 갈색 피부|하트
	🫰🏽;엄지와 중지를 교차한 손: 갈색 피부;갈색 피부|너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|엄지와 중지를 교차한 손: 갈색 피부|하트
	🫰🏾;엄지와 중지를 교차한 손: 진한 갈색 피부;너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|엄지와 중지를 교차한 손: 진한 갈색 피부|진한 갈색 피부|하트
	🫰🏿;엄지와 중지를 교차한 손: 검은색 피부;검은색 피부|너무 비싼|돈|딱딱|사랑|엄지와 중지를 교차한 손|엄지와 중지를 교차한 손: 검은색 피부|하트
🤟;사랑을 표시하는 손;사랑 제스처|사랑을 표시하는 손|사랑해
	🤟🏻;사랑을 표시하는 손: 하얀 피부;사랑 제스처|사랑을 표시하는 손|사랑을 표시하는 손: 하얀 피부|사랑해|하얀 피부
	🤟🏼;사랑을 표시하는 손: 연한 갈색 피부;사랑 제스처|사랑을 표시하는 손|사랑을 표시하는 손: 연한 갈색 피부|사랑해|연한 갈색 피부
	🤟🏽;사랑을 표시하는 손: 갈색 피부;갈색 피부|사랑 제스처|사랑을 표시하는 손|사랑을 표시하는 손: 갈색 피부|사랑해
	🤟🏾;사랑을 표시하는 손: 진한 갈색 피부;사랑 제스처|사랑을 표시하는 손|사랑을 표시하는 손: 진한 갈색 피부|사랑해|진한 갈색 피부
	🤟🏿;사랑을 표시하는 손: 검은색 피부;검은색 피부|사랑 제스처|사랑을 표시하는 손|사랑을 표시하는 손: 검은색 피부|사랑해
🤘;뿔 모양 손짓;락 음악|뿔 모양 손짓|손 모양|힙합
	🤘🏻;뿔 모양 손짓: 하얀 피부;락 음악|뿔 모양 손짓|뿔 모양 손짓: 하얀 피부|손 모양|하얀 피부|힙합
	🤘🏼;뿔 모양 손짓: 연한 갈색 피부;락 음악|뿔 모양 손짓|뿔 모양 손짓: 연한 갈색 피부|손 모양|연한 갈색 피부|힙합
	🤘🏽;뿔 모양 손짓: 갈색 피부;갈색 피부|락 음악|뿔 모양 손짓|뿔 모양 손짓: 갈색 피부|손 모양|힙합
	🤘🏾;뿔 모양 손짓: 진한 갈색 피부;락 음악|뿔 모양 손짓|뿔 모양 손짓: 진한 갈색 피부|손 모양|진한 갈색 피부|힙합
	🤘🏿;뿔 모양 손짓: 검은색 피부;검은색 피부|락 음악|뿔 모양 손짓|뿔 모양 손짓: 검은색 피부|손 모양|힙합
🤙;전화를 걸라는 손 모양;손가락|손모양|전화|전화를 걸라는 손 모양
	🤙🏻;전화를 걸라는 손 모양: 하얀 피부;손가락|손모양|전화|전화를 걸라는 손 모양|전화를 걸라는 손 모양: 하얀 피부|하얀 피부
	🤙🏼;전화를 걸라는 손 모양: 연한 갈색 피부;손가락|손모양|연한 갈색 피부|전화|전화를 걸라는 손 모양|전화를 걸라는 손 모양: 연한 갈색 피부
	🤙🏽;전화를 걸라는 손 모양: 갈색 피부;갈색 피부|손가락|손모양|전화|전화를 걸라는 손 모양|전화를 걸라는 손 모양: 갈색 피부
	🤙🏾;전화를 걸라는 손 모양: 진한 갈색 피부;손가락|손모양|전화|전화를 걸라는 손 모양|전화를 걸라는 손 모양: 진한 갈색 피부|진한 갈색 피부
	🤙🏿;전화를 걸라는 손 모양: 검은색 피부;검은색 피부|손가락|손모양|전화|전화를 걸라는 손 모양|전화를 걸라는 손 모양: 검은색 피부
👈;왼쪽을 가리키는 손등;검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등
	👈🏻;왼쪽을 가리키는 손등: 하얀 피부;검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등|왼쪽을 가리키는 손등: 하얀 피부|하얀 피부
	👈🏼;왼쪽을 가리키는 손등: 연한 갈색 피부;검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|연한 갈색 피부|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등|왼쪽을 가리키는 손등: 연한 갈색 피부
	👈🏽;왼쪽을 가리키는 손등: 갈색 피부;갈색 피부|검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등|왼쪽을 가리키는 손등: 갈색 피부
	👈🏾;왼쪽을 가리키는 손등: 진한 갈색 피부;검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등|왼쪽을 가리키는 손등: 진한 갈색 피부|진한 갈색 피부
	👈🏿;왼쪽을 가리키는 손등: 검은색 피부;검은색 피부|검지손가락|손가락 왼쪽으로|손가락으로 왼쪽 가리키기|왼쪽|왼쪽을 가리키는 검지손가락|왼쪽을 가리키는 손등|왼쪽을 가리키는 손등: 검은색 피부
👉;오른쪽을 가리키는 손등;검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등
	👉🏻;오른쪽을 가리키는 손등: 하얀 피부;검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등|오른쪽을 가리키는 손등: 하얀 피부|하얀 피부
	👉🏼;오른쪽을 가리키는 손등: 연한 갈색 피부;검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|연한 갈색 피부|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등|오른쪽을 가리키는 손등: 연한 갈색 피부
	👉🏽;오른쪽을 가리키는 손등: 갈색 피부;갈색 피부|검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등|오른쪽을 가리키는 손등: 갈색 피부
	👉🏾;오른쪽을 가리키는 손등: 진한 갈색 피부;검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등|오른쪽을 가리키는 손등: 진한 갈색 피부|진한 갈색 피부
	👉🏿;오른쪽을 가리키는 손등: 검은색 피부;검은색 피부|검지손가락|손가락 오른쪽으로|손가락으로 오른쪽 가리키기|오른쪽|오른쪽을 가리키는 검지손가락|오른쪽을 가리키는 손등|오른쪽을 가리키는 손등: 검은색 피부
👆;위쪽을 가리키는 손등;검지손가락|손가락 위로|손가락으로 위를 가리키기|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등
	👆🏻;위쪽을 가리키는 손등: 하얀 피부;검지손가락|손가락 위로|손가락으로 위를 가리키기|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등|위쪽을 가리키는 손등: 하얀 피부|하얀 피부
	👆🏼;위쪽을 가리키는 손등: 연한 갈색 피부;검지손가락|손가락 위로|손가락으로 위를 가리키기|연한 갈색 피부|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등|위쪽을 가리키는 손등: 연한 갈색 피부
	👆🏽;위쪽을 가리키는 손등: 갈색 피부;갈색 피부|검지손가락|손가락 위로|손가락으로 위를 가리키기|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등|위쪽을 가리키는 손등: 갈색 피부
	👆🏾;위쪽을 가리키는 손등: 진한 갈색 피부;검지손가락|손가락 위로|손가락으로 위를 가리키기|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등|위쪽을 가리키는 손등: 진한 갈색 피부|진한 갈색 피부
	👆🏿;위쪽을 가리키는 손등: 검은색 피부;검은색 피부|검지손가락|손가락 위로|손가락으로 위를 가리키기|위|위를 가리키는 검지손가락|위쪽|위쪽을 가리키는 손등|위쪽을 가리키는 손등: 검은색 피부
🖕;중지;가운데 손가락|욕설|중지
	🖕🏻;중지: 하얀 피부;가운데 손가락|욕설|중지|중지: 하얀 피부|하얀 피부
	🖕🏼;중지: 연한 갈색 피부;가운데 손가락|연한 갈색 피부|욕설|중지|중지: 연한 갈색 피부
	🖕🏽;중지: 갈색 피부;가운데 손가락|갈색 피부|욕설|중지|중지: 갈색 피부
	🖕🏾;중지: 진한 갈색 피부;가운데 손가락|욕설|중지|중지: 진한 갈색 피부|진한 갈색 피부
	🖕🏿;중지: 검은색 피부;가운데 손가락|검은색 피부|욕설|중지|중지: 검은색 피부
👇;아래쪽을 가리키는 손등;검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등
	👇🏻;아래쪽을 가리키는 손등: 하얀 피부;검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등|아래쪽을 가리키는 손등: 하얀 피부|하얀 피부
	👇🏼;아래쪽을 가리키는 손등: 연한 갈색 피부;검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등|아래쪽을 가리키는 손등: 연한 갈색 피부|연한 갈색 피부
	👇🏽;아래쪽을 가리키는 손등: 갈색 피부;갈색 피부|검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등|아래쪽을 가리키는 손등: 갈색 피부
	👇🏾;아래쪽을 가리키는 손등: 진한 갈색 피부;검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등|아래쪽을 가리키는 손등: 진한 갈색 피부|진한 갈색 피부
	👇🏿;아래쪽을 가리키는 손등: 검은색 피부;검은색 피부|검지손가락|손가락 아래로|손가락으로 아래를 가리키기|아래|아래를 가리키는 검지손가락|아래쪽|아래쪽을 가리키는 손등|아래쪽을 가리키는 손등: 검은색 피부
☝️;위쪽을 가리키는 손;가리키기|검지|위쪽을 가리키는 손
	☝🏻;위쪽을 가리키는 손: 하얀 피부;가리키기|검지|위쪽을 가리키는 손|위쪽을 가리키는 손: 하얀 피부|하얀 피부
	☝🏼;위쪽을 가리키는 손: 연한 갈색 피부;가리키기|검지|연한 갈색 피부|위쪽을 가리키는 손|위쪽을 가리키는 손: 연한 갈색 피부
	☝🏽;위쪽을 가리키는 손: 갈색 피부;가리키기|갈색 피부|검지|위쪽을 가리키는 손|위쪽을 가리키는 손: 갈색 피부
	☝🏾;위쪽을 가리키는 손: 진한 갈색 피부;가리키기|검지|위쪽을 가리키는 손|위쪽을 가리키는 손: 진한 갈색 피부|진한 갈색 피부
	☝🏿;위쪽을 가리키는 손: 검은색 피부;가리키기|검은색 피부|검지|위쪽을 가리키는 손|위쪽을 가리키는 손: 검은색 피부
🫵;보는 사람을 가리키는 검지;가리키기|보는 사람을 가리키는 검지|상대방
	🫵🏻;보는 사람을 가리키는 검지: 하얀 피부;가리키기|보는 사람을 가리키는 검지|보는 사람을 가리키는 검지: 하얀 피부|상대방|하얀 피부
	🫵🏼;보는 사람을 가리키는 검지: 연한 갈색 피부;가리키기|보는 사람을 가리키는 검지|보는 사람을 가리키는 검지: 연한 갈색 피부|상대방|연한 갈색 피부
	🫵🏽;보는 사람을 가리키는 검지: 갈색 피부;가리키기|갈색 피부|보는 사람을 가리키는 검지|보는 사람을 가리키는 검지: 갈색 피부|상대방
	🫵🏾;보는 사람을 가리키는 검지: 진한 갈색 피부;가리키기|보는 사람을 가리키는 검지|보는 사람을 가리키는 검지: 진한 갈색 피부|상대방|진한 갈색 피부
	🫵🏿;보는 사람을 가리키는 검지: 검은색 피부;가리키기|검은색 피부|보는 사람을 가리키는 검지|보는 사람을 가리키는 검지: 검은색 피부|상대방
👍;올린 엄지;따봉|올린 엄지|좋아요|최고
	👍🏻;올린 엄지: 하얀 피부;따봉|올린 엄지|올린 엄지: 하얀 피부|좋아요|최고|하얀 피부
	👍🏼;올린 엄지: 연한 갈색 피부;따봉|연한 갈색 피부|올린 엄지|올린 엄지: 연한 갈색 피부|좋아요|최고
	👍🏽;올린 엄지: 갈색 피부;갈색 피부|따봉|올린 엄지|올린 엄지: 갈색 피부|좋아요|최고
	👍🏾;올린 엄지: 진한 갈색 피부;따봉|올린 엄지|올린 엄지: 진한 갈색 피부|좋아요|진한 갈색 피부|최고
	👍🏿;올린 엄지: 검은색 피부;검은색 피부|따봉|올린 엄지|올린 엄지: 검은색 피부|좋아요|최고
👎;내린 엄지;내린 엄지|싫어요|야유|최악
	👎🏻;내린 엄지: 하얀 피부;내린 엄지|내린 엄지: 하얀 피부|싫어요|야유|최악|하얀 피부
	👎🏼;내린 엄지: 연한 갈색 피부;내린 엄지|내린 엄지: 연한 갈색 피부|싫어요|야유|연한 갈색 피부|최악
	👎🏽;내린 엄지: 갈색 피부;갈색 피부|내린 엄지|내린 엄지: 갈색 피부|싫어요|야유|최악
	👎🏾;내린 엄지: 진한 갈색 피부;내린 엄지|내린 엄지: 진한 갈색 피부|싫어요|야유|진한 갈색 피부|최악
	👎🏿;내린 엄지: 검은색 피부;검은색 피부|내린 엄지|내린 엄지: 검은색 피부|싫어요|야유|최악
✊;주먹;묵|바위|주먹
	✊🏻;주먹: 하얀 피부;묵|바위|주먹|주먹: 하얀 피부|하얀 피부
	✊🏼;주먹: 연한 갈색 피부;묵|바위|연한 갈색 피부|주먹|주먹: 연한 갈색 피부
	✊🏽;주먹: 갈색 피부;갈색 피부|묵|바위|주먹|주먹: 갈색 피부
	✊🏾;주먹: 진한 갈색 피부;묵|바위|주먹|주먹: 진한 갈색 피부|진한 갈색 피부
	✊🏿;주먹: 검은색 피부;검은색 피부|묵|바위|주먹|주먹: 검은색 피부
👊;주먹 전면;주먹|주먹 전면|펀치
	👊🏻;주먹 전면: 하얀 피부;주먹|주먹 전면|주먹 전면: 하얀 피부|펀치|하얀 피부
	👊🏼;주먹 전면: 연한 갈색 피부;연한 갈색 피부|주먹|주먹 전면|주먹 전면: 연한 갈색 피부|펀치
	👊🏽;주먹 전면: 갈색 피부;갈색 피부|주먹|주먹 전면|주먹 전면: 갈색 피부|펀치
	👊🏾;주먹 전면: 진한 갈색 피부;주먹|주먹 전면|주먹 전면: 진한 갈색 피부|진한 갈색 피부|펀치
	👊🏿;주먹 전면: 검은색 피부;검은색 피부|주먹|주먹 전면|주먹 전면: 검은색 피부|펀치
🤛;왼쪽을 향하는 주먹;왼쪽|왼쪽을 향하는 주먹|왼편|주먹
	🤛🏻;왼쪽을 향하는 주먹: 하얀 피부;왼쪽|왼쪽을 향하는 주먹|왼쪽을 향하는 주먹: 하얀 피부|왼편|주먹|하얀 피부
	🤛🏼;왼쪽을 향하는 주먹: 연한 갈색 피부;연한 갈색 피부|왼쪽|왼쪽을 향하는 주먹|왼쪽을 향하는 주먹: 연한 갈색 피부|왼편|주먹
	🤛🏽;왼쪽을 향하는 주먹: 갈색 피부;갈색 피부|왼쪽|왼쪽을 향하는 주먹|왼쪽을 향하는 주먹: 갈색 피부|왼편|주먹
	🤛🏾;왼쪽을 향하는 주먹: 진한 갈색 피부;왼쪽|왼쪽을 향하는 주먹|왼쪽을 향하는 주먹: 진한 갈색 피부|왼편|주먹|진한 갈색 피부
	🤛🏿;왼쪽을 향하는 주먹: 검은색 피부;검은색 피부|왼쪽|왼쪽을 향하는 주먹|왼쪽을 향하는 주먹: 검은색 피부|왼편|주먹
🤜;오른쪽을 향하는 주먹;오른쪽|오른쪽을 향하는 주먹|오른편|주먹
	🤜🏻;오른쪽을 향하는 주먹: 하얀 피부;오른쪽|오른쪽을 향하는 주먹|오른쪽을 향하는 주먹: 하얀 피부|오른편|주먹|하얀 피부
