# Auto-generated by emojicon.py using CLDR v44.1
# DO NOT EDIT MANUALLY!

[smileys_emotion]
😀;חיוך רחב;חיוך|חיוך רחב|מחייך|פרצוף|שמח
	👌🏼;יד מסמנת שהכל בסדר: גוון עור בהיר בינוני;ok|אוקיי|אישור|בסדר|גוון עור בהיר בינוני|יד|יד מסמנת שהכל בסדר|יד מסמנת שהכל בסדר: גוון עור בהיר בינוני
	👌🏽;יד מסמנת שהכל בסדר: גוון עור בינוני;ok|אוקיי|אישור|בסדר|גוון עור בינוני|יד|יד מסמנת שהכל בסדר|יד מסמנת שהכל בסדר: גוון עור בינוני
	👌🏾;יד מסמנת שהכל בסדר: גוון עור כהה בינוני;ok|אוקיי|אישור|בסדר|גוון עור כהה בינוני|יד|יד מסמנת שהכל בסדר|יד מסמנת שהכל בסדר: גוון עור כהה בינוני
	👌🏿;יד מסמנת שהכל בסדר: גוון עור כהה;ok|אוקיי|אישור|בסדר|גוון עור כהה|יד|יד מסמנת שהכל בסדר|יד מסמנת שהכל בסדר: גוון עור כהה
🤌;יד מסמנת רק רגע;אצבעות|יד מסמנת רק רגע|כף יד|רק רגע|תיכף
	🤌🏻;יד מסמנת רק רגע: גוון עור בהיר;אצבעות|גוון עור בהיר|יד מסמנת רק רגע|יד מסמנת רק רגע: גוון עור בהיר|כף יד|רק רגע|תיכף
	🤌🏼;יד מסמנת רק רגע: גוון עור בהיר בינוני;אצבעות|גוון עור בהיר בינוני|יד מסמנת רק רגע|יד מסמנת רק רגע: גוון עור בהיר בינוני|כף יד|רק רגע|תיכף
	🤌🏽;יד מסמנת רק רגע: גוון עור בינוני;אצבעות|גוון עור בינוני|יד מסמנת רק רגע|יד מסמנת רק רגע: גוון עור בינוני|כף יד|רק רגע|תיכף
	🤌🏾;יד מסמנת רק רגע: גוון עור כהה בינוני;אצבעות|גוון עור כהה בינוני|יד מסמנת רק רגע|יד מסמנת רק רגע: גוון עור כהה בינוני|כף יד|רק רגע|תיכף
	🤌🏿;יד מסמנת רק רגע: גוון עור כהה;אצבעות|גוון עור כהה|יד מסמנת רק רגע|יד מסמנת רק רגע: גוון עור כהה|כף יד|רק רגע|תיכף
🤏;יד צובטת;בכמות קטנה|טיפונת|יד צובטת|יד שעושה תנועת צביטה|מעט|צביטה|קצת
	🤏🏻;יד צובטת: גוון עור בהיר;בכמות קטנה|גוון עור בהיר|טיפונת|יד צובטת|יד צובטת: גוון עור בהיר|יד שעושה תנועת צביטה|מעט|צביטה|קצת
	🤏🏼;יד צובטת: גוון עור בהיר בינוני;בכמות קטנה|גוון עור בהיר בינוני|טיפונת|יד צובטת|יד צובטת: גוון עור בהיר בינוני|יד שעושה תנועת צביטה|מעט|צביטה|קצת
	🤏🏽;יד צובטת: גוון עור בינוני;בכמות קטנה|גוון עור בינוני|טיפונת|יד צובטת|יד צובטת: גוון עור בינוני|יד שעושה תנועת צביטה|מעט|צביטה|קצת
	🤏🏾;יד צובטת: גוון עור כהה בינוני;בכמות קטנה|גוון עור כהה בינוני|טיפונת|יד צובטת|יד צובטת: גוון עור כהה בינוני|יד שעושה תנועת צביטה|מעט|צביטה|קצת
	🤏🏿;יד צובטת: גוון עור כהה;בכמות קטנה|גוון עור כהה|טיפונת|יד צובטת|יד צובטת: גוון עור כהה|יד שעושה תנועת צביטה|מעט|צביטה|קצת
✌️;אצבעות מסמנות ניצחון;אצבעות|אצבעות מסמנות ניצחון|וי|יד|ניצחון
	✌🏻;אצבעות מסמנות ניצחון: גוון עור בהיר;אצבעות|אצבעות מסמנות ניצחון|אצבעות מסמנות ניצחון: גוון עור בהיר|גוון עור בהיר|וי|יד|ניצחון
	✌🏼;אצבעות מסמנות ניצחון: גוון עור בהיר בינוני;אצבעות|אצבעות מסמנות ניצחון|אצבעות מסמנות ניצחון: גוון עור בהיר בינוני|גוון עור בהיר בינוני|וי|יד|ניצחון
	✌🏽;אצבעות מסמנות ניצחון: גוון עור בינוני;אצבעות|אצבעות מסמנות ניצחון|אצבעות מסמנות ניצחון: גוון עור בינוני|גוון עור בינוני|וי|יד|ניצחון
	✌🏾;אצבעות מסמנות ניצחון: גוון עור כהה בינוני;אצבעות|אצבעות מסמנות ניצחון|אצבעות מסמנות ניצחון: גוון עור כהה בינוני|גוון עור כהה בינוני|וי|יד|ניצחון
	✌🏿;אצבעות מסמנות ניצחון: גוון עור כהה;אצבעות|אצבעות מסמנות ניצחון|אצבעות מסמנות ניצחון: גוון עור כהה|גוון עור כהה|וי|יד|ניצחון
🤞;יד מחזיקה אצבעות;אצבעות|בהצלחה|יד מחזיקה אצבעות|מחזיק
	🤞🏻;יד מחזיקה אצבעות: גוון עור בהיר;אצבעות|בהצלחה|גוון עור בהיר|יד מחזיקה אצבעות|יד מחזיקה אצבעות: גוון עור בהיר|מחזיק
	🤞🏼;יד מחזיקה אצבעות: גוון עור בהיר בינוני;אצבעות|בהצלחה|גוון עור בהיר בינוני|יד מחזיקה אצבעות|יד מחזיקה אצבעות: גוון עור בהיר בינוני|מחזיק
	🤞🏽;יד מחזיקה אצבעות: גוון עור בינוני;אצבעות|בהצלחה|גוון עור בינוני|יד מחזיקה אצבעות|יד מחזיקה אצבעות: גוון עור בינוני|מחזיק
	🤞🏾;יד מחזיקה אצבעות: גוון עור כהה בינוני;אצבעות|בהצלחה|גוון עור כהה בינוני|יד מחזיקה אצבעות|יד מחזיקה אצבעות: גוון עור כהה בינוני|מחזיק
	🤞🏿;יד מחזיקה אצבעות: גוון עור כהה;אצבעות|בהצלחה|גוון עור כהה|יד מחזיקה אצבעות|יד מחזיקה אצבעות: גוון עור כהה|מחזיק
🫰;קליק באצבעות;אהבה|אצבעות|יאללה|יקר|כסף|לצרוד|קליק באצבעות
	🫰🏻;קליק באצבעות: גוון עור בהיר;אהבה|אצבעות|גוון עור בהיר|יאללה|יקר|כסף|לצרוד|קליק באצבעות|קליק באצבעות: גוון עור בהיר
	🫰🏼;קליק באצבעות: גוון עור בהיר בינוני;אהבה|אצבעות|גוון עור בהיר בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות|קליק באצבעות: גוון עור בהיר בינוני
	🫰🏽;קליק באצבעות: גוון עור בינוני;אהבה|אצבעות|גוון עור בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות|קליק באצבעות: גוון עור בינוני
	🫰🏾;קליק באצבעות: גוון עור כהה בינוני;אהבה|אצבעות|גוון עור כהה בינוני|יאללה|יקר|כסף|לצרוד|קליק באצבעות|קליק באצבעות: גוון עור כהה בינוני
	🫰🏿;קליק באצבעות: גוון עור כהה;אהבה|אצבעות|גוון עור כהה|יאללה|יקר|כסף|לצרוד|קליק באצבעות|קליק באצבעות: גוון עור כהה
🤟;בוהן, אצבע וזרת מורמות;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|יד
	🤟🏻;בוהן, אצבע וזרת מורמות: גוון עור בהיר;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|בוהן, אצבע וזרת מורמות: גוון עור בהיר|גוון עור בהיר|יד
	🤟🏼;בוהן, אצבע וזרת מורמות: גוון עור בהיר בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|בוהן, אצבע וזרת מורמות: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יד
	🤟🏽;בוהן, אצבע וזרת מורמות: גוון עור בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|בוהן, אצבע וזרת מורמות: גוון עור בינוני|גוון עור בינוני|יד
	🤟🏾;בוהן, אצבע וזרת מורמות: גוון עור כהה בינוני;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|בוהן, אצבע וזרת מורמות: גוון עור כהה בינוני|גוון עור כהה בינוני|יד
	🤟🏿;בוהן, אצבע וזרת מורמות: גוון עור כהה;אהבה|אצבע וזרת מורמות|בוהן|בוהן, אצבע וזרת מורמות|בוהן, אצבע וזרת מורמות: גוון עור כהה|גוון עור כהה|יד
🤘;יד מסמנת קרניים;אצבע מורה|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|קרניים|רוק-אנ׳-רול
	🤘🏻;יד מסמנת קרניים: גוון עור בהיר;אצבע מורה|גוון עור בהיר|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|יד מסמנת קרניים: גוון עור בהיר|קרניים|רוק-אנ׳-רול
	🤘🏼;יד מסמנת קרניים: גוון עור בהיר בינוני;אצבע מורה|גוון עור בהיר בינוני|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|יד מסמנת קרניים: גוון עור בהיר בינוני|קרניים|רוק-אנ׳-רול
	🤘🏽;יד מסמנת קרניים: גוון עור בינוני;אצבע מורה|גוון עור בינוני|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|יד מסמנת קרניים: גוון עור בינוני|קרניים|רוק-אנ׳-רול
	🤘🏾;יד מסמנת קרניים: גוון עור כהה בינוני;אצבע מורה|גוון עור כהה בינוני|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|יד מסמנת קרניים: גוון עור כהה בינוני|קרניים|רוק-אנ׳-רול
	🤘🏿;יד מסמנת קרניים: גוון עור כהה;אצבע מורה|גוון עור כהה|זרת|יד|יד מסמנת קרניים|יד מסמנת קרניים באצבע מורה ובזרת|יד מסמנת קרניים: גוון עור כהה|קרניים|רוק-אנ׳-רול
🤙;יד מסמנת ’תתקשר אליי’;יד|יד מסמנת ’תתקשר אליי’|תתקשר
	🤙🏻;יד מסמנת ’תתקשר אליי’: גוון עור בהיר;גוון עור בהיר|יד|יד מסמנת ’תתקשר אליי’|יד מסמנת ’תתקשר אליי’: גוון עור בהיר|תתקשר
	🤙🏼;יד מסמנת ’תתקשר אליי’: גוון עור בהיר בינוני;גוון עור בהיר בינוני|יד|יד מסמנת ’תתקשר אליי’|יד מסמנת ’תתקשר אליי’: גוון עור בהיר בינוני|תתקשר
	🤙🏽;יד מסמנת ’תתקשר אליי’: גוון עור בינוני;גוון עור בינוני|יד|יד מסמנת ’תתקשר אליי’|יד מסמנת ’תתקשר אליי’: גוון עור בינוני|תתקשר
	🤙🏾;יד מסמנת ’תתקשר אליי’: גוון עור כהה בינוני;גוון עור כהה בינוני|יד|יד מסמנת ’תתקשר אליי’|יד מסמנת ’תתקשר אליי’: גוון עור כהה בינוני|תתקשר
	🤙🏿;יד מסמנת ’תתקשר אליי’: גוון עור כהה;גוון עור כהה|יד|יד מסמנת ’תתקשר אליי’|יד מסמנת ’תתקשר אליי’: גוון עור כהה|תתקשר
👈;גב יד מצביעה שמאלה;אצבע|גב יד מצביעה שמאלה|יד|להצביע|מצביעה|שמאלה
	👈🏻;גב יד מצביעה שמאלה: גוון עור בהיר;אצבע|גב יד מצביעה שמאלה|גב יד מצביעה שמאלה: גוון עור בהיר|גוון עור בהיר|יד|להצביע|מצביעה|שמאלה
	👈🏼;גב יד מצביעה שמאלה: גוון עור בהיר בינוני;אצבע|גב יד מצביעה שמאלה|גב יד מצביעה שמאלה: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יד|להצביע|מצביעה|שמאלה
	👈🏽;גב יד מצביעה שמאלה: גוון עור בינוני;אצבע|גב יד מצביעה שמאלה|גב יד מצביעה שמאלה: גוון עור בינוני|גוון עור בינוני|יד|להצביע|מצביעה|שמאלה
	👈🏾;גב יד מצביעה שמאלה: גוון עור כהה בינוני;אצבע|גב יד מצביעה שמאלה|גב יד מצביעה שמאלה: גוון עור כהה בינוני|גוון עור כהה בינוני|יד|להצביע|מצביעה|שמאלה
	👈🏿;גב יד מצביעה שמאלה: גוון עור כהה;אצבע|גב יד מצביעה שמאלה|גב יד מצביעה שמאלה: גוון עור כהה|גוון עור כהה|יד|להצביע|מצביעה|שמאלה
👉;גב יד מצביעה ימינה;אצבע|גב יד מצביעה ימינה|יד|ימינה|להצביע|מצביעה
	👉🏻;גב יד מצביעה ימינה: גוון עור בהיר;אצבע|גב יד מצביעה ימינה|גב יד מצביעה ימינה: גוון עור בהיר|גוון עור בהיר|יד|ימינה|להצביע|מצביעה
	👉🏼;גב יד מצביעה ימינה: גוון עור בהיר בינוני;אצבע|גב יד מצביעה ימינה|גב יד מצביעה ימינה: גוון עור בהיר בינוני|גוון עור בהיר בינוני|יד|ימינה|להצביע|מצביעה
	👉🏽;גב יד מצביעה ימינה: גוון עור בינוני;אצבע|גב יד מצביעה ימינה|גב יד מצביעה ימינה: גוון עור בינוני|גוון עור בינוני|יד|ימינה|להצביע|מצביעה
	👉🏾;גב יד מצביעה ימינה: גוון עור כהה בינוני;אצבע|גב יד מצביעה ימינה|גב יד מצביעה ימינה: גוון עור כהה בינוני|גוון עור כהה בינוני|יד|ימינה|להצביע|מצביעה
